Symbol,Type,Asset
ADH,Stock,DOUJA PROM ADDOHA
ADI,Stock,ALLIANCES
AFI,Stock,AFRIC INDUSTRIES SA
AFM,Stock,AFMA
AGM,Stock,AGMA
AKT,Stock,AKDITAL
ALM,Stock,ALUMINIUM DU MAROC
ARD,Stock,ARADEI CAPITAL
ATH,Stock,AUTO HALL
ATL,Stock,ATLANTASANAD
ATW,Stock,ATTIJARIWAFA BANK
BAL,Stock,BALIMA
BCI,Stock,BMCI
BCP,Stock,BCP
BOA,Stock,BANK OF AFRICA
CAP,Stock,CASH PLUS S.A
CDM,Stock,CDM
CFG,Stock,CFG BANK
CIH,Stock,CIH
CMA,Stock,CIMENTS DU MAROC
CMG,Stock,CMGP GROUP
CMT,Stock,MINIERE TOUISSIT
COL,Stock,COLORADO
CRS,Stock,CARTIER SAADA
CSR,Stock,COSUMAR
CTM,Stock,CTM
DHO,Stock,DELTA HOLDING
DRI,Stock,DARI COUSPATE
DWY,Stock,DISWAY
DYT,Stock,DISTY TECHNOLOGIES
EQD,Stock,EQDOM
FBR,Stock,FENIE BROSSETTE
GAZ,Stock,AFRIQUIA GAZ
GTM,Stock,SGTM S.A
HPS,Stock,HPS
IAM,Stock,ITISSALAT AL-MAGHRIB
IBC,Stock,IB MAROC.COM
IMO,Stock,IMMORENTE INVEST
INV,Stock,INVOLYS
JET,Stock,JET CONTRACTORS
LBV,Stock,LABEL VIE
LES,Stock,LESIEUR CRISTAL
LHM,Stock,LafargeHolcim Maroc
M2M,Stock,M2M Group
MAB,Stock,MAGHREBAIL
MDP,Stock,MED PAPER
MIC,Stock,MICRODATA
MLE,Stock,MAROC LEASING
MNG,Stock,MANAGEM
MOX,Stock,MAGHREB OXYGENE
MSA,Stock,SODEP-Marsa Maroc
MUT,Stock,MUTANDIS SCA
NEJ,Stock,AUTO NEJMA
NKL,Stock,ENNAKL
OUL,Stock,OULMES
PRO,Stock,PROMOPHARM S.A.
RDS,Stock,RESIDENCES DAR SAADA
REB,Stock,REBAB COMPANY
RIS,Stock,RISMA
S2M,Stock,S.M MONETIQUE
SAH,Stock,SANLAM MAROC
SBM,Stock,SOCIETE DES BOISSONS DU MAROC
SID,Stock,SONASID
SLF,Stock,SALAFIN
SMI,Stock,SMI
SNA,Stock,STOKVIS NORD AFRIQUE
SNP,Stock,SNEP
SOT,Stock,SOTHEMA
SRM,Stock,REALISATIONS MECANIQUES
STR,Stock,STROC INDUSTRIE
TGC,Stock,TGCC S.A
TMA,Stock,TOTALENERGIES MARKETING MAROC
TQM,Stock,TAQA MOROCCO
UMR,Stock,UNIMER
VCN,Stock,VICENNE
WAA,Stock,WAFA ASSURANCE
ZDJ,Stock,ZELLIDJA S.A
MASI,Index,MASI
MSI20,Index,MASI 20
MASIE,Index,MASI (EUR)
MASID,Index,MASI (USD)
MASIR,Index,MASI RENTABILITE BRUT
MASRN,Index,MASI RENTABILITE NET
ESGI,Index,MASI ESG
MASIMS,Index,MASI MID AND SMALL CAP
AGRO,Index,MASI AGROALIMENTAIRE / PRODUCTION
ASSUR,Index,MASI ASSURANCES
B&MC,Index,MASI BATIMENT ET MATERIAUX DE CONSTRUCTION
BANK,Index,MASI BANQUES
BOISS,Index,MASI BOISSONS
CHIM,Index,MASI CHIMIE
DISTR,Index,MASI DISTRIBUTEURS
ELEC,Index,MASI ELECTRICITE
I&BEI,Index,MASI INGENIERIES ET BIENS D’EQUIPEMENT INDUSTRIELS
IMMOB,Index,MASI PARTICIPATION ET PROMOTION IMMOBILIERES
L&H,Index,MASI LOISIRS ET HOTELS
L&SI,Index,"MASI MATERIELS,LOGICIELS ET SERVICES INFORMATIQUES"
MINES,Index,MASI MINES
P&G,Index,MASI PETROLE ET GAZ
PHARM,Index,MASI INDUSTRIE PHARMACEUTIQUE
SANTE,Index,MASI SANTE
SDT,Index,MASI SERVICES DE TRANSPORT
SF&AF,Index,MASI SOCIETE DE FINANCEMENT ET AUTRES ACTIVITES FINANCIERES
SP&H,Index,MASI SOCIETES DE PORTEFEUILLES - HOLDINGS
SPI,Index,MASI SOCIETES DE PLACEMENT IMMOBILIER
S&P,Index,MASI SYLVICULTURE ET PAPIER
TCOM,Index,MASI TELECOMMUNICATIONS
TRANS,Index,MASI TRANSPORT
IAG,Index,MASI INDUSTRIE AGRICOLE
