Time,Open,High,Low,Close,Volume
2012-03-26,73.199997,73.800003,73.019997,73.199997,176897.0
2012-03-27,73.779999,73.779999,73.199997,73.779999,289559.0
2012-03-28,73.220001,74.099998,73.040001,73.220001,83358.0
2012-03-29,73.0,73.5,73.0,73.0,63822.0
2012-03-30,73.0,76.0,73.0,73.0,772466.0
2012-04-02,72.860001,73.0,72.199997,72.860001,3271.0
2012-04-03,68.5,73.0,68.5,68.5,500453.0
2012-04-04,67.639999,69.879997,66.5,67.639999,314888.0
2012-04-05,67.459999,68.0,67.300003,67.459999,146345.0
2012-04-06,66.980003,68.279999,66.980003,66.980003,167767.0
2012-04-09,67.5,68.360001,67.040001,67.5,48617.0
2012-04-13,62.98,65.0,62.040001,62.98,209200.0
2012-04-16,62.139999,63.0,62.139999,62.139999,20343.0
2012-04-17,63.700001,64.800003,62.5,63.700001,208264.0
2012-04-18,65.5,65.5,64.019997,65.5,149378.0
2012-04-19,63.98,65.879997,63.98,63.98,24662.0
2012-04-20,63.0,65.199997,63.0,63.0,42315.0
2012-04-23,64.199997,64.199997,63.0,64.199997,54736.0
2012-04-24,63.5,64.059998,63.200001,63.5,29199.0
2012-04-25,63.5,64.0,63.5,63.5,14608.0
2012-04-26,64.0,64.0,63.5,64.0,9183.0
2012-04-27,62.34,64.0,62.34,62.34,43055.0
2012-04-30,62.400002,62.900002,61.040001,62.400002,69665.0
2012-05-02,63.0,63.0,61.799999,63.0,100802.0
2012-05-03,64.0,64.379997,62.400002,64.0,110776.0
2012-05-04,64.5,64.5,63.599998,64.5,94613.0
2012-05-07,65.0,65.0,63.82,65.0,38191.0
2012-05-08,65.099998,65.480003,64.5,65.099998,54137.0
2012-05-09,64.480003,65.0,64.059998,64.480003,23342.0
2012-05-10,63.5,64.5,63.5,63.5,14565.0
2012-05-11,64.800003,64.800003,62.540001,64.800003,33254.0
2012-05-14,63.099998,64.800003,63.099998,63.099998,58837.0
2012-05-15,63.900002,63.900002,62.0,63.900002,168207.0
2012-05-16,63.0,63.299999,62.02,63.0,67355.0
2012-05-17,62.0,62.400002,61.799999,62.0,129249.0
2012-05-18,63.0,63.0,62.02,63.0,27287.0
2012-05-21,62.200001,63.48,62.040001,62.200001,18146.0
2012-05-22,62.200001,63.0,62.0,62.200001,37794.0
2012-05-23,65.0,65.400002,62.200001,65.0,133815.0
2012-05-24,64.980003,65.839996,64.199997,64.980003,132348.0
2012-05-25,65.419998,65.900002,63.200001,65.419998,93230.0
2012-05-28,65.959999,65.959999,65.0,65.959999,104346.0
2012-05-29,67.019997,67.5,65.599998,67.019997,128865.0
2012-05-30,66.959999,67.0,65.0,66.959999,104244.0
2012-05-31,68.980003,68.980003,66.360001,68.980003,361926.0
2012-06-01,67.0,68.5,67.0,67.0,57078.0
2012-06-04,64.860001,67.5,64.660004,64.860001,41158.0
2012-06-05,64.099998,66.0,64.059998,64.099998,99694.0
2012-06-06,64.5,65.940002,64.0,64.5,69707.0
2012-06-07,65.5,65.5,64.5,65.5,88404.0
2012-06-08,66.5,66.5,64.519997,66.5,91379.0
2012-06-11,66.639999,66.639999,65.0,66.639999,17869.0
2012-06-12,69.0,69.0,66.0,69.0,266462.0
2012-06-13,67.5,69.0,67.0,67.5,202758.0
2012-06-14,68.900002,68.900002,67.019997,68.900002,55296.0
2012-06-15,67.199997,68.959999,67.199997,67.199997,92988.0
2012-06-18,68.879997,68.879997,66.68,68.879997,45693.0
2012-06-19,68.0,69.0,68.0,68.0,171355.0
2012-06-20,68.480003,68.480003,67.220001,68.480003,37509.0
2012-06-21,68.800003,68.800003,68.440002,68.800003,88016.0
2012-06-22,68.480003,68.5,67.620003,68.480003,24318.0
2012-06-25,66.5,67.599998,66.5,66.5,44978.0
2012-06-26,63.740002,66.519997,63.740002,63.740002,117167.0
2012-06-27,66.699997,66.699997,64.620003,66.699997,59289.0
2012-06-28,68.5,68.5,66.0,68.5,97087.0
2012-06-29,67.0,68.199997,66.599998,67.0,502672.0
2012-07-02,67.900002,67.900002,66.199997,67.900002,20573.0
2012-07-03,68.5,68.5,67.300003,68.5,57218.0
2012-07-04,67.0,68.5,66.720001,67.0,107443.0
2012-07-05,68.0,68.5,67.040001,68.0,56474.0
2012-07-06,68.5,68.5,64.5,68.5,54612.0
2012-07-09,67.0,68.279999,67.0,67.0,41934.0
2012-07-10,68.0,68.0,67.0,68.0,54391.0
2012-07-11,68.139999,68.279999,67.599998,68.139999,19758.0
2012-07-12,68.0,68.0,66.699997,68.0,40299.0
2012-07-13,66.800003,68.0,66.800003,66.800003,51223.0
2012-07-16,68.0,68.0,66.699997,68.0,25096.0
2012-07-17,68.599998,69.0,67.0,68.599998,278564.0
2012-07-18,68.599998,68.599998,67.220001,68.599998,76891.0
2012-07-19,68.5,68.800003,67.279999,68.5,41973.0
2012-07-20,68.699997,68.699997,67.300003,68.699997,60427.0
2012-07-23,68.5,68.879997,67.5,68.5,38228.0
2012-07-24,68.0,68.199997,67.639999,68.0,122338.0
2012-07-25,68.0,68.0,67.599998,68.0,63501.0
2012-07-26,68.0,68.0,67.699997,68.0,26410.0
2012-07-27,68.120003,68.120003,67.5,68.120003,23570.0
2012-07-31,69.0,69.0,68.0,69.0,109949.0
2012-08-01,69.0,69.0,68.239998,69.0,86468.0
2012-08-02,69.400002,69.5,68.519997,69.400002,77360.0
2012-08-03,69.0,69.360001,68.5,69.0,76560.0
2012-08-06,69.480003,69.5,68.5,69.480003,48400.0
2012-08-07,69.339996,69.879997,69.0,69.339996,152401.0
2012-08-08,69.5,69.5,69.160004,69.5,124195.0
2012-08-09,69.0,69.5,68.5,69.0,58522.0
2012-08-10,69.5,69.5,68.0,69.5,140289.0
2012-08-13,68.5,68.5,67.620003,68.5,84018.0
2012-08-15,68.5,68.5,68.0,68.5,64818.0
2012-08-16,68.480003,68.480003,67.699997,68.480003,28373.0
2012-08-17,68.5,68.5,67.199997,68.5,35864.0
2012-08-22,68.5,68.68,68.099998,68.5,30288.0
2012-08-23,68.879997,68.959999,68.5,68.879997,30058.0
2012-08-24,70.0,70.0,68.5,70.0,36778.0
2012-08-27,70.0,70.5,69.160004,70.0,78862.0
2012-08-28,70.419998,70.480003,69.720001,70.419998,19033.0
2012-08-29,70.459999,70.5,70.019997,70.459999,32127.0
