Time,Open,High,Low,Close,Volume
2012-03-26,713.0,713.0,710.0,713.0,13263.0
2012-03-27,715.0,715.0,710.0,715.0,12337.0
2012-03-28,715.0,715.0,712.0,715.0,2680.0
2012-03-29,700.0,715.0,700.0,700.0,24318.0
2012-03-30,710.0,714.0,706.0,710.0,102595.0
2012-04-02,719.0,720.0,708.0,719.0,3832.0
2012-04-03,710.0,719.0,709.0,710.0,9071.0
2012-04-04,709.0,710.0,707.0,709.0,14268.0
2012-04-05,710.0,714.0,706.0,710.0,51303.0
2012-04-06,707.0,710.0,703.0,707.0,61747.0
2012-04-09,713.0,714.0,703.0,713.0,6700.0
2012-04-13,715.0,715.0,714.0,715.0,20279.0
2012-04-16,720.0,720.0,715.0,720.0,160.0
2012-04-17,720.0,720.0,710.0,720.0,6172.0
2012-04-18,724.0,724.0,715.0,724.0,39484.0
2012-04-19,724.0,725.0,715.0,724.0,5541.0
2012-04-20,724.0,724.0,715.0,724.0,73490.0
2012-04-23,720.0,724.0,720.0,720.0,336.0
2012-04-24,715.0,717.0,715.0,715.0,37150.0
2012-04-25,719.0,719.0,710.0,719.0,601.0
2012-04-26,714.0,715.0,712.0,714.0,876.0
2012-04-27,710.0,715.0,710.0,710.0,5089.0
2012-04-30,717.0,717.0,710.0,717.0,2400.0
2012-05-02,716.0,717.0,712.0,716.0,3200.0
2012-05-03,715.0,716.0,706.0,715.0,1140.0
2012-05-04,717.0,719.0,710.0,717.0,9420.0
2012-05-07,716.0,716.0,710.0,716.0,593.0
2012-05-08,719.0,723.0,719.0,719.0,2492.0
2012-05-09,716.0,716.0,716.0,716.0,27.0
2012-05-10,716.0,716.0,710.0,716.0,1613.0
2012-05-11,715.0,719.0,710.0,715.0,2078.0
2012-05-14,714.0,715.0,709.0,714.0,73.0
2012-05-15,714.0,714.0,705.0,714.0,1105.0
2012-05-16,709.0,709.0,700.0,709.0,3927.0
2012-05-17,699.0,699.0,691.0,699.0,1762.0
2012-05-18,690.0,694.0,690.0,690.0,2920.0
2012-05-21,688.0,690.0,688.0,688.0,371.0
2012-05-22,687.0,689.0,682.0,687.0,435.0
2012-05-23,687.0,687.0,677.0,687.0,2529.0
2012-05-24,701.0,705.0,681.0,701.0,6933.0
2012-05-25,704.0,708.0,682.0,704.0,631.0
2012-05-28,704.0,704.0,691.0,704.0,390.0
2012-05-29,700.0,704.0,696.0,700.0,805.0
2012-05-30,708.0,710.0,700.0,708.0,474.0
2012-05-31,709.0,709.0,698.0,709.0,10561.0
2012-06-01,710.0,710.0,700.0,710.0,14889.0
2012-06-04,709.0,710.0,685.0,709.0,340.0
2012-06-05,708.0,709.0,700.0,708.0,5926.0
2012-06-06,705.0,708.0,695.0,705.0,165.0
2012-06-07,709.0,709.0,696.0,709.0,1458.0
2012-06-08,708.0,709.0,698.0,708.0,923.0
2012-06-11,706.0,706.0,706.0,706.0,400.0
2012-06-12,705.0,708.0,699.0,705.0,4185.0
2012-06-13,708.0,708.0,692.0,708.0,250.0
2012-06-14,709.0,709.0,703.0,709.0,6709.0
2012-06-15,710.0,710.0,703.0,710.0,718.0
2012-06-18,712.0,712.0,701.0,712.0,269.0
2012-06-19,713.0,714.0,703.0,713.0,135.0
2012-06-20,714.0,714.0,703.0,714.0,1752.0
2012-06-21,712.0,713.0,703.0,712.0,508.0
2012-06-22,710.0,710.0,701.0,710.0,5539.0
2012-06-25,715.0,715.0,701.0,715.0,7556.0
2012-06-26,719.0,719.0,704.0,719.0,12575.0
2012-06-27,715.0,718.0,705.0,715.0,560.0
2012-06-28,715.0,718.0,709.0,715.0,610.0
2012-06-29,710.0,710.0,703.0,710.0,9100.0
2012-07-02,714.0,715.0,703.0,714.0,145.0
2012-07-03,714.0,714.0,703.0,714.0,45.0
2012-07-04,712.0,714.0,704.0,712.0,1670.0
2012-07-05,714.0,714.0,703.0,714.0,150.0
2012-07-06,714.0,714.0,685.0,714.0,724.0
2012-07-09,714.0,714.0,710.0,714.0,597.0
2012-07-10,714.0,714.0,701.0,714.0,90.0
2012-07-11,714.0,714.0,700.0,714.0,175.0
2012-07-12,712.0,712.0,692.0,712.0,300.0
2012-07-13,691.0,712.0,691.0,691.0,12936.0
2012-07-16,708.0,709.0,700.0,708.0,1740.0
2012-07-17,709.0,709.0,699.0,709.0,89.0
2012-07-18,713.0,716.0,709.0,713.0,2325.0
2012-07-19,714.0,715.0,705.0,714.0,117.0
2012-07-20,714.0,715.0,714.0,714.0,750.0
2012-07-23,714.0,714.0,708.0,714.0,130.0
2012-07-24,712.0,712.0,698.0,712.0,304.0
2012-07-25,711.0,711.0,699.0,711.0,638.0
2012-07-26,711.0,711.0,702.0,711.0,150.0
2012-07-27,708.0,708.0,700.0,708.0,1289.0
2012-07-31,707.0,707.0,698.0,707.0,210.0
2012-08-01,700.0,700.0,697.0,700.0,5585.0
2012-08-02,705.0,705.0,691.0,705.0,254.0
2012-08-03,705.0,705.0,692.0,705.0,910.0
2012-08-06,705.0,709.0,693.0,705.0,456.0
2012-08-07,695.0,695.0,693.0,695.0,1165.0
2012-08-08,696.0,696.0,695.0,696.0,40.0
2012-08-09,705.0,705.0,695.0,705.0,124.0
2012-08-10,705.0,705.0,690.0,705.0,814.0
2012-08-13,705.0,705.0,691.0,705.0,35.0
2012-08-15,700.0,700.0,691.0,700.0,270.0
2012-08-16,700.0,704.0,692.0,700.0,146.0
2012-08-17,702.0,704.0,692.0,702.0,876.0
2012-08-22,699.0,699.0,690.0,699.0,10468.0
2012-08-23,686.0,690.0,686.0,686.0,1245.0
2012-08-24,695.0,699.0,685.0,695.0,1034.0
2012-08-27,686.0,698.0,685.0,686.0,218.0
2012-08-28,686.0,686.0,685.0,686.0,3334.0
2012-08-29,690.0,690.0,680.0,690.0,525.0
2012-08-30,689.0,690.0,676.0,689.0,3131.0
2012-08-31,689.0,689.0,681.0,689.0,1165.0
2012-09-03,689.0,689.0,678.0,689.0,536.0
2012-09-04,686.0,689.0,686.0,686.0,540.0
2012-09-05,688.0,689.0,679.0,688.0,78.0
2012-09-06,678.0,683.0,661.0,678.0,1162.0
2012-09-07,677.0,680.0,660.0,677.0,850.0
2012-09-10,677.0,677.0,663.0,677.0,460.0
2012-09-11,675.0,676.0,675.0,675.0,468.0
2012-09-12,675.0,675.0,660.0,675.0,360.0
2012-09-13,672.0,672.0,661.0,672.0,580.0
2012-09-14,675.0,675.0,663.0,675.0,1348.0
2012-09-17,677.0,679.0,666.0,677.0,486.0
2012-09-18,677.0,677.0,674.0,677.0,100.0
2012-09-19,679.0,679.0,669.0,679.0,4437.0
2012-09-20,667.0,678.0,665.0,667.0,1363.0
2012-09-21,635.0,675.0,630.0,635.0,33032.0
2012-09-24,620.0,640.0,598.0,620.0,23899.0
2012-09-25,590.0,618.0,590.0,590.0,25917.0
2012-09-26,625.0,625.0,590.0,625.0,10398.0
2012-09-27,655.0,655.0,612.0,655.0,19686.0
2012-09-28,630.0,660.0,630.0,630.0,9247.0
2012-10-01,635.0,635.0,615.0,635.0,150.0
2012-10-02,635.0,645.0,620.0,635.0,368.0
2012-10-03,634.0,635.0,620.0,634.0,1580.0
2012-10-04,630.0,630.0,620.0,630.0,320.0
2012-10-05,625.0,630.0,625.0,625.0,3920.0
2012-10-08,620.0,625.0,620.0,620.0,285.0
2012-10-09,606.0,616.0,606.0,606.0,294.0
2012-10-10,600.0,606.0,590.0,600.0,9185.0
2012-10-11,591.0,599.0,591.0,591.0,3261.0
2012-10-12,585.0,597.0,571.0,585.0,2550.0
2012-10-15,575.0,579.0,567.0,575.0,538.0
2012-10-16,575.0,589.0,575.0,575.0,2862.0
2012-10-17,555.0,575.0,555.0,555.0,4862.0
2012-10-18,560.0,569.0,535.0,560.0,574.0
2012-10-19,565.0,579.0,545.0,565.0,63802.0
2012-10-22,565.0,578.0,553.0,565.0,708.0
2012-10-23,571.0,582.0,567.0,571.0,18942.0
2012-10-24,572.0,580.0,570.0,572.0,4505.0
2012-10-25,580.0,589.0,579.0,580.0,627.0
2012-10-29,578.0,580.0,567.0,578.0,3791.0
2012-10-30,577.0,578.0,577.0,577.0,1199.0
2012-10-31,577.0,577.0,571.0,577.0,110.0
2012-11-01,577.0,577.0,570.0,577.0,150.0
2012-11-05,578.0,578.0,570.0,578.0,130.0
2012-11-07,583.0,595.0,578.0,583.0,4718.0
2012-11-08,595.0,595.0,581.0,595.0,541.0
2012-11-09,595.0,606.0,591.0,595.0,14444.0
2012-11-12,605.0,606.0,586.0,605.0,166.0
2012-11-13,588.0,605.0,587.0,588.0,2139.0
2012-11-14,600.0,602.0,582.0,600.0,4080.0
2012-11-15,594.0,600.0,584.0,594.0,555.0
