Time,Open,High,Low,Close,Volume
2015-12-15,730.0,780.0,725.0,756.0,107892.0
2015-12-16,756.0,757.0,730.5,732.0,2351.0
2015-12-17,728.0,739.0,728.0,739.0,5303.0
2015-12-18,730.0,749.0,730.0,730.29999,1861.0
2015-12-21,730.0,740.0,730.0,739.0,1449.0
2015-12-22,730.09998,731.5,730.0,730.0,2121.0
2015-12-23,730.0,750.0,730.0,750.0,11128.0
2015-12-28,730.09998,740.0,730.0,740.0,1406.0
2015-12-29,727.0,727.0,726.09998,726.09998,34.0
2015-12-30,726.29999,730.0,706.20001,730.0,936.0
2015-12-31,730.0,738.0,716.09998,734.79999,1728.0
2016-01-04,730.0,730.0,730.0,730.0,21.0
2016-01-05,708.0,730.0,708.0,730.0,862.0
2016-01-06,717.5,730.0,717.5,730.0,677.0
2016-01-07,721.0,721.0,720.0,720.09998,328.0
2016-01-08,711.20001,728.0,711.09998,728.0,78.0
2016-01-12,720.0,720.0,720.0,720.0,218.0
2016-01-13,720.0,720.0,711.09998,720.0,105.0
2016-01-14,711.09998,712.0,711.09998,712.0,35.0
2016-01-15,714.0,714.0,712.0,712.0,41.0
2016-01-18,724.90002,724.90002,712.0,712.0,330.0
2016-01-19,712.09998,713.0,712.0,712.0,245.0
2016-01-20,712.09998,712.20001,712.09998,712.20001,46.0
2016-01-21,713.0,713.0,712.0,712.0,60.0
2016-01-22,712.0,712.0,712.0,712.0,57.0
2016-01-25,712.40002,712.40002,712.40002,712.40002,1.0
2016-01-26,712.5,712.5,712.5,712.5,1.0
2016-01-27,712.09998,720.0,712.09998,720.0,1089.0
2016-01-28,720.0,720.0,720.0,720.0,1010.0
2016-01-29,712.70001,720.0,712.70001,720.0,14.0
2016-02-01,720.0,720.0,720.0,720.0,1.0
2016-02-02,712.20001,715.0,712.09998,715.0,29.0
2016-02-03,715.0,724.90002,715.0,724.90002,21.0
2016-02-04,720.0,720.0,715.09998,715.29999,42.0
2016-02-05,715.29999,720.09998,715.29999,720.0,3276.0
2016-02-08,714.0,714.0,712.09998,712.20001,82.0
2016-02-09,712.20001,712.20001,712.20001,712.20001,64.0
2016-02-10,714.0,720.0,714.0,720.0,85.0
2016-02-11,713.0,713.20001,713.0,713.20001,224.0
2016-02-12,713.09998,728.0,713.09998,727.70001,138.0
2016-02-15,726.0,730.0,714.09998,714.09998,190.0
2016-02-16,714.0,720.0,714.0,720.0,16.0
2016-02-17,715.0,720.0,715.0,720.0,123.0
2016-02-18,718.0,720.0,718.0,720.0,38.0
2016-02-19,725.0,725.0,720.0,720.0,487.0
2016-02-22,720.0,720.0,720.0,720.0,1.0
2016-02-23,720.0,726.0,720.0,720.0,31.0
2016-02-24,720.0,725.90002,720.0,725.90002,20.0
2016-02-25,725.90002,726.0,725.90002,726.0,20.0
2016-02-26,727.0,729.90002,726.0,726.0,32.0
2016-02-29,712.09998,726.0,712.09998,726.0,4396.0
2016-03-01,726.0,726.0,726.0,726.0,2.0
2016-03-02,726.0,726.0,726.0,726.0,1.0
2016-03-03,726.0,726.0,726.0,726.0,1.0
2016-03-04,726.0,729.5,720.20001,729.5,21.0
2016-03-07,721.0,729.5,721.0,729.5,52.0
2016-03-08,728.0,729.5,728.0,729.5,22.0
2016-03-09,729.90002,729.90002,729.90002,729.90002,1.0
2016-03-10,729.79999,729.79999,729.79999,729.79999,1.0
2016-03-11,729.79999,729.79999,729.79999,729.79999,1.0
2016-03-14,729.79999,729.79999,729.79999,729.79999,1.0
2016-03-15,720.0,730.0,720.0,730.0,235.0
2016-03-16,729.90002,733.0,729.90002,733.0,265.0
2016-03-17,730.5,744.0,730.5,731.0,41.0
2016-03-18,730.0,744.0,730.0,744.0,101.0
2016-03-21,744.90002,744.90002,728.0,728.0,13.0
2016-03-22,735.0,742.0,735.0,742.0,136.0
2016-03-23,735.0,740.0,728.0,740.0,36.0
2016-03-24,740.0,740.0,736.0,736.0,11.0
2016-03-25,738.0,739.79999,732.0,739.79999,60.0
2016-03-28,739.90002,739.90002,736.0,736.0,54.0
2016-03-29,736.0,749.0,736.0,749.0,158.0
