Time,Open,High,Low,Close,Volume
2012-04-04,2750.0,2750.0,2750.0,2750.0,4.0
2012-04-16,2850.0,2850.0,2850.0,2850.0,20.0
2012-04-17,2840.0,2840.0,2840.0,2840.0,30.0
2012-04-19,2840.0,2840.0,2840.0,2840.0,10.0
2012-04-25,2830.0,2830.0,2830.0,2830.0,1.0
2012-04-26,2839.0,2839.0,2839.0,2839.0,12.0
2012-05-07,2820.0,2820.0,2820.0,2820.0,125.0
2012-05-30,2949.0,2949.0,2949.0,2949.0,25.0
2012-06-01,2773.0,2773.0,2773.0,2773.0,3.0
2012-06-12,2711.0,2711.0,2711.0,2711.0,1.0
2012-06-14,2555.0,2555.0,2555.0,2555.0,3.0
2012-06-15,2708.0,2708.0,2708.0,2708.0,3.0
2012-06-18,2805.0,2805.0,2805.0,2805.0,1.0
2012-07-02,2641.0,2641.0,2641.0,2641.0,2.0
2012-07-03,2484.0,2484.0,2484.0,2484.0,208.0
2012-07-23,2484.0,2484.0,2484.0,2484.0,1.0
2012-08-06,2630.0,2630.0,2630.0,2630.0,1.0
2012-08-17,2525.0,2525.0,2525.0,2525.0,1876.0
2012-08-22,2500.0,2500.0,2500.0,2500.0,1000.0
2012-08-27,2600.0,2600.0,2600.0,2600.0,2.0
2012-08-31,2508.0,2508.0,2508.0,2508.0,1.0
2012-09-03,2513.0,2513.0,2513.0,2513.0,3.0
2012-09-04,2500.0,2500.0,2500.0,2500.0,216.0
2012-09-05,2500.0,2500.0,2500.0,2500.0,301.0
2012-09-14,2450.0,2450.0,2450.0,2450.0,4.0
2012-09-17,2451.0,2451.0,2451.0,2451.0,7.0
2012-09-20,2538.0,2538.0,2538.0,2538.0,3.0
2012-09-21,2454.0,2549.0,2454.0,2454.0,4.0
2012-09-26,2456.0,2456.0,2456.0,2456.0,1.0
2012-09-28,2456.0,2456.0,2456.0,2456.0,49.0
2012-10-01,2545.0,2545.0,2545.0,2545.0,2.0
2012-10-02,2540.0,2540.0,2540.0,2540.0,2.0
2012-10-05,2540.0,2540.0,2540.0,2540.0,100.0
2012-10-12,2486.0,2486.0,2486.0,2486.0,2.0
2012-10-16,2500.0,2500.0,2500.0,2500.0,9.0
2012-10-17,2486.0,2486.0,2486.0,2486.0,1.0
2012-10-19,2485.0,2485.0,2485.0,2485.0,3.0
2012-10-22,2486.0,2486.0,2486.0,2486.0,1.0
2012-10-23,2485.0,2485.0,2485.0,2485.0,1.0
2012-10-25,2411.0,2485.0,2411.0,2411.0,16.0
2012-11-07,2499.0,2499.0,2450.0,2499.0,6.0
2012-11-09,2415.0,2415.0,2415.0,2415.0,1.0
2012-11-14,2414.0,2414.0,2413.0,2414.0,162.0
2012-11-20,2450.0,2450.0,2416.0,2450.0,20.0
2012-11-30,2450.0,2450.0,2450.0,2450.0,105.0
2012-12-07,2404.0,2404.0,2404.0,2404.0,2.0
2012-12-21,2260.0,2260.0,2260.0,2260.0,77.0
2012-12-24,2260.0,2260.0,2260.0,2260.0,25.0
2012-12-25,2125.0,2127.0,2125.0,2125.0,206.0
2012-12-26,2200.0,2200.0,2200.0,2200.0,7.0
2012-12-31,2171.0,2171.0,2171.0,2171.0,3.0
2013-01-15,2100.0,2100.0,2100.0,2100.0,10.0
2013-01-16,2050.0,2050.0,2050.0,2050.0,797.0
2013-01-23,2050.0,2050.0,2050.0,2050.0,642.0
2013-02-11,2110.0,2110.0,2110.0,2110.0,11.0
2013-02-15,2101.0,2101.0,2101.0,2101.0,5.0
2013-02-19,2100.0,2100.0,2100.0,2100.0,7.0
2013-02-22,2220.0,2220.0,2220.0,2220.0,24.0
2013-03-05,2090.0,2090.0,2090.0,2090.0,18.0
2013-03-08,2090.0,2100.0,2090.0,2100.0,143.0
2013-03-11,2100.0,2100.0,2100.0,2100.0,1.0
2013-03-15,2289.0,2289.0,2095.0,2095.0,52.0
2013-03-20,2101.0,2101.0,2101.0,2101.0,3.0
2013-03-28,2276.0,2280.0,2276.0,2280.0,2.0
2013-04-11,2380.0,2380.0,2380.0,2380.0,6.0
2013-04-29,2370.0,2370.0,2370.0,2370.0,452.0
2013-05-30,2300.0,2300.0,2300.0,2300.0,14.0
2013-05-31,2312.0,2312.0,2312.0,2312.0,3.0
2013-06-03,2302.0,2302.0,2302.0,2302.0,10.0
2013-06-07,2010.0,2010.0,2010.0,2010.0,103.0
2013-06-10,2095.0,2095.0,2095.0,2095.0,17.0
2013-06-14,2010.0,2010.0,2010.0,2010.0,2.0
2013-06-25,2130.0,2130.0,2130.0,2130.0,1.0
2013-06-27,2010.0,2010.0,2010.0,2010.0,11.0
2013-06-28,2020.0,2130.0,2020.0,2130.0,506.0
2013-07-04,2011.0,2011.0,2011.0,2011.0,5.0
2013-07-18,2016.0,2016.0,2016.0,2016.0,16.0
2013-08-12,2016.0,2016.0,2016.0,2016.0,2.0
2013-09-03,1901.0,1901.0,1901.0,1901.0,17.0
2013-09-04,2001.0,2001.0,2001.0,2001.0,2.0
2013-09-06,2020.0,2020.0,2020.0,2020.0,6.0
2013-09-13,2260.0,2260.0,2260.0,2260.0,36.0
2013-09-24,2160.0,2160.0,2160.0,2160.0,3.0
2013-09-25,2260.0,2260.0,2260.0,2260.0,10.0
2013-10-02,2260.0,2260.0,2260.0,2260.0,0.0
2013-10-03,2260.0,2260.0,2260.0,2260.0,0.0
2013-10-04,2260.0,2260.0,2260.0,2260.0,0.0
2013-10-07,2248.0,2248.0,2248.0,2248.0,1.0
2013-10-09,2240.0,2240.0,2240.0,2240.0,14.0
2013-10-11,2270.0,2270.0,2270.0,2270.0,6.0
2013-10-24,2212.0,2212.0,2212.0,2212.0,6.0
2013-10-25,2270.0,2270.0,2270.0,2270.0,9.0
2013-10-28,2280.0,2280.0,2280.0,2280.0,11.0
2013-10-29,2398.0,2398.0,2280.0,2280.0,12.0
2013-10-31,2400.0,2400.0,2350.0,2350.0,230.0
2013-11-07,2400.0,2400.0,2400.0,2400.0,3.0
2013-11-13,2400.0,2400.0,2400.0,2400.0,1.0
2013-11-26,2400.0,2400.0,2400.0,2400.0,416.0
2013-12-06,2320.0,2320.0,2320.0,2320.0,21.0
2013-12-19,2400.0,2400.0,2400.0,2400.0,10.0
2013-12-23,2400.0,2400.0,2400.0,2400.0,10.0
2013-12-24,2420.0,2420.0,2420.0,2420.0,10.0
2013-12-27,2400.0,2400.0,2400.0,2400.0,2.0
2013-12-31,2400.0,2400.0,2400.0,2400.0,400.0
2014-01-03,2430.0,2430.0,2430.0,2430.0,4.0
