Time,Open,High,Low,Close,Volume
2012-03-26,68.32,68.32,68.239998,68.32,400.0
2012-03-27,68.419998,68.419998,68.419998,68.419998,60.0
2012-03-28,68.419998,68.440002,68.419998,68.419998,2410.0
2012-03-29,68.199997,68.220001,68.199997,68.199997,507.0
2012-03-30,68.0,69.0,68.0,68.0,4662.0
2012-04-02,68.019997,68.019997,68.019997,68.019997,103.0
2012-04-03,68.0,68.5,68.0,68.0,885.0
2012-04-04,66.519997,68.839996,66.519997,66.519997,32.0
2012-04-05,65.0,67.0,65.0,65.0,15388.0
2012-04-06,65.0,66.0,65.0,65.0,4050.0
2012-04-09,64.0,65.0,64.0,64.0,263.0
2012-04-13,60.5,63.0,60.5,60.5,3558.0
2012-04-16,62.900002,62.98,62.900002,62.900002,371.0
2012-04-17,63.380001,63.380001,62.799999,63.380001,872.0
2012-04-18,63.0,66.620003,61.459999,63.0,1555.0
2012-04-19,64.480003,64.480003,61.139999,64.480003,80.0
2012-04-20,64.0,64.0,61.220001,64.0,3373.0
2012-04-23,63.900002,63.900002,61.599998,63.900002,303.0
2012-04-24,62.02,62.02,61.599998,62.02,3363.0
2012-04-27,58.419998,59.880001,58.299999,58.419998,81272.0
2012-04-30,60.0,60.0,59.779999,60.0,604.0
2012-05-02,58.5,60.0,58.5,58.5,1500.0
2012-05-03,60.860001,60.860001,60.860001,60.860001,1.0
2012-05-04,59.0,59.880001,59.0,59.0,51.0
2012-05-07,59.799999,59.799999,58.759998,59.799999,178.0
2012-05-08,58.599998,59.779999,58.599998,58.599998,1964.0
2012-05-09,58.0,59.400002,57.02,58.0,1514.0
2012-05-10,57.5,57.5,57.099998,57.5,45.0
2012-05-11,57.52,59.0,57.52,57.52,1527.0
2012-05-15,58.0,58.0,57.619999,58.0,5091.0
2012-05-16,56.220001,58.400002,56.220001,56.220001,1800.0
2012-05-17,55.720001,56.220001,55.720001,55.720001,192.0
2012-05-18,56.0,57.900002,55.700001,56.0,428.0
2012-05-22,56.5,56.919998,54.02,56.5,1226.0
2012-05-23,56.5,56.900002,54.619999,56.5,180.0
2012-05-24,57.98,57.98,56.0,57.98,748.0
2012-05-25,57.880001,58.0,56.380001,57.880001,2718.0
2012-05-28,57.860001,57.880001,56.639999,57.860001,814.0
2012-05-29,56.5,57.860001,56.099998,56.5,27968.0
2012-05-30,56.599998,56.599998,56.599998,56.599998,10.0
2012-05-31,56.900002,56.900002,56.880001,56.900002,2300.0
2012-06-01,56.200001,56.900002,56.200001,56.200001,4474.0
2012-06-04,57.0,57.0,56.200001,57.0,43.0
2012-06-06,57.5,57.5,57.5,57.5,6.0
2012-06-07,56.5,57.5,56.0,56.5,3525.0
2012-06-08,56.939999,56.939999,56.0,56.939999,6252.0
2012-06-11,56.939999,56.939999,56.939999,56.939999,44.0
2012-06-12,56.240002,57.98,56.200001,56.240002,615.0
2012-06-13,57.919998,57.919998,57.919998,57.919998,1.0
2012-06-14,56.360001,57.900002,56.299999,56.360001,1780.0
2012-06-15,56.5,57.900002,56.439999,56.5,1133.0
2012-06-19,57.880001,57.880001,57.5,57.880001,129.0
2012-06-20,57.0,57.0,56.5,57.0,5350.0
2012-06-21,58.0,59.0,58.0,58.0,709.0
2012-06-22,57.5,57.5,57.5,57.5,309.0
2012-06-25,58.0,59.0,57.5,58.0,1215.0
2012-06-26,59.18,59.18,59.18,59.18,966.0
2012-06-27,58.200001,59.299999,58.200001,58.200001,964.0
2012-06-28,58.200001,59.0,58.200001,58.200001,1262.0
2012-06-29,58.099998,58.5,58.099998,58.099998,27525.0
2012-07-02,59.0,61.0,58.5,59.0,6226.0
2012-07-03,58.5,61.0,58.419998,58.5,2208.0
2012-07-04,59.200001,59.880001,59.0,59.200001,14296.0
2012-07-05,60.419998,60.439999,59.860001,60.419998,196.0
2012-07-06,59.200001,60.400002,59.200001,59.200001,920.0
2012-07-09,58.5,60.380001,58.099998,58.5,978.0
2012-07-10,59.700001,59.700001,59.200001,59.700001,71.0
2012-07-11,59.0,59.419998,58.0,59.0,14484.0
2012-07-12,57.5,58.0,52.84,57.5,524.0
2012-07-13,56.98,57.0,55.0,56.98,232.0
2012-07-16,56.0,56.939999,54.52,56.0,659.0
2012-07-17,55.98,55.98,55.040001,55.98,195.0
2012-07-18,56.0,56.0,56.0,56.0,178.0
2012-07-19,57.5,57.5,56.0,57.5,6470.0
2012-07-20,55.220001,57.82,55.220001,55.220001,2543.0
2012-07-23,57.0,57.0,56.0,57.0,66.0
2012-07-24,57.82,57.82,57.0,57.82,23.0
2012-07-25,58.919998,58.98,57.740002,58.919998,5690.0
2012-07-26,58.919998,58.919998,58.900002,58.919998,103.0
2012-07-27,58.860001,58.860001,58.860001,58.860001,5.0
2012-07-31,57.880001,57.880001,56.700001,57.880001,8.0
2012-08-01,58.0,58.0,57.880001,58.0,50.0
2012-08-02,58.0,58.0,56.700001,58.0,3446.0
2012-08-06,58.0,58.0,58.0,58.0,10.0
2012-08-07,56.5,56.900002,56.5,56.5,756.0
2012-08-09,59.380001,59.380001,56.400002,59.380001,482.0
2012-08-13,58.380001,58.380001,58.380001,58.380001,5.0
2012-08-16,57.580002,57.580002,55.5,57.580002,513.0
2012-08-29,57.580002,57.580002,56.0,57.580002,300.0
2012-08-30,57.580002,57.580002,57.400002,57.580002,290.0
2012-08-31,56.040001,56.040001,56.040001,56.040001,1083.0
2012-09-03,56.02,56.080002,56.0,56.02,1902.0
2012-09-05,56.0,56.0,56.0,56.0,172.0
2012-09-06,56.98,56.98,56.98,56.98,23.0
2012-09-07,53.580002,57.0,53.580002,53.580002,1132.0
2012-09-10,55.959999,55.959999,55.959999,55.959999,30.0
2012-09-11,55.0,55.900002,54.5,55.0,5320.0
2012-09-12,54.0,54.52,54.0,54.0,733.0
2012-09-13,54.0,54.0,54.0,54.0,1932.0
2012-09-14,53.0,53.0,53.0,53.0,809.0
2012-09-18,55.5,55.5,53.0,55.5,11.0
2012-09-19,53.0,55.299999,53.0,53.0,24175.0
2012-09-20,55.0,55.0,53.0,55.0,10286.0
2012-09-21,53.119999,55.32,53.119999,53.119999,53.0
2012-09-24,53.060001,53.060001,53.060001,53.060001,48.0
2012-09-25,54.740002,54.740002,53.060001,54.740002,14.0
2012-09-26,53.040001,53.16,53.040001,53.040001,758.0
2012-09-27,54.5,54.5,53.040001,54.5,10339.0
2012-09-28,54.5,54.5,54.5,54.5,2164.0
2012-10-02,54.0,54.0,54.0,54.0,200.0
2012-10-03,54.700001,54.700001,54.700001,54.700001,50.0
2012-10-04,53.119999,53.119999,53.119999,53.119999,2.0
2012-10-05,53.02,53.139999,53.02,53.02,923.0
2012-10-08,52.5,53.119999,52.5,52.5,905.0
2012-10-09,52.5,52.5,52.5,52.5,400.0
2012-10-10,53.0,54.700001,52.5,53.0,1268.0
2012-10-11,54.0,54.0,53.0,54.0,541.0
2012-10-12,53.299999,53.299999,53.299999,53.299999,562.0
2012-10-15,53.299999,53.299999,53.299999,53.299999,138.0
2012-10-16,53.299999,53.299999,53.299999,53.299999,479.0
2012-10-17,53.0,53.700001,53.0,53.0,4881.0
2012-10-18,53.0,53.0,53.0,53.0,505.0
2012-10-19,54.0,54.0,52.5,54.0,6732.0
2012-10-22,54.66,54.66,52.52,54.66,222.0
2012-10-24,53.200001,54.619999,53.200001,53.200001,600.0
2012-10-25,53.0,54.599998,52.0,53.0,12889.0
2012-10-29,54.5,54.5,53.5,54.5,1770.0
2012-10-30,53.099998,53.099998,53.099998,53.099998,170.0
2012-10-31,54.48,54.48,54.48,54.48,9.0
2012-11-01,54.5,54.5,54.48,54.5,4223.0
2012-11-02,54.619999,54.619999,54.48,54.619999,1482.0
2012-11-05,55.0,55.0,54.459999,55.0,834.0
2012-11-07,55.099998,57.720001,55.099998,55.099998,1810.0
2012-11-08,57.0,57.700001,57.0,57.0,310.0
2012-11-09,56.02,57.0,56.02,56.02,164.0
2012-11-13,56.900002,56.900002,56.119999,56.900002,594.0
2012-11-19,60.299999,60.299999,56.880001,60.299999,31560.0
2012-11-20,60.34,63.0,60.32,60.34,7761.0
2012-11-21,60.0,61.799999,60.0,60.0,1218.0
2012-11-22,60.599998,60.799999,58.200001,60.599998,1214.0
2012-11-23,60.48,60.560001,60.48,60.48,15.0
2012-11-26,60.799999,60.799999,60.0,60.799999,20.0
2012-11-28,60.959999,60.959999,60.599998,60.959999,161.0
2012-11-29,60.700001,61.0,60.5,60.700001,592.0
2012-11-30,60.0,60.0,58.900002,60.0,50914.0
2012-12-03,62.900002,62.900002,62.900002,62.900002,500.0
2012-12-04,61.400002,61.400002,60.0,61.400002,411.0
2012-12-05,61.900002,61.900002,60.5,61.900002,5347.0
2012-12-06,62.299999,62.400002,60.5,62.299999,18675.0
2012-12-07,60.360001,62.299999,60.360001,60.360001,741.0
2012-12-10,61.380001,61.380001,60.5,61.380001,35.0
2012-12-11,60.599998,61.380001,60.599998,60.599998,135.0
2012-12-12,60.400002,61.380001,60.400002,60.400002,264.0
2012-12-14,61.299999,61.299999,61.299999,61.299999,3.0
2012-12-18,60.0,60.0,60.0,60.0,120.0
2012-12-19,58.400002,58.5,58.400002,58.400002,56.0
2012-12-20,60.0,60.0,60.0,60.0,1771186.0
2012-12-21,58.52,61.380001,58.52,58.52,41932.0
2012-12-24,60.5,61.0,56.220001,60.5,24052.0
2012-12-26,58.34,58.34,58.34,58.34,500.0
2012-12-27,60.0,60.0,60.0,60.0,177082.0
2012-12-28,57.5,59.98,57.5,57.5,56259.0
2012-12-31,58.799999,58.799999,57.220001,58.799999,17540.0
2013-01-02,59.98,60.439999,58.799999,59.98,2003.0
2013-01-03,59.880001,59.880001,59.599998,59.880001,315.0
2013-01-04,57.32,59.880001,57.32,57.32,218.0
2013-01-07,59.880001,59.880001,59.880001,59.880001,4.0
2013-01-08,58.98,59.799999,58.98,58.98,1534.0
2013-01-09,58.0,58.0,58.0,58.0,4560.0
2013-01-10,59.400002,59.400002,57.32,59.400002,102.0
2013-01-14,56.119999,59.18,56.119999,56.119999,402.0
2013-01-15,58.0,58.0,58.0,58.0,1114.0
2013-01-16,58.0,58.959999,54.52,58.0,49842.0
2013-01-17,58.5,58.5,58.0,58.5,6293.0
2013-01-18,58.400002,58.400002,58.400002,58.400002,120.0
2013-01-21,58.0,58.0,58.0,58.0,1000.0
2013-01-22,58.0,58.0,56.200001,58.0,7735.0
2013-01-23,57.099998,60.0,57.099998,57.099998,8245.0
2013-01-28,59.98,59.98,57.080002,59.98,3516.0
2013-01-29,58.0,62.0,57.52,58.0,8149.0
2013-01-30,61.0,61.0,60.0,61.0,11037.0
2013-01-31,58.02,59.880001,58.0,58.02,665.0
2013-02-01,58.02,58.02,58.02,58.02,5303.0
2013-02-04,59.0,59.0,57.619999,59.0,103.0
2013-02-06,57.900002,58.900002,57.900002,57.900002,7294.0
2013-02-07,58.799999,58.799999,57.619999,58.799999,5.0
2013-02-08,59.5,59.5,58.400002,59.5,1394.0
2013-02-11,59.0,59.0,58.0,59.0,42465.0
2013-02-12,59.0,59.0,59.0,59.0,5643.0
2013-02-13,59.0,60.0,59.0,59.0,2835.0
2013-02-14,60.0,60.0,60.0,60.0,60.0
2013-02-15,59.5,60.5,57.619999,59.5,20196.0
2013-02-18,60.0,60.0,59.139999,60.0,4796.0
2013-02-19,60.0,60.0,60.0,60.0,3010.0
2013-02-20,60.0,60.0,60.0,60.0,10.0
2013-02-21,60.0,60.0,60.0,60.0,6900.0
2013-02-22,60.0,60.900002,60.0,60.0,2323.0
2013-02-25,60.900002,61.48,60.900002,61.48,1719.0
2013-02-26,62.0,62.0,62.0,62.0,400.0
2013-02-27,61.0,62.0,61.0,62.0,1002.0
2013-02-28,62.299999,62.619999,60.0,60.0,2999.0
2013-03-01,58.099998,61.970001,57.150002,57.150002,1664.0
2013-03-04,60.57,60.57,60.57,60.57,119.0
2013-03-05,60.57,60.57,60.57,60.57,50.0
2013-03-06,58.599998,61.0,58.599998,61.0,25.0
2013-03-07,60.5,62.0,60.5,62.0,168.0
2013-03-13,61.799999,61.799999,59.0,59.0,52.0
2013-03-14,58.5,61.5,58.279999,61.5,41.0
2013-03-15,61.700001,61.700001,57.810001,57.810001,2397.0
2013-03-18,60.0,60.0,60.0,60.0,1.0
2013-03-21,60.0,61.150002,58.200001,61.150002,53373.0
2013-03-22,61.5,61.5,61.5,61.5,11.0
2013-03-25,60.0,61.0,58.5,58.5,242.0
2013-03-26,60.5,60.5,60.5,60.5,4.0
2013-03-27,59.950001,60.0,58.360001,58.360001,1318.0
2013-03-28,58.400002,58.400002,58.400002,58.400002,86.0
2013-03-29,58.400002,60.400002,58.400002,60.400002,1615.0
2013-04-01,59.02,59.02,59.02,59.02,150.0
2013-04-02,59.099998,60.0,59.099998,60.0,38936.0
2013-04-04,60.0,60.0,60.0,60.0,2520.0
2013-04-08,60.0,60.0,60.0,60.0,10.0
2013-04-09,60.099998,60.299999,60.099998,60.099998,11.0
2013-04-10,60.02,61.0,60.02,60.5,183.0
2013-04-11,60.099998,60.099998,60.099998,60.099998,157.0
2013-04-12,60.099998,60.099998,60.099998,60.099998,5.0
2013-04-15,60.099998,61.400002,60.099998,61.400002,37.0
2013-04-17,61.700001,61.700001,61.700001,61.700001,2.0
2013-04-18,60.099998,60.099998,60.099998,60.099998,624.0
2013-04-22,61.0,61.0,61.0,61.0,10.0
2013-04-23,61.900002,61.900002,60.02,61.5,136.0
2013-04-24,61.0,61.0,60.0,61.0,29828.0
2013-04-25,60.5,62.0,60.5,62.0,475.0
2013-04-26,61.5,61.5,61.009998,61.009998,802.0
2013-04-29,62.5,62.5,62.5,62.5,13.0
2013-04-30,61.0,62.5,61.0,61.209999,23318.0
2013-05-03,62.5,62.5,62.0,62.0,9.0
2013-05-06,62.900002,62.900002,62.0,62.0,11.0
2013-05-08,61.130001,62.400002,61.130001,62.400002,1165.0
2013-05-09,61.200001,62.48,61.200001,62.0,138295.0
2013-05-10,62.900002,62.900002,62.099998,62.099998,139.0
2013-05-13,62.900002,65.699997,62.900002,63.84,18185.0
2013-05-14,63.900002,65.199997,63.900002,65.199997,200.0
2013-05-15,65.099998,65.099998,65.0,65.0,6298.0
2013-05-16,65.199997,67.5,65.0,65.0,11751.0
2013-05-17,65.5,65.5,65.0,65.0,2937.0
2013-05-20,64.059998,65.0,64.059998,65.0,557.0
2013-05-21,64.099998,64.099998,64.099998,64.099998,1404.0
2013-05-22,64.099998,64.199997,64.099998,64.199997,837.0
2013-05-23,64.199997,64.540001,64.199997,64.540001,1940.0
2013-05-24,65.0,65.019997,64.529999,65.019997,5270.0
2013-05-27,64.510002,66.0,64.510002,66.0,530.0
2013-05-28,64.599998,64.599998,64.599998,64.599998,3.0
2013-05-29,65.0,65.849998,65.0,65.849998,10174.0
2013-05-30,65.5,66.480003,65.0,65.510002,18630.0
2013-05-31,66.199997,67.0,66.199997,67.0,5239.0
2013-06-04,65.800003,69.5,65.0,69.5,36277.0
2013-06-05,69.5,71.199997,68.0,68.099998,29816.0
2013-06-06,68.300003,70.010002,68.300003,70.0,72271.0
2013-06-07,69.949997,69.949997,65.0,65.139999,814.0
2013-06-10,65.139999,65.139999,65.0,65.0,1316.0
2013-06-11,65.099998,65.099998,65.099998,65.099998,10.0
2013-06-12,65.110001,67.5,65.0,67.5,620.0
2013-06-14,65.019997,65.110001,65.0,65.099998,1480.0
2013-06-19,65.099998,67.349998,65.099998,67.349998,7836.0
2013-06-21,64.599998,67.0,64.599998,65.099998,1974.0
2013-06-26,64.199997,64.199997,64.199997,64.199997,511.0
2013-06-28,64.199997,64.199997,63.52,63.52,3049.0
2013-07-01,63.5,63.5,63.5,63.5,20.0
2013-07-05,62.610001,62.610001,62.610001,62.610001,294.0
2013-07-08,66.0,66.0,66.0,66.0,1.0
2013-07-09,62.700001,66.400002,62.700001,66.400002,550.0
2013-07-10,65.5,65.5,65.5,65.5,100.0
2013-07-11,64.0,64.0,64.0,64.0,800.0
2013-07-12,63.119999,63.119999,63.119999,63.119999,595.0
2013-07-15,65.980003,65.980003,65.980003,65.980003,20.0
2013-07-16,65.800003,69.5,65.800003,69.489998,31125.0
