Time,Open,High,Low,Close,Volume
2012-04-19,184.0,184.0,184.0,184.0,10.0
2012-04-30,180.0,180.0,180.0,180.0,4000.0
2012-08-24,186.95,186.95,186.95,186.95,5.0
2012-10-05,186.95,186.95,186.95,186.95,107.0
2012-10-16,180.0,180.0,180.0,180.0,350.0
2012-11-15,180.0,180.0,180.0,180.0,112.0
2012-11-21,180.0,180.0,180.0,180.0,373.0
2012-11-22,180.05,180.05,180.05,180.05,4578.0
2012-12-06,172.0,172.0,172.0,172.0,1.0
2012-12-11,172.0,172.0,172.0,172.0,219.0
2013-02-11,161.7,161.7,161.7,161.7,70.0
2013-02-12,152.0,152.0,152.0,152.0,30.0
2013-04-09,152.0,152.0,152.0,152.0,3.0
2013-04-23,143.10001,143.10001,143.10001,143.10001,72.0
2013-07-08,140.0,140.0,140.0,140.0,10.0
2013-10-03,140.0,140.0,140.0,140.0,0.0
2013-10-04,140.0,140.0,140.0,140.0,0.0
2013-10-07,140.0,140.0,140.0,140.0,0.0
2013-10-08,140.0,140.0,140.0,140.0,0.0
2013-10-09,140.0,140.0,140.0,140.0,0.0
2013-10-10,140.0,140.0,140.0,140.0,0.0
2013-10-11,140.0,140.0,140.0,140.0,0.0
2013-10-14,140.0,140.0,140.0,140.0,0.0
2013-10-15,140.0,140.0,140.0,140.0,0.0
2013-10-21,140.0,140.0,140.0,140.0,0.0
2013-10-22,140.0,140.0,140.0,140.0,0.0
2013-10-23,140.0,140.0,140.0,140.0,0.0
2013-10-24,140.0,140.0,140.0,140.0,0.0
2013-10-25,140.0,140.0,140.0,140.0,0.0
2013-10-28,140.0,140.0,140.0,140.0,0.0
2013-10-29,140.0,140.0,140.0,140.0,0.0
2013-10-30,140.0,140.0,140.0,140.0,0.0
2013-10-31,140.0,140.0,140.0,140.0,0.0
2013-11-01,140.0,140.0,140.0,140.0,0.0
2013-11-04,140.0,140.0,140.0,140.0,0.0
2013-11-07,140.0,140.0,140.0,140.0,0.0
2013-11-08,140.0,140.0,140.0,140.0,0.0
2013-11-11,140.0,140.0,140.0,140.0,0.0
2013-11-12,136.0,136.0,136.0,136.0,20.0
2013-11-13,136.0,136.0,136.0,136.0,50.0
2013-11-19,136.0,136.0,136.0,136.0,50.0
2013-12-03,136.0,136.0,136.0,136.0,52.0
2014-02-07,143.60001,143.60001,143.60001,143.60001,169.0
2014-02-20,143.60001,143.60001,143.60001,143.60001,120.0
2014-03-03,143.0,143.0,143.0,143.0,1.0
2014-05-09,139.5,139.5,139.5,139.5,350.0
2014-05-12,139.5,139.5,139.5,139.5,650.0
2014-05-13,139.5,139.5,139.5,139.5,3.0
2014-05-21,138.0,138.0,138.0,138.0,500.0
2014-05-23,138.0,138.0,138.0,138.0,794.0
2014-06-26,129.75,129.75,129.75,129.75,1000.0
2014-09-11,125.0,125.0,125.0,125.0,303.0
2014-09-18,125.0,125.0,125.0,125.0,3.0
2014-10-23,121.0,121.0,121.0,121.0,500.0
2014-12-23,113.75,113.75,113.75,113.75,3.0
2015-10-28,104.0,104.0,104.0,104.0,66.0
2015-11-25,104.0,104.0,104.0,104.0,10.0
2017-02-09,100.0,100.0,100.0,100.0,50.0
2017-06-13,100.0,100.0,100.0,100.0,500.0
2017-06-14,100.0,100.0,100.0,100.0,500.0
2021-06-01,83.43,83.43,83.43,83.43,3.0
2021-08-06,78.0,78.0,78.0,78.0,610.0
2021-08-09,78.0,78.0,78.0,78.0,837.0
2021-08-11,78.0,78.0,78.0,78.0,191.0
2021-08-12,78.0,78.0,78.0,78.0,25.0
2021-08-13,78.0,78.0,78.0,78.0,30.0
2021-08-16,78.0,78.0,78.0,78.0,39.0
2021-08-17,76.550003,76.550003,76.550003,76.550003,2.0
2021-08-18,78.0,78.0,78.0,78.0,47.0
2021-08-19,78.0,78.0,78.0,78.0,101.0
2021-08-23,78.0,78.0,78.0,78.0,786.0
2021-08-25,79.550003,79.550003,79.550003,79.550003,170.0
2021-08-26,81.139999,81.139999,81.139999,81.139999,11.0
2021-08-27,82.760002,82.760002,82.760002,82.760002,60.0
2021-09-10,84.410004,84.410004,84.410004,84.410004,1.0
2021-09-20,86.089996,86.089996,86.089996,86.089996,1.0
2021-09-28,84.5,84.5,84.5,84.5,1.0
2021-09-29,86.0,86.0,86.0,86.0,2.0
2021-10-04,87.709999,87.709999,87.709999,87.709999,5.0
2021-10-06,85.970001,85.970001,85.970001,85.970001,191.0
2021-10-07,86.050003,86.050003,86.050003,86.050003,2609.0
2021-10-21,89.449997,89.449997,89.449997,89.449997,5.0
2021-10-22,93.0,93.0,93.0,93.0,5.0
2021-10-26,95.0,95.0,95.0,95.0,10.0
2021-10-27,95.0,95.0,95.0,95.0,10.0
2021-10-28,97.989998,97.989998,97.989998,97.989998,15.0
2021-10-29,101.9,101.9,101.9,101.9,16.0
2021-11-02,105.5,105.5,105.5,105.5,15.0
2021-11-03,105.5,105.5,105.5,105.5,12.0
2021-11-04,108.0,108.0,108.0,108.0,12.0
