Time,Open,High,Low,Close,Volume
2013-02-22,775.0,775.0,775.0,775.0,278.0
2013-02-25,775.5,775.5,775.0,775.0,314.0
2013-02-26,776.0,776.0,775.0,775.0,16.0
2013-02-27,764.0,775.0,764.0,765.0,443.0
2013-02-28,768.0,803.0,768.0,803.0,4050.0
2013-03-01,771.0,801.0,768.0,772.0,3108.0
2013-03-04,772.0,772.0,772.0,772.0,1500.0
2013-03-05,808.0,808.0,808.0,808.0,2.0
2013-03-06,824.0,824.0,824.0,824.0,1.0
2013-03-07,776.0,776.0,776.0,776.0,200.0
2013-03-08,780.0,815.0,755.0,755.0,1502.0
2013-03-12,750.0,800.0,750.0,800.0,217.0
2013-03-13,760.0,809.0,760.0,809.0,15.0
2013-03-15,765.0,809.0,765.0,765.0,233.0
2013-03-18,765.0,785.0,765.0,785.0,2.0
2013-03-19,803.0,803.0,765.0,765.0,6.0
2013-03-20,803.0,803.0,766.09998,785.0,100003.0
2013-03-21,766.0,802.0,766.0,766.0,4.0
2013-03-22,772.0,784.90002,772.0,784.90002,4001.0
2013-03-25,769.0,772.0,765.0,765.0,102458.0
2013-03-26,782.0,782.0,782.0,782.0,8.0
2013-03-28,784.90002,784.90002,784.90002,784.90002,3.0
2013-04-03,767.09998,799.0,765.0,799.0,40.0
2013-04-08,768.0,800.0,768.0,800.0,3.0
2013-04-10,800.0,802.90002,768.0,802.90002,42.0
2013-04-11,772.0,805.0,772.0,805.0,162.0
2013-04-15,772.0,772.0,770.0,770.0,5.0
2013-04-19,770.0,770.0,766.0,768.0,2600.0
2013-04-23,760.0,760.0,760.0,760.0,15.0
2013-04-24,760.0,760.0,760.0,760.0,2148.0
2013-04-26,790.0,790.0,790.0,790.0,150.0
2013-04-29,790.0,790.0,790.0,790.0,19800.0
2013-04-30,755.09998,790.0,755.09998,790.0,75.0
2013-05-10,755.0,755.0,755.0,755.0,100.0
2013-05-13,788.0,788.0,788.0,788.0,15.0
2013-05-14,785.0,785.0,785.0,785.0,334.0
2013-05-17,761.0,761.0,761.0,761.0,1400.0
2013-05-20,789.90002,789.90002,789.90002,789.90002,2.0
2013-05-22,770.0,770.0,770.0,770.0,188.0
2013-05-23,770.0,770.0,770.0,770.0,4.0
2013-05-28,701.59998,784.40002,701.59998,784.40002,50.0
2013-05-30,738.0,784.0,738.0,784.0,1642.0
2013-06-04,741.0,779.0,741.0,779.0,3.0
2013-06-07,750.0,750.0,750.0,750.0,177.0
2013-06-10,741.0,780.0,711.0,780.0,132.0
2013-06-11,755.0,780.0,755.0,780.0,100.0
2013-06-12,778.0,826.0,734.09998,810.0,30536.0
2013-06-13,766.0,766.0,763.0,763.0,54.0
2013-06-14,745.0,746.0,742.0,746.0,7109.0
2013-06-17,790.70001,790.70001,790.70001,790.70001,50.0
2013-06-19,808.0,808.0,808.0,808.0,20.0
2013-06-20,759.59998,790.0,759.59998,790.0,9.0
2013-06-26,760.0,825.0,760.0,825.0,31034.0
2013-06-28,752.0,804.0,752.0,789.0,3797.0
2013-07-05,742.5,742.5,742.5,742.5,487.0
2013-07-09,720.5,720.5,700.0,700.0,50.0
2013-07-10,740.5,740.5,740.5,740.5,1.0
