Time,Open,High,Low,Close,Volume
2025-12-08,219.95,219.95,219.95,219.95,564.0
2025-12-09,241.9,241.9,241.9,241.9,2300.0
2025-12-10,266.05,266.05,266.05,266.05,34671.0
2025-12-11,292.65,292.65,292.65,292.65,86675.0
2025-12-12,321.9,321.9,321.9,321.9,617786.0
2025-12-15,311.15,334.0,305.0,319.0,723591.0
2025-12-16,312.0,314.85,307.1,312.05,122826.0
2025-12-17,307.2,310.0,300.4,305.0,121979.0
2025-12-18,305.0,318.95,303.0,310.0,98104.0
2025-12-19,312.0,322.0,312.0,318.0,113479.0
2025-12-22,316.0,317.0,307.5,310.05,58475.0
2025-12-23,310.0,310.05,306.0,307.05,45632.0
2025-12-24,306.2,309.0,306.0,307.0,49116.0
2025-12-25,307.0,308.8,307.0,307.15,50470.0
2025-12-26,305.2,310.0,303.0,310.0,68721.0
2025-12-29,301.05,305.0,292.7,298.0,65171.0
2025-12-30,293.5,298.05,293.0,298.05,34644.0
2025-12-31,300.0,307.0,295.0,307.0,59615.0
2026-01-02,301.0,310.0,295.15,310.0,27305.0
2026-01-05,301.0,315.5,301.0,313.95,31759.0
2026-01-06,310.0,318.5,309.8,317.95,63565.0
2026-01-07,316.0,317.0,307.0,308.0,65873.0
2026-01-08,310.0,310.0,301.0,304.1,19203.0
2026-01-09,301.7,310.0,300.15,310.0,555791.0
2026-01-12,304.0,307.0,303.05,303.05,8593.0
2026-01-13,302.5,304.95,302.05,302.05,10394.0
2026-01-15,300.1,301.0,296.0,296.1,31669.0
2026-01-16,296.0,300.0,296.0,299.95,8277.0
2026-01-19,293.5,296.5,293.5,295.0,3365.0
2026-01-20,290.1,295.0,288.0,295.0,39836.0
2026-01-21,290.0,296.0,290.0,295.0,28557.0
2026-01-22,295.0,299.0,295.0,296.0,11193.0
2026-01-23,296.0,297.0,294.0,296.0,11144.0
2026-01-26,296.0,298.0,286.0,296.0,72540.0
2026-01-27,290.0,296.0,290.0,296.0,11774.0
2026-01-28,290.0,299.0,290.0,299.0,19119.0
2026-01-29,296.1,300.0,296.1,300.0,19803.0
2026-01-30,297.1,298.95,291.1,295.0,15108.0
2026-02-02,293.0,293.0,289.0,291.0,20211.0
2026-02-03,290.0,296.0,290.0,295.0,9782.0
2026-02-04,292.0,300.0,292.0,295.3,82320.0
2026-02-05,295.0,297.9,295.0,295.0,13248.0
2026-02-06,293.0,298.0,285.0,290.0,34195.0
2026-02-09,290.05,300.0,290.0,300.0,12713.0
2026-02-10,292.55,298.0,288.05,294.45,2912.0
2026-02-11,290.0,295.0,287.1,291.0,48770.0
2026-02-12,287.0,295.0,285.0,295.0,21250.0
2026-02-13,291.15,295.0,288.0,295.0,3455.0
2026-02-16,290.1,294.9,290.1,294.9,4141.0
2026-02-17,290.0,292.95,288.35,290.0,1368.0
2026-02-18,288.5,290.7,286.15,290.7,4599.0
2026-02-19,286.15,290.0,286.15,287.6,1197.0
2026-02-20,287.75,292.0,287.75,292.0,10705.0
2026-02-23,286.0,292.0,286.0,292.0,2535.0
2026-02-24,290.0,295.0,288.0,294.95,30524.0
2026-02-25,290.2,295.85,290.2,295.85,10376.0
2026-02-26,292.3,295.0,292.0,295.0,5388.0
2026-02-27,292.05,295.0,290.05,295.0,8023.0
2026-03-02,271.05,282.0,271.0,280.0,23675.0
2026-03-03,271.0,275.95,255.05,267.0,44788.0
2026-03-04,265.0,280.0,265.0,268.5,3352.0
2026-03-05,269.0,275.0,267.1,275.0,4118.0
2026-03-06,279.9,280.0,262.0,280.0,33566.0
2026-03-09,280.0,280.0,267.0,270.0,3756.0
2026-03-10,274.0,274.5,268.15,268.15,2912.0
2026-03-11,268.15,270.0,264.0,265.0,7397.0
2026-03-12,265.0,267.75,261.3,261.3,4045.0
2026-03-13,262.0,264.0,252.0,252.0,10257.0
2026-03-16,252.0,261.6,252.0,261.6,2582.0
2026-03-17,260.0,260.9,253.35,257.0,3825.0
2026-03-18,255.3,274.0,255.3,274.0,13157.0
2026-03-19,270.0,275.0,265.0,275.0,4913.0
2026-03-24,270.4,283.0,270.4,283.0,41322.0
2026-03-25,280.0,283.0,280.0,280.0,56038.0
2026-03-26,278.0,288.5,273.2,288.5,6648.0
2026-03-27,280.0,287.85,278.05,287.0,2942.0
