Time,Open,High,Low,Close,Volume
2012-03-26,700.0,700.0,700.0,700.0,1.0
2012-03-27,699.0,699.0,670.0,699.0,197.0
2012-03-28,690.0,690.0,690.0,690.0,2000.0
2012-03-29,725.0,725.0,725.0,725.0,705.0
2012-03-30,750.0,750.0,700.0,750.0,13751.0
2012-04-06,710.0,710.0,710.0,710.0,125.0
2012-04-09,712.0,712.0,712.0,712.0,118.0
2012-04-13,700.0,700.0,700.0,700.0,200.0
2012-04-17,685.0,685.0,685.0,685.0,20.0
2012-04-19,718.0,718.0,718.0,718.0,10.0
2012-04-23,700.0,700.0,700.0,700.0,7.0
2012-04-24,701.0,701.0,701.0,701.0,5.0
2012-04-25,725.0,725.0,725.0,725.0,6904.0
2012-04-27,701.0,701.0,701.0,701.0,16.0
2012-05-08,701.0,724.0,701.0,701.0,7.0
2012-05-10,699.0,699.0,699.0,699.0,66.0
2012-05-16,658.0,658.0,658.0,658.0,35.0
2012-05-18,601.0,601.0,601.0,601.0,30.0
2012-05-22,625.0,625.0,625.0,625.0,4.0
2012-05-24,636.0,636.0,636.0,636.0,5.0
2012-05-29,610.0,610.0,610.0,610.0,98.0
2012-06-01,610.0,646.0,610.0,610.0,151.0
2012-06-04,640.0,640.0,640.0,640.0,84.0
2012-06-05,655.0,655.0,655.0,655.0,60.0
2012-06-06,675.0,675.0,675.0,675.0,1.0
2012-06-08,675.0,675.0,675.0,675.0,100.0
2012-06-13,699.0,699.0,699.0,699.0,100.0
2012-06-14,700.0,700.0,700.0,700.0,100.0
2012-06-15,700.0,700.0,700.0,700.0,130.0
2012-06-18,700.0,700.0,700.0,700.0,70.0
2012-06-19,700.0,700.0,700.0,700.0,35.0
2012-06-20,700.0,700.0,700.0,700.0,305.0
2012-06-21,697.0,697.0,697.0,697.0,230.0
2012-06-26,699.0,699.0,685.0,699.0,505.0
2012-06-29,699.0,699.0,663.0,699.0,518.0
2012-07-19,660.0,660.0,660.0,660.0,10.0
2012-08-03,621.0,621.0,621.0,621.0,291.0
2012-08-06,630.0,630.0,630.0,630.0,10.0
2012-08-22,612.0,612.0,612.0,612.0,343.0
2012-08-23,636.0,636.0,636.0,636.0,1.0
2012-08-28,603.0,612.0,603.0,603.0,50.0
2012-08-30,607.0,607.0,605.0,607.0,9500.0
2012-08-31,606.0,610.0,606.0,606.0,410.0
2012-09-06,611.0,611.0,610.0,611.0,203.0
2012-09-12,615.0,615.0,615.0,615.0,1000.0
2012-09-14,615.0,615.0,615.0,615.0,22.0
2012-09-17,618.0,618.0,618.0,618.0,500.0
