Time,Open,High,Low,Close,Volume
2012-03-27,940.0,970.0,940.0,940.0,631.0
2012-03-28,940.0,940.0,940.0,940.0,500.0
2012-03-29,940.0,940.0,940.0,940.0,30.0
2012-03-30,960.0,960.0,940.0,960.0,3686.0
2012-04-03,1012.0,1012.0,965.0,1012.0,741.0
2012-04-04,995.0,995.0,953.0,995.0,7.0
2012-04-05,994.0,994.0,994.0,994.0,44.0
2012-04-06,936.0,950.0,936.0,936.0,1029.0
2012-04-09,930.0,930.0,930.0,930.0,150.0
2012-04-13,904.0,904.0,904.0,904.0,1963.0
2012-04-17,939.0,939.0,939.0,939.0,100.0
2012-04-18,978.0,978.0,953.0,978.0,284.0
2012-04-19,920.0,930.0,920.0,920.0,587.0
2012-04-20,950.0,950.0,950.0,950.0,1.0
2012-04-23,974.0,974.0,916.0,974.0,160.0
2012-04-26,950.0,950.0,929.0,950.0,992.0
2012-04-27,901.0,931.0,901.0,901.0,1160.0
2012-04-30,949.0,949.0,900.0,949.0,250.0
2012-05-02,945.0,945.0,945.0,945.0,12.0
2012-05-03,939.0,939.0,939.0,939.0,13.0
2012-05-04,903.0,903.0,903.0,903.0,500.0
2012-05-07,930.0,930.0,896.0,930.0,160.0
2012-05-10,915.0,915.0,915.0,915.0,2442.0
2012-05-11,915.0,915.0,900.0,915.0,346.0
2012-05-14,915.0,915.0,915.0,915.0,10290.0
2012-05-15,915.0,915.0,915.0,915.0,1882.0
2012-05-16,900.0,910.0,900.0,900.0,100.0
2012-05-17,866.0,900.0,866.0,866.0,2098.0
2012-05-18,895.0,895.0,861.0,895.0,530.0
2012-05-23,899.0,899.0,893.0,899.0,570.0
2012-05-24,909.0,909.0,899.0,909.0,68.0
2012-05-25,911.0,911.0,909.0,911.0,210.0
2012-05-28,912.0,912.0,912.0,912.0,5.0
2012-05-29,913.0,913.0,900.0,913.0,218.0
2012-05-31,910.0,948.0,910.0,910.0,691.0
2012-06-01,910.0,945.0,910.0,910.0,1683.0
2012-06-04,905.0,905.0,905.0,905.0,20.0
2012-06-05,906.0,906.0,905.0,906.0,1066.0
2012-06-06,905.0,905.0,890.0,905.0,156.0
2012-06-07,851.0,855.0,851.0,851.0,42.0
2012-06-08,857.0,862.0,857.0,857.0,96.0
2012-06-11,860.0,875.0,860.0,860.0,49.0
2012-06-12,851.0,885.0,851.0,851.0,139.0
2012-06-13,884.0,884.0,860.0,884.0,26.0
2012-06-14,884.0,884.0,860.0,884.0,84.0
2012-06-19,920.0,920.0,920.0,920.0,70.0
2012-06-21,880.0,880.0,871.0,880.0,324.0
2012-06-22,855.0,880.0,850.0,855.0,610.0
2012-06-25,851.0,851.0,851.0,851.0,100.0
2012-06-28,898.0,898.0,898.0,898.0,20.0
2012-06-29,845.0,895.0,845.0,845.0,6506.0
2012-07-02,884.0,884.0,884.0,884.0,100.0
2012-07-04,856.0,856.0,856.0,856.0,28.0
2012-07-06,870.0,870.0,807.0,870.0,1338.0
2012-07-09,825.0,870.0,825.0,825.0,578.0
2012-07-10,830.0,831.0,830.0,830.0,100.0
2012-07-12,830.0,830.0,830.0,830.0,30.0
2012-07-13,806.0,806.0,806.0,806.0,659.0
2012-07-16,845.0,845.0,810.0,845.0,32.0
2012-07-18,812.0,812.0,812.0,812.0,20.0
2012-07-19,814.0,814.0,814.0,814.0,1.0
