Time,Open,High,Low,Close,Volume
2024-12-16,219.95,219.95,219.95,219.95,23946.0
2024-12-17,241.9,241.9,241.9,241.9,9704.0
2024-12-18,266.05,266.05,266.05,266.05,235151.0
2024-12-19,286.0,286.0,275.1,275.1,3029705.0
2024-12-20,275.1,279.85,275.1,277.4,335155.0
2024-12-23,275.15,277.0,266.05,272.85,120563.0
2024-12-24,268.0,270.0,267.0,267.0,103209.0
2024-12-25,268.0,276.55,268.0,273.65,119900.0
2024-12-26,275.0,279.0,273.5,277.0,84787.0
2024-12-27,276.1,279.5,275.0,277.4,136354.0
2024-12-30,277.1,278.5,276.0,277.8,22532.0
2024-12-31,278.05,290.0,278.05,290.0,135891.0
2025-01-02,297.1,315.0,297.1,305.5,452140.0
2025-01-03,307.0,317.0,307.0,315.0,357804.0
2025-01-06,320.0,330.0,315.0,317.9,237533.0
2025-01-07,317.05,344.0,315.0,344.0,240607.0
2025-01-08,361.0,375.0,359.0,362.7,281459.0
2025-01-09,364.9,375.0,361.0,362.0,144109.0
2025-01-10,363.0,365.0,339.0,346.0,247616.0
2025-01-13,346.0,353.7,336.3,351.05,59984.0
2025-01-15,352.0,365.0,351.0,358.95,55307.0
2025-01-16,359.5,365.0,356.1,360.0,160241.0
2025-01-17,358.0,372.0,357.1,364.0,166028.0
2025-01-20,365.0,373.0,364.0,366.0,61658.0
2025-01-21,366.1,366.5,359.0,360.0,77666.0
2025-01-22,358.0,360.0,342.5,358.0,56079.0
2025-01-23,355.6,365.0,355.6,360.1,106916.0
2025-01-24,361.0,366.0,355.55,364.0,80584.0
2025-01-27,360.1,365.0,358.0,360.0,27056.0
2025-01-28,358.0,359.5,356.0,359.0,14154.0
2025-01-29,357.1,362.0,357.1,360.0,28897.0
2025-01-30,358.1,362.0,357.2,358.0,22623.0
2025-01-31,358.1,360.0,352.0,355.0,9729.0
2025-02-03,352.1,355.0,350.1,354.95,7860.0
2025-02-04,350.0,355.0,347.35,353.9,30280.0
2025-02-05,351.0,360.0,351.0,352.1,30186.0
2025-02-06,352.05,355.0,350.0,351.95,28453.0
2025-02-07,351.0,352.5,348.0,350.0,17834.0
2025-02-10,345.0,348.55,344.45,344.45,35952.0
2025-02-11,341.1,341.1,325.1,325.1,93905.0
2025-02-12,326.0,350.0,325.1,342.0,125342.0
2025-02-13,336.2,343.0,336.2,339.5,40133.0
2025-02-14,340.0,344.5,340.0,344.0,50274.0
2025-02-17,348.9,354.0,343.0,345.2,23188.0
2025-02-18,341.2,348.85,338.0,341.5,28622.0
2025-02-19,344.0,349.0,338.0,338.0,72977.0
2025-02-20,336.95,336.95,328.0,330.0,124341.0
2025-02-21,327.0,330.0,311.0,325.0,165376.0
2025-02-24,325.1,339.5,325.1,339.5,32763.0
2025-02-25,340.0,340.9,330.5,339.8,27805.0
2025-02-26,334.0,340.0,334.0,337.0,32831.0
2025-02-27,337.05,340.0,327.55,327.55,31608.0
2025-02-28,330.0,337.0,330.0,335.0,70105.0
2025-03-03,330.0,334.95,327.5,327.5,3721.0
2025-03-04,327.55,330.0,320.0,320.0,8991.0
2025-03-05,320.0,328.9,315.0,323.0,54558.0
2025-03-06,317.4,328.0,316.2,327.8,9513.0
2025-03-07,319.0,330.0,318.5,330.0,22135.0
2025-03-10,322.0,329.85,321.5,328.85,9309.0
2025-03-11,325.0,325.0,319.0,320.0,5865.0
2025-03-12,320.0,320.0,306.05,314.4,10917.0
2025-03-13,320.0,320.0,306.0,311.0,35712.0
2025-03-14,311.3,318.9,311.0,313.0,20716.0
2025-03-17,313.0,315.0,309.0,310.0,6151.0
2025-03-18,308.0,313.0,297.0,313.0,72244.0
2025-03-19,314.0,320.0,311.2,315.0,85283.0
2025-03-20,312.05,328.9,312.0,328.5,56609.0
2025-03-21,325.0,341.0,325.0,339.85,148111.0
2025-03-24,350.0,364.0,340.0,353.8,135020.0
2025-03-25,354.0,354.0,335.0,336.1,63282.0
2025-03-26,336.0,348.0,335.1,339.5,20159.0
2025-03-27,336.0,336.0,328.5,328.5,14789.0
2025-03-28,328.5,330.0,325.3,329.9,38567.0
2025-04-02,329.0,329.9,323.0,329.9,8153.0
2025-04-03,329.0,329.0,313.0,313.0,12993.0
