Time,Open,High,Low,Close,Volume
2012-03-26,42.5,42.5,42.02,42.5,1263.0
2012-03-27,42.02,42.099998,42.02,42.02,645.0
2012-03-28,42.02,42.099998,42.0,42.02,1927.0
2012-03-29,41.82,42.580002,41.82,41.82,7504.0
2012-03-30,41.880001,41.900002,41.52,41.880001,53154.0
2012-04-02,41.900002,41.900002,41.5,41.900002,713.0
2012-04-03,41.0,41.799999,40.560001,41.0,1471.0
2012-04-04,40.5,41.0,40.5,40.5,367.0
2012-04-05,40.98,41.0,40.98,40.98,33.0
2012-04-06,38.599998,41.5,38.599998,38.599998,9788.0
2012-04-09,39.98,40.0,39.98,39.98,106013.0
2012-04-13,40.0,40.0,38.599998,40.0,58845.0
2012-04-16,40.0,40.0,40.0,40.0,20012.0
2012-04-17,40.220001,40.220001,40.0,40.220001,102.0
2012-04-18,40.400002,40.400002,39.099998,40.400002,270.0
2012-04-19,39.599998,40.400002,39.599998,39.599998,1037.0
2012-04-20,39.68,39.68,39.68,39.68,6000.0
2012-04-23,39.720001,40.400002,39.68,39.720001,533.0
2012-04-24,40.0,40.0,39.759998,40.0,1151.0
2012-04-25,39.639999,39.959999,39.619999,39.639999,12785.0
2012-04-26,39.619999,40.0,39.619999,39.619999,14077.0
2012-04-27,39.66,39.66,39.619999,39.66,4069.0
2012-04-30,40.0,40.299999,39.099998,40.0,410.0
2012-05-02,39.16,39.16,39.119999,39.16,7690.0
2012-05-03,39.139999,39.18,39.139999,39.139999,1427.0
2012-05-04,39.0,39.0,38.599998,39.0,3262.0
2012-05-07,39.779999,39.779999,38.66,39.779999,405.0
2012-05-08,39.740002,39.740002,39.0,39.740002,17415.0
2012-05-09,39.299999,39.799999,39.060001,39.299999,20960.0
2012-05-10,39.700001,39.700001,39.200001,39.700001,300.0
2012-05-11,39.099998,39.700001,39.02,39.099998,6962.0
2012-05-14,39.0,39.099998,38.220001,39.0,5250.0
2012-05-15,39.580002,39.580002,38.5,39.580002,52915.0
2012-05-16,39.5,39.599998,39.5,39.5,30015.0
2012-05-17,39.419998,39.5,38.279999,39.419998,40119.0
2012-05-18,39.0,39.0,38.200001,39.0,6340.0
2012-05-21,38.18,38.18,38.040001,38.18,521.0
2012-05-22,38.099998,39.0,38.099998,38.099998,300.0
2012-05-23,39.419998,39.419998,38.099998,39.419998,1632.0
2012-05-24,39.0,39.0,38.099998,39.0,561.0
2012-05-25,40.0,40.0,39.0,40.0,35404.0
2012-05-28,39.939999,39.939999,38.720001,39.939999,2402.0
2012-05-29,38.720001,39.880001,38.720001,38.720001,3313.0
2012-05-30,38.82,38.82,38.759998,38.82,578.0
2012-05-31,40.5,40.5,38.82,40.5,44640.0
2012-06-01,40.48,40.5,39.900002,40.48,2845.0
2012-06-04,40.0,40.0,40.0,40.0,5526.0
2012-06-05,39.439999,40.0,39.240002,39.439999,31213.0
2012-06-06,40.299999,40.299999,39.52,40.299999,1067.0
2012-06-07,40.380001,40.380001,40.0,40.380001,743624.0
2012-06-08,40.900002,40.900002,39.720001,40.900002,2400.0
2012-06-11,40.02,41.0,40.0,40.02,3629.0
2012-06-12,40.259998,41.400002,40.220001,40.259998,10971.0
2012-06-13,39.119999,40.16,39.02,39.119999,157065.0
2012-06-14,39.5,39.5,39.139999,39.5,7559.0
2012-06-15,40.439999,40.439999,39.200001,40.439999,82247.0
2012-06-18,40.400002,40.459999,39.66,40.400002,50083.0
2012-06-19,40.400002,40.400002,39.619999,40.400002,22571.0
2012-06-20,40.400002,40.400002,40.0,40.400002,10814.0
2012-06-21,40.400002,40.400002,40.02,40.400002,12491.0
