Time,Open,High,Low,Close,Volume
2016-03-31,265.04999,265.5,265.0,265.0,1103.0
2016-04-01,265.0,265.0,265.0,265.0,357.0
2016-04-04,264.5,265.0,264.5,265.0,4430.0
2016-04-05,267.0,270.0,267.0,270.0,1114.0
2016-04-06,270.0,270.0,270.0,270.0,37.0
2016-04-07,270.0,275.0,261.60001,275.0,3994.0
2016-04-08,271.0,275.0,270.0,270.0,240.0
2016-04-12,265.0,265.0,265.0,265.0,2.0
2016-04-13,270.0,278.89999,270.0,278.89999,1155.0
2016-04-14,270.10001,277.0,270.10001,270.10001,1039.0
2016-04-18,270.10001,270.10001,265.0,266.10001,245.0
2016-04-19,267.0,270.0,267.0,270.0,2030.0
2016-04-20,266.20001,266.20001,266.04999,266.04999,235.0
2016-04-21,267.0,274.89999,267.0,274.89999,171.0
2016-04-22,267.0,267.0,267.0,267.0,437.0
2016-04-25,266.04999,266.04999,266.04999,266.04999,25.0
2016-04-27,265.0,265.0,251.05,251.05,32.0
2016-04-28,265.0,265.0,265.0,265.0,20.0
2016-04-29,253.2,265.0,253.2,265.0,63.0
2016-05-02,265.0,265.0,265.0,265.0,232.0
2016-05-04,265.0,278.0,260.0,265.0,609.0
2016-05-05,265.04999,267.10001,265.04999,267.10001,3.0
2016-05-06,278.0,278.0,265.0,267.10001,176.0
2016-05-09,265.10001,265.10001,265.0,265.0,44.0
2016-05-10,269.0,270.0,269.0,269.0,165.0
2016-05-12,265.10001,265.10001,265.10001,265.10001,45.0
2016-05-13,265.10001,265.10001,265.10001,265.10001,10.0
2016-05-17,265.10001,265.10001,265.10001,265.10001,8.0
2016-05-18,269.0,271.0,269.0,271.0,2433.0
2016-05-19,266.0,273.0,266.0,273.0,15073.0
2016-05-20,270.0,273.0,270.0,273.0,206.0
2016-05-24,273.0,273.0,272.95001,272.95001,138738.0
2016-05-27,273.0,273.0,273.0,273.0,65.0
2016-05-30,275.0,276.0,274.5,276.0,1117.0
2016-05-31,275.0,276.5,275.0,276.5,503.0
2016-06-01,269.0,269.0,265.04999,265.04999,976.0
2016-06-02,265.04999,265.04999,265.04999,265.04999,91.0
2016-06-06,274.0,274.0,274.0,274.0,4.0
2016-06-07,268.0,269.0,268.0,269.0,478.0
2016-06-08,270.0,270.0,270.0,270.0,30.0
2016-06-13,268.0,268.0,268.0,268.0,20.0
2016-06-14,268.14999,270.0,268.14999,270.0,253.0
2016-06-15,267.0,267.0,267.0,267.0,38.0
2016-06-20,273.0,273.0,273.0,273.0,2.0
2016-06-22,270.0,270.0,270.0,270.0,256.0
2016-06-23,261.04999,268.5,261.04999,268.5,505.0
2016-06-24,263.0,263.0,263.0,263.0,95.0
2016-06-27,262.5,262.5,262.5,262.5,22.0
2016-06-28,262.5,262.5,260.04999,260.04999,425.0
2016-06-29,260.0,260.0,259.04999,260.0,482.0
2016-06-30,260.0,260.0,252.0,252.0,198.0
2016-07-01,242.0,242.0,230.0,230.0,83.0
2016-07-05,230.05,230.05,230.05,230.05,22.0
2016-07-12,230.05,230.05,230.05,230.05,22.0
2016-07-13,230.05,230.05,230.05,230.05,13.0
2016-07-14,230.05,241.39999,230.05,241.39999,31.0
2016-07-18,241.8,243.0,241.8,243.0,1041.0
2016-07-19,243.0,243.0,243.0,243.0,50.0
2016-07-20,231.3,244.5,231.2,244.5,27.0
2016-07-21,231.3,245.0,231.3,245.0,116.0
2016-07-22,243.0,243.0,243.0,243.0,2000.0
2016-07-26,232.60001,241.39999,232.0,241.39999,35.0
2016-07-27,239.89999,241.0,239.89999,241.0,2000.0
2016-07-29,240.95,241.0,240.95,241.0,2000.0
2016-08-05,240.0,241.0,240.0,241.0,1260.0
2016-08-09,236.0,236.0,235.05,235.05,50.0
2016-08-11,235.05,241.89999,235.05,240.0,3088.0
2016-08-12,242.0,245.0,242.0,245.0,1000.0
2016-08-15,236.2,236.2,236.2,236.2,1.0
2016-08-16,240.0,240.0,240.0,240.0,1176.0
2016-08-18,237.5,240.0,237.5,240.0,232.0
2016-08-22,240.0,240.0,240.0,240.0,5.0
2016-08-23,240.05,240.05,240.05,240.05,5.0
2016-08-24,240.05,240.05,240.05,240.05,42.0
2016-08-25,240.05,240.05,240.0,240.0,249.0
2016-08-30,240.0,240.0,240.0,240.0,6.0
2016-08-31,245.0,254.89999,240.0,240.0,389.0
2016-09-02,245.0,245.0,245.0,245.0,4.0
2016-09-06,245.0,245.0,240.0,245.0,163.0
2016-09-14,244.75,244.89999,244.75,244.89999,15.0
2016-09-15,244.89999,244.89999,244.89999,244.89999,5.0
2016-09-16,244.89999,245.0,243.0,243.0,1248.0
2016-09-19,255.0,260.04999,255.0,260.0,1796.0
2016-09-20,259.20001,266.39999,258.70001,258.70001,133.0
2016-09-21,260.0,260.0,260.0,260.0,270.0
2016-09-22,263.0,267.0,263.0,267.0,664.0
2016-09-23,270.0,270.0,265.0,265.20001,495.0
2016-09-26,265.20001,274.0,265.20001,274.0,1185.0
2016-09-27,275.0,280.0,275.0,275.0,275.0
2016-09-28,280.0,285.0,275.0,285.0,1035.0
2016-09-29,282.0,282.0,280.0,280.0,451.0
2016-09-30,280.0,280.0,277.10001,278.0,449.0
2016-10-04,277.20001,277.20001,277.20001,277.20001,2.0
2016-10-05,277.5,277.5,277.5,277.5,22.0
2016-10-06,280.0,285.0,280.0,282.0,752.0
2016-10-07,282.0,289.0,281.5,289.0,1192.0
2016-10-10,293.0,305.0,293.0,300.0,8287.0
2016-10-11,300.0,300.0,300.0,300.0,170.0
2016-10-12,291.14999,291.14999,291.14999,291.14999,49.0
2016-10-13,291.14999,291.14999,291.14999,291.14999,10.0
2016-10-14,291.14999,295.0,291.10001,291.10001,116.0
2016-10-17,290.0,290.0,286.0,286.0,51.0
2016-10-18,278.20001,278.20001,278.20001,278.20001,5.0
2016-10-19,286.5,286.5,286.5,286.5,2.0
