Time,Open,High,Low,Close,Volume
2012-03-26,253.0,254.10001,253.0,253.0,469.0
2012-03-27,237.85001,237.85001,237.85001,237.85001,2.0
2012-03-30,252.05,252.05,252.05,252.05,2.0
2012-04-03,240.5,240.5,240.5,240.5,100.0
2012-04-05,240.0,240.5,240.0,240.0,20.0
2012-04-06,240.0,240.0,240.0,240.0,540.0
2012-04-13,240.0,240.0,240.0,240.0,450.0
2012-04-17,247.0,247.0,247.0,247.0,3.0
2012-04-19,240.0,247.0,240.0,240.0,14.0
2012-04-20,240.0,240.0,240.0,240.0,1.0
2012-04-24,240.0,240.0,240.0,240.0,14.0
2012-04-26,240.0,240.0,240.0,240.0,12.0
2012-04-27,240.5,240.5,240.0,240.5,150.0
2012-04-30,240.0,240.5,240.0,240.0,70.0
2012-05-02,240.0,240.0,240.0,240.0,6.0
2012-05-03,250.0,250.0,240.0,250.0,492.0
2012-05-04,235.0,235.0,235.0,235.0,24.0
2012-05-11,227.0,227.0,227.0,227.0,10.0
2012-05-14,225.0,225.0,225.0,225.0,24.0
2012-05-15,225.0,225.0,225.0,225.0,1500.0
2012-05-17,216.0,216.5,216.0,216.0,24.0
2012-05-18,216.5,216.5,216.5,216.5,125.0
2012-05-22,227.89999,227.89999,227.89999,227.89999,8.0
2012-05-24,240.0,240.0,240.0,240.0,4.0
2012-05-29,226.0,226.0,226.0,226.0,197.0
2012-05-30,237.0,237.0,237.0,237.0,10.0
2012-05-31,240.0,240.0,230.05,240.0,208.0
2012-06-01,240.0,240.0,240.0,240.0,4.0
2012-06-04,249.89999,249.89999,249.89999,249.89999,3.0
2012-06-05,235.0,235.0,235.0,235.0,24.0
2012-06-07,240.0,240.05,240.0,240.0,208.0
2012-06-08,249.0,249.0,249.0,249.0,8.0
2012-06-12,235.05,236.0,235.05,235.05,19.0
2012-06-13,227.10001,227.10001,227.10001,227.10001,84.0
2012-06-15,240.64999,240.64999,240.64999,240.64999,3.0
2012-06-18,240.25,240.25,240.25,240.25,26.0
2012-06-19,240.7,240.7,228.55,240.7,30.0
2012-06-21,240.0,240.0,240.0,240.0,82000.0
2012-06-26,240.0,249.10001,240.0,240.0,150205.0
2012-06-27,240.0,240.0,240.0,240.0,250000.0
2012-06-28,250.0,250.0,226.0,250.0,100600.0
2012-06-29,265.0,265.0,240.0,265.0,100040.0
2012-07-03,274.0,274.0,249.10001,274.0,218.0
2012-07-05,280.0,280.0,278.0,280.0,10.0
2012-07-12,247.5,247.5,247.5,247.5,15.0
2012-07-13,262.29999,262.29999,262.29999,262.29999,2.0
2012-07-19,272.75,272.75,246.60001,272.75,81.0
2012-07-24,272.0,272.0,256.39999,272.0,111.0
2012-07-27,269.0,269.0,255.7,269.0,138.0
2012-07-31,267.0,267.0,252.89999,267.0,646.0
2012-08-01,266.0,266.0,251.0,266.0,101.0
2012-08-03,270.0,270.0,270.0,270.0,68.0
2012-08-09,256.0,256.0,256.0,256.0,50.0
2012-08-17,259.45001,259.45001,242.05,259.45001,60.0
2012-08-22,243.95,244.0,243.89999,243.95,23.0
2012-08-24,255.95,255.95,255.95,255.95,3.0
2012-08-27,243.0,243.0,243.0,243.0,20.0
2012-08-30,250.0,250.0,243.0,250.0,51.0
2012-08-31,263.79999,263.79999,263.79999,263.79999,50.0
2012-09-03,263.0,263.0,248.0,263.0,40.0
2012-09-04,269.95001,269.95001,269.95001,269.95001,1.0
2012-09-07,266.85001,266.85001,253.8,266.85001,27.0
2012-09-11,253.8,253.8,253.8,253.8,21.0
2012-09-17,240.0,240.0,240.0,240.0,6.0
2012-09-18,225.60001,225.60001,225.60001,225.60001,94.0
2012-09-20,239.0,239.0,216.0,239.0,28.0
2012-09-21,239.0,239.0,224.8,239.0,58.0
2012-09-25,224.7,224.7,224.7,224.7,27.0
2012-09-26,227.0,227.0,227.0,227.0,10.0
2012-09-27,217.0,217.0,217.0,217.0,249.0
2012-09-28,217.0,217.0,217.0,217.0,74.0
2012-10-02,217.0,217.0,217.0,217.0,263.0
2012-10-03,204.10001,205.0,204.05,204.10001,64.0
2012-10-04,212.89999,212.89999,212.89999,212.89999,2.0
2012-10-05,225.64999,225.64999,212.60001,225.64999,27.0
2012-10-08,214.0,214.10001,214.0,214.0,12.0
2012-10-09,214.0,214.0,214.0,214.0,13.0
2012-10-12,224.0,224.0,224.0,224.0,15.0
2012-10-15,236.0,236.0,224.5,236.0,391.0
2012-10-16,223.5,223.5,223.5,223.5,19.0
2012-10-17,214.0,214.0,214.0,214.0,2.0
2012-10-18,204.95,204.95,204.95,204.95,23.0
2012-10-19,217.2,217.2,217.2,217.2,60.0
2012-10-22,213.25,213.25,204.25,213.25,283.0
2012-10-25,210.0,210.0,204.0,210.0,558.0
2012-10-31,210.0,210.0,210.0,210.0,100.0
2012-11-01,210.0,210.0,210.0,210.0,60.0
2012-11-05,210.0,210.0,210.0,210.0,5.0
2012-11-07,210.0,210.0,210.0,210.0,169.0
2012-11-12,209.0,209.0,209.0,209.0,3.0
2012-11-13,205.0,205.0,205.0,205.0,2.0
2012-11-14,210.0,210.0,205.0,210.0,53.0
2012-11-15,214.89999,214.89999,210.0,214.89999,250.0
2012-11-19,204.10001,205.10001,204.10001,204.10001,48.0
2012-11-20,216.3,216.3,214.0,216.3,364.0
2012-11-22,219.8,219.8,219.8,219.8,10.0
2012-11-27,219.0,219.0,219.0,219.0,15.0
2012-11-29,207.25,207.25,207.25,207.25,1.0
2012-11-30,217.95,217.95,217.95,217.95,16.0
2012-12-03,218.0,218.0,218.0,218.0,12.0
2012-12-04,212.0,218.0,212.0,212.0,945952.0
2012-12-07,214.05,214.05,214.05,214.05,1.0
2012-12-12,212.5,212.5,212.5,212.5,1.0
2012-12-14,212.0,212.5,212.0,212.0,10.0
2012-12-19,212.0,212.0,212.0,212.0,1.0
2012-12-21,212.0,212.0,212.0,212.0,19.0
2012-12-24,210.0,212.0,210.0,210.0,24006.0
2012-12-25,206.14999,206.14999,206.14999,206.14999,30.0
2012-12-26,215.0,216.0,206.2,215.0,23.0
2012-12-27,206.14999,213.0,206.10001,206.14999,1642665.0
2012-12-28,206.0,210.0,206.0,206.0,13.0
2012-12-31,193.64999,210.0,193.64999,193.64999,295.0
2013-01-02,200.0,205.25,200.0,200.0,40.0
2013-01-03,188.0,188.0,188.0,188.0,23.0
2013-01-07,199.25,199.25,199.25,199.25,1.0
2013-01-10,190.0,190.0,190.0,190.0,5.0
