Time,Open,High,Low,Close,Volume
2016-03-18,57.009998,57.009998,56.23,56.23,254.0
2016-03-21,56.0,56.110001,55.0,55.0,873.0
2016-03-22,55.0,55.0,55.0,55.0,340.0
2016-03-23,55.0,55.0,55.0,55.0,1761.0
2016-03-24,55.0,55.0,55.0,55.0,44.0
2016-03-25,55.0,55.0,55.0,55.0,1070.0
2016-03-29,55.02,58.299999,55.02,58.299999,69.0
2016-03-31,55.110001,55.130001,55.110001,55.130001,20.0
2016-04-01,55.02,55.02,55.02,55.02,28.0
2016-04-04,55.02,55.02,55.02,55.02,10.0
2016-04-07,55.0,57.0,55.0,57.0,405.0
2016-04-08,56.98,56.98,56.98,56.98,10.0
2016-04-11,54.099998,54.099998,54.099998,54.099998,1.0
2016-04-19,56.880001,56.880001,56.880001,56.880001,10.0
2016-04-25,57.990002,57.990002,57.970001,57.970001,210.0
2016-04-26,55.009998,55.009998,55.009998,55.009998,6.0
2016-04-27,55.0,55.0,53.029999,53.029999,44.0
2016-04-29,55.900002,55.900002,55.900002,55.900002,159.0
2016-05-04,55.0,55.009998,55.0,55.009998,5.0
2016-05-05,55.029999,56.990002,55.029999,56.990002,166.0
2016-05-06,55.0,57.950001,55.0,57.900002,319.0
2016-05-10,55.549999,57.970001,55.549999,57.970001,124.0
2016-05-11,57.900002,57.919998,57.900002,57.919998,110.0
2016-05-12,57.799999,57.900002,57.799999,57.900002,280.0
2016-05-13,57.900002,57.900002,56.5,56.5,299.0
2016-05-16,56.5,57.959999,56.5,57.959999,301.0
2016-05-17,54.5,54.52,54.5,54.52,227.0
2016-05-19,56.889999,56.889999,56.889999,56.889999,51.0
2016-05-23,56.889999,56.889999,56.889999,56.889999,10.0
2016-05-24,55.02,55.02,55.02,55.02,12.0
2016-05-25,55.02,56.900002,55.02,56.900002,79.0
2016-05-27,56.889999,56.889999,56.889999,56.889999,24.0
2016-06-01,57.0,57.0,57.0,57.0,169.0
2016-06-06,58.0,58.0,58.0,58.0,100.0
2016-06-20,69.059998,69.059998,69.059998,69.059998,89.0
2016-06-23,82.239998,82.239998,82.239998,82.239998,127.0
2016-06-28,97.940002,97.940002,97.940002,97.940002,833.0
2016-06-29,97.0,97.050003,97.0,97.050003,487.0
2016-06-30,97.040001,97.040001,97.040001,97.040001,54.0
2016-07-12,97.050003,97.050003,97.010002,97.010002,218.0
2016-07-13,100.0,102.8,100.0,102.8,220.0
2016-07-14,108.95,108.95,108.95,108.95,45.0
2016-07-15,110.0,115.45,110.0,115.45,375.0
2016-07-18,119.0,122.35,119.0,122.35,175.0
2016-07-19,125.0,129.64999,125.0,129.64999,618.0
2016-07-20,137.3,137.39999,137.3,137.39999,30.0
2016-07-21,137.95,144.89999,137.95,143.95,12.0
2016-07-22,144.0,144.0,144.0,144.0,27.0
2016-07-25,139.0,139.0,139.0,139.0,2.0
2016-07-26,135.0,135.0,135.0,135.0,161.0
2016-07-27,126.9,126.9,126.9,126.9,40.0
2016-08-01,119.3,119.3,119.3,119.3,5.0
2016-08-02,112.15,112.15,112.15,112.15,1.0
2016-08-03,105.45,105.45,105.45,105.45,105.0
2016-08-04,99.129997,99.129997,99.129997,99.129997,4.0
2016-08-05,100.0,100.0,100.0,100.0,88.0
2016-08-08,100.0,100.0,100.0,100.0,6.0
2016-08-09,100.0,100.0,100.0,100.0,2.0
2016-08-10,100.0,100.0,100.0,100.0,41.0
2016-08-12,97.099998,97.099998,97.099998,97.099998,452.0
2016-08-15,106.7,106.7,106.7,106.7,55.0
2016-08-16,114.95,114.95,114.95,114.95,11.0
2016-08-17,125.0,125.0,103.5,124.5,195.0
2016-08-22,112.1,112.1,112.1,112.1,50.0
2016-08-23,112.1,112.1,112.1,112.1,2.0
2016-08-29,108.75,108.75,108.75,108.75,2.0
2016-08-30,105.5,112.0,105.5,112.0,4.0
2016-09-01,108.65,108.65,102.0,108.65,54.0
2016-09-02,111.9,111.9,111.9,111.9,2.0
2016-09-05,115.25,115.25,115.25,115.25,5.0
2016-09-06,110.0,110.0,110.0,110.0,10.0
2016-09-08,102.0,115.0,102.0,111.6,8.0
2016-09-09,108.3,108.3,108.3,108.3,824.0
2016-09-19,114.9,114.9,111.5,111.5,6.0
2016-09-23,108.5,108.5,108.5,108.5,80.0
2016-09-26,105.25,114.75,97.699997,114.75,187.0
2016-09-30,103.3,103.3,103.3,103.3,5.0
2016-10-04,110.0,110.0,110.0,110.0,55.0
2016-10-13,103.15,103.15,100.0,100.0,143.0
2016-10-14,97.010002,102.25,95.0,102.25,332.0
2016-10-19,95.0,97.839996,95.0,97.839996,17.0
2016-10-20,97.839996,97.839996,97.839996,97.839996,91.0
2016-10-24,95.0,95.0,91.0,91.0,8.0
2016-10-26,96.900002,96.900002,96.900002,96.900002,10.0
2016-10-27,96.800003,96.800003,91.050003,96.75,209.0
2016-10-28,96.900002,97.0,96.900002,97.0,39.0
2016-10-31,96.900002,96.900002,96.900002,96.900002,2.0
