Time,Open,High,Low,Close,Volume
2012-03-26,197.25,197.25,197.25,197.25,50.0
2012-03-28,196.0,196.0,185.5,196.0,16.0
2012-04-02,183.55,183.55,167.05,183.55,529.0
2012-04-04,172.55,172.60001,172.55,172.55,93.0
2012-04-05,182.89999,182.89999,166.2,182.89999,13.0
2012-04-06,182.0,182.0,172.0,182.0,4.0
2012-04-16,187.0,187.0,180.5,187.0,17.0
2012-04-17,185.0,185.0,175.8,185.0,15.0
2012-04-18,185.0,185.0,176.14999,185.0,18.0
2012-04-19,187.0,187.0,187.0,187.0,10.0
2012-04-25,185.0,185.0,176.2,185.0,31.0
2012-04-27,176.2,176.2,176.2,176.2,4.0
2012-05-02,186.0,186.0,172.0,186.0,21.0
2012-05-08,174.85001,174.85001,174.85001,174.85001,1.0
2012-05-10,185.2,185.2,171.14999,185.2,2.0
2012-05-18,183.2,183.2,174.10001,183.2,213.0
2012-05-21,173.0,173.0,173.0,173.0,395.0
2012-05-24,175.2,175.2,175.2,175.2,8.0
2012-05-25,171.14999,171.2,171.14999,171.14999,22.0
2012-05-28,171.64999,171.7,171.64999,171.64999,36.0
2012-05-29,171.5,171.5,171.5,171.5,3.0
2012-05-30,172.0,181.0,172.0,172.0,59.0
2012-06-04,171.64999,171.64999,171.64999,171.64999,10.0
2012-06-05,171.64999,171.7,171.64999,171.64999,40.0
2012-06-06,175.0,175.0,175.0,175.0,204.0
2012-06-07,175.0,175.0,175.0,175.0,1.0
2012-06-08,171.14999,171.7,171.14999,171.14999,137.0
2012-06-12,165.0,166.10001,165.0,165.0,102.0
2012-06-13,165.10001,166.10001,165.10001,165.10001,12.0
2012-06-14,165.10001,165.10001,165.10001,165.10001,8.0
2012-06-15,165.0,172.0,165.0,165.0,101.0
2012-06-21,165.0,165.0,162.2,165.0,92.0
2012-06-22,162.2,165.0,162.2,162.2,100.0
2012-06-26,163.0,163.0,163.0,163.0,2.0
2012-06-28,163.0,163.0,163.0,163.0,5.0
2012-07-03,154.0,162.35001,154.0,154.0,39.0
2012-07-04,158.0,159.0,158.0,158.0,60.0
2012-07-09,152.0,167.0,150.0,152.0,4421.0
2012-07-11,143.0,143.0,143.0,143.0,30.0
2012-07-12,135.0,147.0,135.0,135.0,352.0
2012-07-16,143.0,143.0,143.0,143.0,6.0
2012-07-17,138.0,138.0,138.0,138.0,600.0
2012-07-18,146.25,146.25,146.25,146.25,7.0
2012-07-20,143.10001,155.0,143.10001,143.10001,110.0
2012-07-25,143.0,144.0,143.0,143.0,101.0
2012-07-26,151.55,151.55,151.55,151.55,1.0
2012-07-27,160.0,160.0,160.0,160.0,1.0
2012-07-31,159.89999,159.89999,159.89999,159.89999,10.0
2012-08-01,169.45,169.45,169.45,169.45,10.0
2012-08-02,159.3,159.3,159.3,159.3,52.0
2012-08-03,159.3,168.0,159.3,159.3,35.0
2012-08-07,149.89999,149.89999,149.89999,149.89999,20.0
2012-08-08,150.0,150.05,150.0,150.0,49.0
2012-08-09,158.95,158.95,158.95,158.95,200.0
2012-08-22,159.95,159.95,149.55,159.95,11.0
2012-08-31,150.45,150.45,150.45,150.45,3.0
2012-09-05,159.45,159.45,155.0,159.45,26.0
2012-09-06,159.0,159.0,159.0,159.0,10.0
2012-09-07,160.0,160.0,155.0,160.0,15.0
2012-09-10,155.10001,155.10001,155.10001,155.10001,10.0
2012-09-11,158.0,158.0,158.0,158.0,5.0
2012-09-13,155.0,156.0,155.0,155.0,239.0
2012-09-21,151.95,151.95,137.0,151.95,1786.0
2012-09-27,142.85001,142.85001,142.85001,142.85001,6.0
2012-10-03,151.39999,151.39999,151.39999,151.39999,27.0
2012-10-04,159.89999,160.0,159.89999,159.89999,331.0
2012-10-05,151.39999,151.45,151.39999,151.39999,66.0
