Time,Open,High,Low,Close,Volume
2015-03-31,207.0,209.10001,207.0,209.10001,210.0
2015-04-01,218.35001,218.45,217.0,217.0,66.0
2015-04-03,209.0,209.0,209.0,209.0,133.0
2015-04-06,205.0,205.5,205.0,205.0,115.0
2015-04-08,214.0,217.3,214.0,217.3,314.0
2015-04-09,219.95,220.0,219.95,220.0,3020.0
2015-04-10,210.0,210.0,210.0,210.0,204.0
2015-04-14,206.8,206.8,206.8,206.8,7.0
2015-04-15,206.85001,206.85001,206.85001,206.85001,20.0
2015-04-21,217.05,219.25,217.05,219.25,6400.0
2015-04-22,208.05,208.10001,208.0,208.0,320.0
2015-04-28,216.89999,216.89999,216.89999,216.89999,10.0
2015-05-11,206.10001,206.10001,206.10001,206.10001,5.0
2015-05-12,206.10001,206.10001,206.10001,206.10001,7.0
2015-05-13,203.0,203.0,203.0,203.0,15.0
2015-05-22,205.55,205.55,192.10001,192.10001,155.0
2015-05-27,189.0,189.0,189.0,189.0,84.0
2015-06-01,191.0,191.0,191.0,191.0,80.0
2015-06-02,192.0,192.0,192.0,192.0,10.0
2015-06-03,192.0,192.0,192.0,192.0,5.0
2015-06-04,195.0,203.0,195.0,203.0,115.0
2015-06-05,196.5,200.0,190.85001,190.85001,77.0
2015-06-12,189.0,189.0,189.0,189.0,28.0
2015-06-15,193.0,200.0,193.0,200.0,120.0
2015-06-16,201.0,201.0,189.0,201.0,34.0
2015-06-17,201.0,201.0,190.10001,190.10001,34.0
2015-06-18,199.85001,200.0,199.85001,200.0,44.0
2015-06-19,196.10001,219.95,196.10001,205.0,460.0
2015-06-22,206.0,206.0,206.0,206.0,10.0
2015-06-26,203.0,214.95,203.0,214.95,512.0
2015-06-29,215.0,215.0,215.0,215.0,10.0
2015-06-30,202.60001,215.0,202.60001,215.0,30.0
2015-07-03,203.0,203.0,203.0,203.0,10.0
2015-07-08,203.0,203.0,203.0,203.0,35.0
2015-07-14,203.0,203.0,203.0,203.0,109.0
2015-07-16,203.0,203.0,203.0,203.0,70.0
2015-07-20,215.14999,215.14999,215.14999,215.14999,195.0
2015-07-22,203.5,215.0,203.0,215.0,55.0
2015-07-24,214.89999,214.89999,214.89999,214.89999,22.0
2015-08-10,213.89999,213.89999,213.89999,213.89999,90.0
2015-08-13,203.5,203.5,203.5,203.5,70.0
2015-08-17,204.0,204.0,204.0,204.0,18.0
2015-08-19,204.0,214.0,204.0,214.0,4020.0
2015-08-24,204.0,204.0,204.0,204.0,1613.0
2015-08-25,193.2,193.2,193.2,193.2,100.0
2015-08-26,193.2,193.2,181.64999,181.64999,144.0
2015-08-27,192.0,192.0,192.0,192.0,18.0
2015-09-02,192.0,192.0,192.0,192.0,22.0
2015-09-03,192.0,192.0,192.0,192.0,43.0
2015-09-07,180.0,180.0,176.0,176.0,50.0
2015-09-16,180.0,180.0,180.0,180.0,2.0
2015-09-17,177.0,177.0,170.0,170.0,6.0
2015-09-18,170.0,175.0,159.8,175.0,343.0
2015-10-01,180.2,180.2,180.2,180.2,16.0
2015-10-02,190.0,190.0,190.0,190.0,11.0
2015-10-05,190.0,201.3,179.0,201.3,106.0
2015-10-09,201.3,201.3,201.3,201.3,5.0
2015-10-14,176.2,177.0,176.2,177.0,159.0
2015-10-19,177.10001,177.10001,176.2,176.2,10.0
2015-10-20,185.0,185.0,185.0,185.0,332.0
2015-10-21,179.89999,179.89999,179.89999,179.89999,16.0
2015-10-22,175.0,175.0,175.0,175.0,3.0
2015-10-23,180.0,185.0,170.0,185.0,357.0
2015-10-27,175.0,175.0,175.0,175.0,480.0
2015-10-30,180.0,180.0,180.0,180.0,500.0
2015-11-04,169.25,185.0,169.2,169.2,264.0
2015-11-05,168.0,175.0,167.2,175.0,95.0
2015-11-09,174.89999,180.0,174.89999,180.0,207.0
2015-11-17,169.2,169.2,169.2,169.2,25.0
2015-12-01,170.0,170.0,170.0,170.0,7.0
2015-12-08,170.0,170.0,170.0,170.0,1.0
2015-12-09,170.0,170.0,169.3,169.3,31.0
2015-12-10,169.3,169.3,169.2,169.2,28.0
2015-12-11,159.05,159.05,159.05,159.05,128.0
2015-12-14,168.55,168.55,168.55,168.55,5.0
2015-12-15,175.0,175.0,175.0,175.0,10.0
2015-12-16,174.95,175.0,174.95,175.0,50.0
2015-12-17,174.89999,174.89999,174.89999,174.89999,40.0
2015-12-18,174.89999,179.89999,174.89999,179.89999,510.0
2015-12-23,179.89999,179.89999,179.89999,179.89999,25.0
2015-12-29,190.64999,190.64999,190.64999,190.64999,230.0
2015-12-30,202.05,202.05,202.05,202.05,62.0
2016-01-06,214.0,214.0,214.0,214.0,254.0
2016-01-07,226.0,226.0,226.0,226.0,19.0
2016-01-08,234.0,234.0,234.0,234.0,123.0
2016-01-15,220.0,220.0,220.0,220.0,20.0
2016-01-22,200.0,200.0,190.0,190.0,211.0
2016-01-25,200.0,200.0,200.0,200.0,100.0
2016-01-28,200.0,200.0,200.0,200.0,1.0
2016-02-02,188.05,199.0,188.05,199.0,111.0
2016-02-05,200.0,200.0,187.10001,187.10001,747.0
2016-02-08,198.0,198.0,198.0,198.0,200.0
2016-02-09,200.0,200.0,200.0,200.0,30.0
2016-02-10,188.2,188.2,188.2,188.2,60.0
2016-02-11,190.0,190.0,190.0,190.0,250.0
2016-02-12,179.95,179.95,179.95,179.95,2893.0
2016-02-15,180.10001,180.10001,180.0,180.0,485.0
2016-02-16,170.10001,180.0,170.10001,180.0,52.0
2016-02-17,179.89999,186.0,179.89999,186.0,50.0
2016-02-18,174.85001,196.8,174.85001,196.8,226.0
2016-02-19,186.5,200.0,185.0,190.0,627.0
2016-02-24,185.5,195.0,178.75,195.0,87.0
2016-02-25,185.05,195.0,185.05,195.0,276.0
2016-02-26,183.5,183.5,183.3,183.3,390.0
2016-02-29,183.0,183.0,180.0,180.0,30.0
2016-03-01,178.89999,178.89999,170.0,170.0,5102.0
2016-03-04,171.0,171.0,170.10001,170.10001,35.0
2016-03-07,171.05,180.10001,171.05,180.10001,26.0
2016-03-08,188.89999,188.89999,188.89999,188.89999,57.0
2016-03-10,190.0,190.0,190.0,190.0,148.0
2016-03-11,178.64999,190.0,178.64999,190.0,297.0
2016-03-14,179.5,179.5,179.2,179.25,207.0
2016-03-16,179.39999,179.39999,179.10001,179.10001,646.0
2016-03-17,179.10001,179.10001,179.10001,179.10001,105.0
2016-03-21,179.10001,179.10001,175.5,175.5,200.0
2016-03-22,175.10001,175.10001,175.10001,175.10001,2.0
2016-03-23,179.10001,179.10001,170.10001,170.10001,354.0
2016-03-29,170.0,170.0,170.0,170.0,200.0
2016-03-31,178.89999,178.89999,178.89999,178.89999,40.0
2016-04-06,161.05,170.0,161.05,170.0,86.0
2016-04-07,162.7,162.7,162.7,162.7,120.0
2016-04-08,169.89999,169.89999,160.0,160.0,2814.0
2016-04-11,169.60001,169.60001,169.60001,169.60001,3.0
2016-04-15,164.0,164.0,164.0,164.0,18.0
2016-04-18,160.0,160.0,160.0,160.0,20.0
2016-04-19,164.0,164.0,164.0,164.0,1.0
2016-04-21,164.0,164.0,164.0,164.0,40.0
2016-04-22,161.0,161.0,160.25,160.25,439.0
2016-04-25,160.5,160.5,160.5,160.5,4.0
2016-04-26,162.5,162.5,162.5,162.5,10.0
2016-04-28,160.25,163.89999,158.0,163.89999,131.0
2016-05-03,163.8,163.8,160.0,160.0,662.0
2016-05-04,160.0,160.05,160.0,160.0,9316.0
2016-05-05,160.5,160.5,159.0,160.0,5594.0
2016-05-06,163.8,165.0,159.0,159.0,2178.0
2016-05-10,156.39999,159.89999,155.05,155.05,1501.0
2016-05-12,155.5,163.95,155.10001,155.10001,5388.0
2016-05-13,164.39999,170.60001,156.0,170.0,23893.0
2016-05-16,175.0,184.85001,172.0,174.25,9579.0
2016-05-17,171.0,176.95,168.0,168.0,1673.0
2016-05-18,170.0,170.0,167.0,169.95,399.0
2016-05-19,175.0,175.0,161.0,168.0,4159.0
2016-05-20,162.5,165.95,158.55,160.2,659.0
2016-05-23,164.89999,165.0,160.25,165.0,718.0
2016-05-24,163.95,168.85001,163.95,168.85001,290.0
2016-05-25,168.0,174.5,167.5,167.5,1535.0
2016-05-26,172.0,172.45,167.10001,169.89999,511.0
2016-05-27,170.0,170.0,163.14999,163.14999,151.0
2016-05-30,169.95,170.0,164.10001,164.10001,95.0
2016-05-31,169.0,169.0,163.85001,168.89999,180.0
2016-06-01,168.8,168.8,168.8,168.8,19.0
2016-06-03,168.0,169.0,164.0,164.0,35.0
2016-06-06,168.0,168.0,164.0,164.0,227.0
2016-06-07,163.0,163.0,163.0,163.0,1000.0
2016-06-08,168.0,168.0,168.0,168.0,3.0
2016-06-09,169.8,169.8,169.8,169.8,4.0
2016-06-10,164.0,169.0,164.0,164.0,1105.0
2016-06-13,163.3,163.3,163.10001,163.10001,73.0
2016-06-15,166.89999,166.89999,163.0,163.0,355.0
2016-06-17,163.0,163.0,160.3,160.3,222.0
2016-06-20,160.3,160.3,160.3,160.3,10.0
2016-06-23,160.5,168.0,160.5,168.0,65.0
2016-06-24,167.0,167.0,167.0,167.0,1.0
2016-06-28,165.0,165.0,165.0,165.0,4.0
2016-06-30,166.0,168.0,166.0,168.0,75.0
2016-07-01,162.0,162.0,162.0,162.0,15.0
2016-07-05,167.8,167.8,167.8,167.8,5.0
2016-07-12,164.0,166.0,157.75,166.0,3548.0
2016-07-13,161.0,161.0,161.0,161.0,25.0
2016-07-14,161.0,161.0,161.0,161.0,102.0
2016-07-15,166.0,166.0,166.0,166.0,5.0
2016-07-18,156.10001,163.95,156.10001,163.89999,2343.0
2016-07-19,163.0,163.0,159.0,159.0,267.0
2016-07-20,165.95,165.95,160.0,160.0,109.0
2016-07-21,160.0,160.0,160.0,160.0,322.0
2016-07-22,165.0,165.0,164.0,164.0,10.0
2016-07-25,164.0,164.0,160.0,160.0,104.0
2016-07-26,159.14999,159.14999,159.0,159.0,113.0
2016-07-27,160.0,160.5,158.35001,159.0,1092.0
2016-07-28,164.95,164.95,158.14999,158.14999,13.0
2016-07-29,159.0,159.0,158.0,158.0,374.0
2016-08-01,154.10001,154.10001,154.10001,154.10001,25.0
2016-08-02,154.3,154.3,154.25,154.25,100.0
2016-08-03,154.0,155.0,150.0,150.0,3148.0
2016-08-04,150.0,150.0,145.60001,150.0,927.0
2016-08-05,159.95,159.95,150.0,157.0,323.0
2016-08-09,155.0,155.0,145.0,145.0,2930.0
2016-08-10,146.0,146.0,145.0,145.0,1263.0
2016-08-11,147.0,149.3,147.0,149.3,100.0
2016-08-16,145.05,152.0,145.0,152.0,129.0
2016-08-18,149.5,149.5,149.5,149.5,5.0
2016-08-19,149.5,153.89999,148.0,148.0,122.0
2016-08-22,148.0,148.0,145.5,147.5,60.0
2016-08-25,149.0,150.0,149.0,150.0,70.0
2016-08-29,154.39999,154.39999,150.0,150.0,30.0
2016-08-30,147.2,154.75,147.2,154.75,480.0
2016-08-31,154.5,154.5,154.5,154.5,8.0
2016-09-01,153.0,153.0,153.0,153.0,2.0
2016-09-02,152.89999,152.89999,152.89999,152.89999,4.0
2016-09-05,152.89999,152.89999,149.0,149.0,200.0
2016-09-07,149.0,149.0,149.0,149.0,7.0
2016-09-08,145.3,145.3,145.0,145.0,135.0
2016-09-14,143.75,143.75,143.10001,143.10001,150.0
2016-09-15,143.3,143.3,143.3,143.3,81.0
2016-09-16,144.10001,144.10001,143.25,143.25,40.0
2016-09-19,143.25,143.25,143.25,143.25,200.0
2016-09-20,143.55,143.55,143.55,143.55,60.0
2016-09-21,145.0,146.0,145.0,146.0,230.0
2016-09-22,147.0,147.5,146.5,146.5,184.0
2016-09-23,147.5,147.5,147.5,147.5,15.0
2016-09-26,147.89999,147.89999,145.2,145.2,72.0
2016-09-27,147.64999,147.64999,145.7,145.7,118.0
2016-09-28,146.60001,146.60001,145.7,145.7,146.0
2016-09-29,146.5,147.39999,146.45,147.0,420.0
2016-09-30,147.14999,157.60001,145.0,145.0,1477.0
2016-10-04,147.0,147.0,144.0,145.10001,240.0
2016-10-05,145.0,145.0,143.5,143.5,674.0
2016-10-06,145.0,150.0,145.0,145.10001,14.0
2016-10-07,147.89999,147.89999,145.14999,145.2,14.0
2016-10-10,148.0,148.0,143.2,144.5,352.0
2016-10-11,143.0,143.0,143.0,143.0,280.0
2016-10-12,148.0,148.0,143.60001,143.60001,15.0
2016-10-13,144.0,144.0,142.0,142.0,545.0
2016-10-14,143.0,143.0,143.0,143.0,110.0
2016-10-17,145.39999,145.39999,137.60001,140.0,1337.0
2016-10-18,143.0,143.0,143.0,143.0,101.0
2016-10-19,144.0,144.0,139.05,140.0,344.0
2016-10-20,140.0,140.0,139.10001,140.0,447.0
2016-10-21,139.10001,146.0,139.05,146.0,1529.0
2016-10-24,147.89999,147.89999,147.89999,147.89999,1.0
2016-10-25,140.10001,140.10001,137.0,137.0,464.0
2016-10-26,140.0,145.0,140.0,145.0,2581.0
2016-10-31,140.10001,142.0,138.25,142.0,574.0
2016-11-01,141.0,141.0,141.0,141.0,5.0
2016-11-03,144.0,144.0,144.0,144.0,30.0
2016-11-04,140.0,143.0,140.0,143.0,38.0
2016-11-07,140.10001,140.10001,140.0,140.0,3190.0
2016-11-08,140.0,141.0,140.0,141.0,6790.0
2016-11-09,140.5,140.5,140.5,140.5,150.0
2016-11-10,140.60001,143.2,140.60001,143.2,5150.0
2016-11-15,141.05,145.5,141.0,145.5,10364.0
2016-11-16,145.0,145.0,145.0,145.0,5.0
2016-11-17,147.0,147.0,143.0,143.0,35.0
2016-11-21,146.0,146.0,146.0,146.0,25.0
2016-11-22,142.2,146.0,142.2,146.0,66.0
2016-11-25,140.0,140.10001,140.0,140.0,15626.0
2016-11-28,145.0,145.0,145.0,145.0,724.0
2016-11-29,145.39999,147.5,145.39999,146.0,541.0
2016-11-30,146.0,146.0,146.0,146.0,20.0
2016-12-01,145.0,146.7,145.0,146.7,185.0
2016-12-02,148.0,151.5,148.0,151.5,700.0
2016-12-05,153.0,153.0,153.0,153.0,155.0
2016-12-06,152.60001,153.45,148.05,153.45,347.0
2016-12-09,150.10001,154.95,150.0,154.95,15612.0
2016-12-14,155.0,165.5,155.0,160.0,3190.0
2016-12-15,160.0,169.5,160.0,167.5,6761.0
2016-12-16,164.10001,168.0,164.0,167.0,2147.0
2016-12-19,165.5,168.0,165.0,168.0,1030.0
2016-12-20,168.89999,173.0,159.0,159.0,2453.0
2016-12-21,159.0,167.0,154.3,167.0,356.0
2016-12-22,160.10001,165.0,160.10001,165.0,4430.0
2016-12-23,161.10001,167.5,160.0,167.5,3740.0
2016-12-26,160.35001,162.64999,160.35001,162.64999,385.0
2016-12-27,167.45,167.45,162.10001,162.10001,58.0
2016-12-28,162.14999,165.95,162.10001,165.45,451.0
2016-12-29,162.5,162.5,162.10001,162.10001,490.0
2016-12-30,163.89999,163.89999,163.89999,163.89999,15103.0
2017-01-02,165.0,173.0,165.0,173.0,2522.0
2017-01-03,170.0,170.0,168.0,168.0,550.0
2017-01-04,169.0,169.0,168.55,169.0,892.0
2017-01-05,166.35001,176.0,166.35001,173.0,2142.0
2017-01-06,173.0,178.0,171.0,171.0,1337.0
2017-01-09,174.0,186.5,174.0,178.0,1282.0
2017-01-10,186.45,186.45,173.0,173.0,1271.0
2017-01-12,175.0,175.0,168.0,168.0,1140.0
2017-01-13,176.0,183.0,170.0,170.0,248.0
2017-01-16,168.55,168.55,160.0,160.0,5743.0
2017-01-17,175.75,175.75,174.75,174.8,36.0
2017-01-18,161.14999,166.5,161.14999,161.14999,425.0
