Time,Open,High,Low,Close,Volume
2016-07-15,2000.0,2000.0,1940.0,1984.0,6030.0
2016-07-18,1983.0,2025.0,1983.0,2025.0,559.0
2016-07-19,2025.0,2040.0,1990.0,2040.0,2217.0
2016-07-20,2040.0,2049.0,2002.0,2041.0,4289.0
2016-07-21,2025.0,2050.0,2011.0,2050.0,662.0
2016-07-22,2050.0,2088.0,2050.0,2088.0,2519.0
2016-07-25,2070.0,2095.0,2070.0,2095.0,325.0
2016-07-26,2072.0,2220.0,2072.0,2198.0,13907.0
2016-07-27,2200.0,2200.0,2165.0,2197.0,7128.0
2016-07-28,2197.0,2197.0,2126.0,2126.0,861.0
2016-07-29,2100.0,2100.0,2100.0,2100.0,20.0
2016-08-01,2195.0,2195.0,2072.0,2072.0,77.0
2016-08-02,2133.0,2150.0,2120.0,2120.0,5194.0
2016-08-03,2102.0,2102.0,2101.0,2101.0,557.0
2016-08-04,2099.0,2116.0,2080.0,2090.0,2925.0
2016-08-05,2116.0,2120.0,2090.0,2090.0,1152.0
2016-08-08,2056.0,2149.0,2055.0,2149.0,1095.0
2016-08-09,2067.0,2067.0,2067.0,2067.0,1.0
2016-08-11,2182.0,2182.0,2182.0,2182.0,48.0
2016-08-12,2081.0,2081.0,2081.0,2081.0,250.0
2016-08-15,2081.0,2146.0,2081.0,2146.0,121.0
2016-08-16,2085.0,2086.0,2085.0,2086.0,1007.0
2016-08-17,2087.0,2087.0,2087.0,2087.0,25.0
2016-08-18,2091.0,2091.0,2089.0,2089.0,157.0
2016-08-19,2100.0,2100.0,2100.0,2100.0,1344.0
2016-08-23,2100.0,2139.0,2100.0,2139.0,523.0
2016-08-24,2139.0,2140.0,2110.0,2140.0,3584.0
2016-08-26,2138.0,2170.0,2138.0,2170.0,1205.0
2016-08-29,2140.0,2140.0,2135.0,2135.0,342.0
2016-08-30,2111.0,2150.0,2102.0,2106.0,430.0
2016-08-31,2141.0,2150.0,2123.0,2123.0,2959.0
2016-09-01,2150.0,2150.0,2125.0,2125.0,1126.0
2016-09-02,2130.0,2150.0,2130.0,2150.0,295.0
2016-09-06,2130.0,2164.0,2130.0,2164.0,7.0
2016-09-08,2189.0,2190.0,2175.0,2175.0,534.0
2016-09-09,2175.0,2175.0,2150.0,2150.0,263.0
2016-09-14,2150.0,2150.0,2150.0,2150.0,3000.0
2016-09-15,2175.0,2175.0,2175.0,2175.0,5.0
2016-09-16,2160.0,2175.0,2160.0,2175.0,1300.0
2016-09-19,2175.0,2175.0,2165.0,2165.0,3347.0
2016-09-20,2165.0,2170.0,2162.0,2170.0,3056.0
2016-09-21,2180.0,2180.0,2170.0,2170.0,501.0
2016-09-22,2166.0,2180.0,2166.0,2180.0,3510.0
2016-09-23,2170.0,2175.0,2166.0,2166.0,702.0
2016-09-26,2166.0,2180.0,2166.0,2180.0,1144.0
2016-09-27,2171.0,2185.0,2171.0,2180.0,2570.0
2016-09-28,2178.0,2178.0,2178.0,2178.0,4.0
2016-09-29,2177.0,2177.0,2171.0,2172.0,1557.0
2016-09-30,2179.0,2199.0,2179.0,2190.0,4930.0
2016-10-04,2171.0,2175.0,2170.0,2170.0,1338.0
2016-10-05,2175.0,2175.0,2175.0,2175.0,22.0
