Time,Open,High,Low,Close,Volume
2012-03-26,35.720001,35.779999,35.0,35.720001,243.0
2012-03-27,35.740002,35.759998,34.060001,35.740002,3474.0
2012-03-28,34.220001,35.439999,34.139999,34.220001,506.0
2012-03-29,33.900002,35.0,33.639999,33.900002,7959.0
2012-03-30,33.400002,34.900002,33.400002,33.400002,4086.0
2012-04-02,34.5,34.599998,33.48,34.5,567.0
2012-04-03,33.959999,34.32,33.099998,33.959999,611.0
2012-04-04,33.0,34.0,33.0,33.0,2543.0
2012-04-05,31.6,33.939999,31.5,31.6,254.0
2012-04-06,31.459999,33.200001,30.299999,31.459999,716.0
2012-04-09,32.5,33.259998,30.540001,32.5,218.0
2012-04-13,31.5,32.860001,30.299999,31.5,150.0
2012-04-16,31.66,31.74,30.02,31.66,25.0
2012-04-17,30.040001,31.42,30.02,30.040001,38.0
2012-04-18,30.879999,31.0,29.360001,30.879999,648.0
2012-04-19,30.98,31.0,30.0,30.98,215.0
2012-04-20,31.0,31.0,31.0,31.0,210.0
2012-04-23,31.0,31.0,31.0,31.0,496.0
2012-04-24,30.98,30.98,30.0,30.98,181.0
2012-04-25,30.940001,30.940001,30.0,30.940001,182.0
2012-04-26,30.1,30.940001,30.1,30.1,66.0
2012-04-27,30.0,30.1,30.0,30.0,436.0
2012-04-30,29.200001,30.0,29.200001,29.200001,9123.0
2012-05-02,29.200001,29.200001,29.200001,29.200001,20.0
2012-05-03,29.98,30.0,29.0,29.98,280.0
2012-05-07,29.0,29.959999,29.0,29.0,520.0
2012-05-08,28.42,29.0,28.4,28.42,1066.0
2012-05-09,28.02,29.0,28.0,28.02,1517.0
2012-05-10,26.34,28.700001,26.34,26.34,9355.0
2012-05-11,24.76,26.540001,24.76,24.76,6753.0
2012-05-14,23.299999,24.76,23.299999,23.299999,729.0
2012-05-15,23.5,24.379999,23.02,23.5,2118.0
2012-05-16,22.34,23.9,22.34,22.34,9708.0
2012-05-17,23.0,23.280001,22.299999,23.0,1037.0
2012-05-18,23.0,23.219999,22.32,23.0,1501.0
2012-05-21,23.0,23.0,22.0,23.0,1427.0
2012-05-22,22.940001,23.0,22.16,22.940001,357.0
2012-05-23,22.9,22.92,22.040001,22.9,399.0
2012-05-24,22.860001,22.9,22.5,22.860001,12857.0
2012-05-25,23.559999,24.200001,22.84,23.559999,27118.0
2012-05-28,24.959999,24.959999,24.219999,24.959999,4765.0
2012-05-31,29.700001,29.700001,29.0,29.700001,15203.0
2012-06-04,30.66,33.360001,29.6,30.66,14346.0
2012-06-05,31.6,32.380001,30.0,31.6,20493.0
2012-06-06,33.48,33.48,32.380001,33.48,8308.0
2012-06-07,34.84,35.0,33.139999,34.84,11801.0
2012-06-08,33.5,34.779999,33.5,33.5,1153.0
