Time,Open,High,Low,Close,Volume
2013-02-22,110.0,114.0,110.0,114.0,1100.0
2013-02-27,110.05,110.05,110.0,110.0,7.0
2013-02-28,114.0,114.0,110.0,110.0,83.0
2013-03-01,110.0,110.0,110.0,110.0,183.0
2013-03-04,114.0,115.0,114.0,115.0,71.0
2013-03-05,108.1,119.95,108.1,119.95,17.0
2013-03-07,115.0,115.0,115.0,115.0,3.0
2013-03-08,110.0,119.8,110.0,115.0,59.0
2013-03-11,115.0,115.0,115.0,115.0,75.0
2013-03-14,115.0,115.15,115.0,115.15,172.0
2013-03-15,119.95,119.95,119.95,119.95,15.0
2013-03-18,134.2,134.2,130.0,130.0,467.0
2013-03-19,130.0,132.95,130.0,130.0,211.0
2013-03-20,122.5,129.0,122.2,129.0,117.0
2013-03-21,121.3,129.0,121.3,121.3,3090.0
2013-03-22,121.3,121.3,121.3,121.3,5.0
2013-03-25,124.95,124.95,115.0,115.0,140.0
2013-03-28,110.1,121.0,110.1,121.0,526.0
2013-03-29,113.75,113.75,113.75,113.75,6.0
2013-04-01,120.55,120.55,120.55,120.55,10.0
2013-04-02,108.5,119.0,108.5,119.0,801.0
2013-04-03,111.9,112.1,111.9,112.1,60.0
2013-04-04,115.0,116.8,115.0,116.8,15.0
2013-04-05,122.3,122.3,122.3,122.3,100.0
2013-04-08,115.0,123.95,115.0,123.95,26.0
2013-04-09,122.95,122.95,116.55,122.8,71.0
2013-04-10,116.6,121.8,115.45,121.8,126.0
2013-04-12,117.0,117.0,115.0,115.0,35.0
2013-04-15,116.0,116.0,116.0,116.0,16.0
2013-04-16,121.7,121.7,113.0,113.0,201.0
2013-04-18,115.0,115.0,115.0,115.0,63.0
2013-04-19,118.0,118.0,115.0,115.0,155.0
2013-04-22,112.2,112.2,111.15,111.15,64.0
2013-04-24,114.0,114.0,111.0,111.0,465.0
2013-04-26,116.0,116.0,115.0,115.0,120.0
2013-04-29,116.0,116.0,111.1,111.1,2359.0
2013-04-30,111.1,111.1,109.0,109.0,1644.0
2013-05-02,110.0,115.0,106.25,115.0,153.0
2013-05-03,108.5,110.0,108.5,110.0,64.0
2013-05-07,110.0,110.0,110.0,110.0,16.0
2013-05-08,110.0,110.0,110.0,110.0,42.0
2013-05-10,111.05,112.0,110.0,110.0,731.0
2013-05-13,114.0,114.0,114.0,114.0,1.0
2013-05-14,110.05,110.05,110.05,110.05,20.0
2013-05-15,110.1,110.1,110.05,110.05,112.0
2013-05-17,111.0,111.0,111.0,111.0,10.0
2013-05-22,111.0,111.0,111.0,111.0,14.0
2013-05-23,112.0,112.0,112.0,112.0,52.0
2013-05-24,111.0,111.0,111.0,111.0,28.0
2013-05-27,111.0,111.0,110.0,110.0,231.0
2013-05-28,108.5,108.55,108.5,108.5,204.0
2013-05-29,107.0,107.0,107.0,107.0,56.0
2013-05-30,111.0,111.0,111.0,111.0,204.0
2013-05-31,108.5,108.5,108.5,108.5,55.0
2013-06-03,109.05,109.3,109.05,109.3,32.0
2013-06-05,113.0,113.0,108.4,108.4,54.0
2013-06-06,113.35,113.35,113.35,113.35,120.0
2013-06-07,110.0,110.05,108.6,108.6,380.0
2013-06-10,110.0,110.0,110.0,110.0,2117.0
2013-06-13,110.0,110.0,110.0,110.0,3200.0
