Time,Open,High,Low,Close,Volume
2012-03-30,433.0,433.0,433.0,433.0,28.0
2012-04-09,430.0,430.0,430.0,430.0,2675.0
2012-04-24,450.0,450.0,405.0,450.0,551.0
2012-05-10,423.0,423.0,423.0,423.0,2.0
2012-05-18,420.0,420.0,420.0,420.0,686.0
2012-05-25,440.0,440.0,395.0,440.0,53.0
2012-05-31,445.0,445.0,445.0,445.0,1.0
2012-06-01,418.29999,418.29999,418.29999,418.29999,124.0
2012-06-04,396.0,396.0,396.0,396.0,1.0
2012-06-05,419.75,419.75,419.75,419.75,18.0
2012-06-07,397.0,397.0,397.0,397.0,1.0
2012-06-08,420.0,420.0,420.0,420.0,50.0
2012-06-12,425.0,425.0,425.0,425.0,1200.0
2012-06-13,444.0,444.0,440.0,444.0,201.0
2012-06-15,443.0,443.0,418.0,443.0,15.0
2012-06-29,420.0,420.0,420.0,420.0,7.0
2012-07-02,444.0,444.0,403.0,444.0,154.0
2012-07-25,429.0,429.0,429.0,429.0,12.0
2012-08-02,403.29999,403.29999,403.29999,403.29999,1.0
2012-08-03,405.0,405.0,405.0,405.0,138.0
2012-08-15,403.0,403.0,403.0,403.0,50.0
2012-08-22,405.04999,405.04999,405.04999,405.04999,8.0
2012-08-30,428.95001,428.95001,428.95001,428.95001,1.0
2012-09-03,405.0,405.0,403.25,405.0,28.0
2012-09-04,420.0,420.0,420.0,420.0,4.0
2012-09-20,394.79999,394.79999,394.79999,394.79999,8.0
2012-09-21,418.39999,418.39999,394.79999,418.39999,5.0
2012-09-24,429.95001,429.95001,394.0,429.95001,304.0
2012-09-26,430.0,430.0,404.20001,430.0,197.0
2012-09-28,444.0,444.0,444.0,444.0,2.0
2012-10-17,435.0,435.0,420.0,435.0,22.0
2012-10-18,420.0,420.0,420.0,420.0,90.0
2012-10-19,444.0,444.0,444.0,444.0,20.0
2012-10-25,418.0,418.0,418.0,418.0,26.0
2012-10-29,439.0,439.0,439.0,439.0,1.0
2012-11-09,415.0,415.0,415.0,415.0,110.0
2012-11-14,390.10001,390.10001,390.10001,390.10001,12.0
2012-11-19,366.70001,366.70001,366.70001,366.70001,8.0
2012-11-20,388.70001,388.70001,388.70001,388.70001,38.0
2012-11-21,411.0,411.0,411.0,411.0,6.0
2012-11-22,386.70001,388.70001,386.70001,386.70001,1025.0
2012-11-23,409.89999,409.89999,409.89999,409.89999,12.0
2012-11-29,413.04999,413.04999,386.5,413.04999,37.0
2012-12-10,414.89999,414.89999,414.89999,414.89999,3.0
2012-12-14,419.0,419.0,419.0,419.0,1.0
2012-12-19,419.0,419.0,394.0,419.0,14.0
2012-12-26,409.95001,409.95001,409.95001,409.95001,8273.0
2012-12-27,385.39999,386.89999,385.39999,385.39999,855.0
2012-12-28,395.0,395.0,395.0,395.0,1025.0
2012-12-31,418.64999,418.64999,418.64999,418.64999,10.0
2013-01-04,418.64999,418.64999,418.64999,418.64999,3.0
2013-01-21,418.64999,418.64999,418.64999,418.64999,4.0
2013-01-30,419.0,419.0,393.54999,419.0,23.0
2013-02-06,418.64999,418.64999,394.0,418.64999,22.0
2013-02-12,440.0,440.0,440.0,440.0,3.0
2013-02-14,414.0,414.0,414.0,414.0,6.0
2013-02-19,389.20001,389.20001,389.20001,389.20001,12.0
2013-02-21,412.5,412.5,390.0,412.5,4.0
2013-02-22,390.0,410.0,390.0,410.0,153.0
2013-02-25,412.0,412.0,412.0,412.0,1.0
2013-03-01,412.0,412.0,412.0,412.0,1.0
2013-03-05,387.5,387.5,387.5,387.5,10.0
2013-03-12,380.0,380.0,380.0,380.0,6.0
2013-03-13,387.45001,387.45001,357.29999,357.29999,6.0
2013-03-15,375.0,375.0,374.0,374.0,4001.0
2013-03-18,351.60001,351.60001,351.60001,351.60001,12.0
2013-03-20,330.54999,330.54999,330.54999,330.54999,7.0
2013-03-21,350.35001,350.35001,350.35001,350.35001,3.0
2013-03-22,371.0,371.0,371.0,371.0,80.0
2013-03-25,387.5,387.5,387.5,387.5,40.0
2013-03-27,387.5,387.5,387.5,387.5,734.0
2013-03-29,400.0,400.0,400.0,400.0,206.0
2013-04-10,376.0,376.0,376.0,376.0,4.0
2013-04-11,366.0,385.0,366.0,385.0,26.0
2013-04-12,408.04999,408.04999,408.04999,408.04999,10.0
2013-04-26,383.64999,383.64999,383.64999,383.64999,5.0
2013-04-29,406.64999,406.64999,406.64999,406.64999,25.0
2013-04-30,410.0,410.0,410.0,410.0,30.0
2013-05-17,400.0,400.0,400.0,400.0,1500.0
2013-05-23,383.04999,383.04999,383.04999,383.04999,6.0
2013-05-24,383.0,383.0,383.0,383.0,4.0
2013-05-30,400.0,400.0,400.0,400.0,295.0
2013-05-31,400.0,400.0,400.0,400.0,1100.0
2013-06-04,399.0,399.0,399.0,399.0,2348.0
2013-06-06,383.0,383.0,383.0,383.0,5.0
2013-06-14,380.14999,399.95001,380.0,399.95001,4.0
2013-06-27,409.0,409.0,409.0,409.0,30.0
2013-06-28,410.0,410.0,395.0,395.0,3510.0
2013-07-02,371.5,371.5,371.5,371.5,21.0
2013-07-04,349.25,393.75,349.25,393.75,13.0
2013-07-12,398.0,398.0,398.0,398.0,1.0
2013-07-17,398.0,398.0,398.0,398.0,706.0
2013-07-23,410.0,410.0,410.0,410.0,16.0
2013-08-12,385.39999,385.39999,385.39999,385.39999,4.0
2013-08-13,400.0,400.0,400.0,400.0,5.0
2013-08-19,408.0,408.0,408.0,408.0,5.0
2013-09-06,383.54999,408.0,383.54999,408.0,11.0
2013-09-16,408.0,408.0,408.0,408.0,554.0
2013-10-02,408.0,408.0,408.0,408.0,0.0
2013-10-03,408.0,408.0,408.0,408.0,0.0
2013-10-04,408.0,408.0,408.0,408.0,0.0
2013-10-07,408.0,408.0,408.0,408.0,0.0
2013-10-08,408.0,408.0,408.0,408.0,0.0
2013-10-09,386.0,405.0,386.0,405.0,204.0
2013-10-10,390.10001,390.10001,390.10001,390.10001,3.0
2013-10-11,404.95001,404.95001,404.95001,404.95001,3.0
2013-10-25,390.0,429.20001,390.0,429.20001,69.0
2013-10-28,403.45001,403.45001,403.45001,403.45001,18.0
2013-10-30,390.0,390.0,379.25,379.25,38.0
2013-10-31,356.5,390.95001,356.5,390.95001,187.0
2013-11-01,389.95001,389.95001,389.95001,389.95001,9.0
2013-11-04,390.0,390.0,390.0,390.0,5.0
2013-11-13,366.60001,366.60001,366.60001,366.60001,6.0
