Time,Open,High,Low,Close,Volume
2012-03-27,230.0,230.0,230.0,230.0,6.0
2012-03-28,230.0,230.0,230.0,230.0,6.0
2012-04-04,230.0,230.0,230.0,230.0,182.0
2012-04-09,216.2,217.0,216.2,216.2,6.0
2012-04-13,205.10001,205.10001,205.10001,205.10001,50.0
2012-04-16,205.10001,206.0,205.10001,205.10001,53.0
2012-04-20,209.95,209.95,209.95,209.95,18.0
2012-04-25,222.5,222.5,198.60001,222.5,10.0
2012-05-09,209.14999,209.14999,209.14999,209.14999,6.0
2012-05-10,197.0,197.0,197.0,197.0,1.0
2012-05-16,200.0,200.0,200.0,200.0,7.0
2012-05-18,200.0,200.0,200.0,200.0,300.0
2012-05-21,191.0,191.0,191.0,191.0,6.0
2012-05-24,200.0,200.0,200.0,200.0,2.0
2012-05-29,205.0,205.0,205.0,205.0,13.0
2012-06-04,193.0,193.0,193.0,193.0,8.0
2012-06-05,193.0,193.0,193.0,193.0,8.0
2012-06-15,181.5,181.5,181.5,181.5,50.0
2012-06-18,180.0,181.0,180.0,180.0,37.0
2012-06-19,190.8,190.8,190.8,190.8,15.0
2012-06-20,181.05,181.05,181.05,181.05,50.0
2012-06-21,191.89999,191.89999,191.89999,191.89999,17.0
2012-06-22,197.39999,197.39999,197.39999,197.39999,6653.0
2012-06-27,198.95,198.95,198.95,198.95,7.0
2012-06-28,198.95,198.95,198.95,198.95,5.0
2012-07-02,187.5,187.5,187.5,187.5,10.0
2012-07-06,190.0,190.0,190.0,190.0,6.0
2012-07-10,183.0,190.10001,183.0,183.0,70.0
2012-07-19,183.10001,183.10001,183.10001,183.10001,10.0
2012-07-20,183.0,183.0,183.0,183.0,30.0
2012-07-25,175.05,175.05,175.05,175.05,50.0
2012-08-01,185.39999,185.39999,185.39999,185.39999,10.0
2012-08-08,233.89999,233.89999,233.89999,233.89999,50.0
2012-08-10,234.0,234.0,234.0,234.0,81.0
2012-08-16,240.0,240.0,240.0,240.0,50.0
2012-08-17,240.0,240.0,235.0,240.0,111.0
2012-08-31,200.0,200.05,200.0,200.0,73.0
2012-09-03,200.0,200.0,200.0,200.0,8.0
2012-09-06,188.0,188.0,188.0,188.0,6.0
2012-09-14,188.0,188.0,188.0,188.0,6.0
2012-09-18,183.0,199.0,183.0,183.0,465.0
2012-09-19,183.0,183.0,183.0,183.0,780.0
2012-09-20,183.0,183.0,183.0,183.0,2.0
2012-09-24,183.0,183.0,183.0,183.0,100.0
2012-09-27,183.0,183.0,183.0,183.0,50.0
2012-09-28,180.0,185.0,180.0,180.0,9.0
2012-10-03,181.10001,181.10001,181.05,181.10001,1007.0
2012-10-10,172.8,172.8,172.75,172.8,14.0
2012-10-12,182.0,182.0,181.8,182.0,51.0
2012-10-15,173.10001,173.10001,173.10001,173.10001,7.0
2012-11-07,174.0,174.0,173.25,174.0,15.0
2012-11-08,179.89999,179.89999,179.89999,179.89999,2.0
2012-11-12,174.0,174.0,174.0,174.0,38.0
2012-11-13,180.0,180.0,180.0,180.0,1.0
2012-11-14,181.89999,181.89999,181.89999,181.89999,5.0
2012-11-19,176.0,176.0,176.0,176.0,11.0
2012-11-20,166.5,166.60001,166.5,166.5,7.0
2012-11-21,167.0,167.0,167.0,167.0,165.0
2012-11-22,160.05,160.05,160.05,160.05,10.0
2012-11-23,169.64999,169.64999,169.64999,169.64999,2.0
2012-11-27,160.5,169.7,159.5,160.5,659.0
2012-12-03,161.0,161.0,161.0,161.0,130.0
2012-12-04,161.0,161.0,161.0,161.0,30.0
2012-12-11,160.0,160.0,160.0,160.0,56.0
2012-12-20,169.10001,169.60001,169.10001,169.10001,88.0
2012-12-24,169.10001,169.10001,169.10001,169.10001,7.0
2013-01-04,169.10001,169.10001,169.10001,169.10001,20.0
2013-01-08,169.0,169.0,169.0,169.0,10.0
2013-01-16,169.0,169.0,169.0,169.0,10.0
2013-01-22,168.7,168.7,168.7,168.7,24.0
2013-01-29,158.60001,158.60001,158.60001,158.60001,8.0
2013-01-31,158.64999,158.64999,158.64999,158.64999,110.0
2013-02-08,155.0,155.0,155.0,155.0,92.0
2013-02-21,155.0,155.0,145.75,155.0,40.0
2013-02-22,155.0,155.0,155.0,155.0,2.0
2013-02-25,155.0,155.0,155.0,155.0,14.0
2013-02-26,155.0,155.0,155.0,155.0,16.0
2013-03-07,130.39999,130.45,130.39999,130.45,298.0
2013-03-08,131.0,131.0,131.0,131.0,6.0
2013-03-12,131.14999,131.14999,131.10001,131.10001,21.0
2013-03-14,131.14999,131.14999,131.14999,131.14999,6.0
2013-03-18,131.2,131.2,131.2,131.2,9.0
2013-03-19,127.2,127.2,127.2,127.2,5.0
2013-03-20,123.5,123.5,123.5,123.5,75.0
2013-03-21,124.05,124.05,124.05,124.05,6.0
2013-03-29,124.2,124.2,124.2,124.2,7.0
2013-04-03,124.6,124.6,124.6,124.6,12.0
2013-04-04,131.0,131.0,131.0,131.0,17.0
2013-04-08,138.8,138.8,138.8,138.8,12.0
2013-04-09,147.10001,147.10001,147.10001,147.10001,15.0
2013-04-12,147.14999,147.14999,147.14999,147.14999,56.0
2013-04-16,136.0,141.64999,136.0,141.64999,60.0
2013-04-17,145.0,150.10001,145.0,150.10001,76.0
2013-04-23,159.10001,159.10001,159.10001,159.10001,24.0
2013-05-06,159.0,159.0,156.0,156.0,109.0
2013-05-08,156.0,156.0,156.0,156.0,7.0
2013-05-28,146.64999,146.64999,146.64999,146.64999,10.0
2013-05-30,137.89999,137.89999,137.89999,137.89999,10.0
2013-06-05,130.05,130.05,130.05,130.05,12.0
2013-06-07,130.5,130.5,130.5,130.5,10.0
2013-06-11,137.85001,137.85001,137.85001,137.85001,28.0
2013-06-12,140.0,140.0,140.0,140.0,22.0
2013-06-17,140.0,140.0,140.0,140.0,42.0
2013-06-18,146.14999,146.14999,146.14999,146.14999,50.0
2013-06-19,137.5,137.5,137.5,137.5,6.0
2013-06-25,137.5,137.60001,137.5,137.60001,100.0
2013-06-28,135.10001,135.10001,135.10001,135.10001,10.0
2013-07-05,135.0,135.0,135.0,135.0,12.0
2013-07-24,135.0,135.0,135.0,135.0,6.0
2013-07-25,135.0,135.0,135.0,135.0,7.0
2013-08-08,126.9,126.9,126.9,126.9,7.0
2013-08-13,127.1,127.1,127.1,127.1,10.0
2013-09-06,128.05,128.05,128.05,128.05,7.0
2013-09-20,128.05,128.05,128.05,128.05,10.0
2013-09-23,128.0,128.0,128.0,128.0,7.0
2013-09-27,128.0,128.0,128.0,128.0,2.0
2013-09-30,128.05,128.05,128.05,128.05,50.0
2013-10-02,128.05,128.05,128.05,128.05,0.0
2013-10-03,128.14999,128.14999,128.14999,128.14999,7.0
2013-10-11,135.8,135.8,135.8,135.8,10.0
2013-10-21,130.0,130.0,130.0,130.0,17.0
2013-10-23,130.10001,130.10001,130.10001,130.10001,72.0
2013-10-24,130.05,130.05,130.05,130.05,10.0
2013-10-25,137.0,137.0,137.0,137.0,6.0
2013-10-28,133.10001,133.10001,133.10001,133.10001,7.0
2013-11-14,134.0,134.0,134.0,134.0,5.0
2013-11-20,134.14999,134.14999,133.05,133.05,16.0
2013-11-21,133.0,133.0,133.0,133.0,6.0
2013-12-17,133.0,133.0,133.0,133.0,100.0
2013-12-23,125.15,125.15,125.15,125.15,25.0
2013-12-27,132.64999,132.64999,132.64999,132.64999,3.0
2013-12-30,126.6,126.6,126.6,126.6,2.0
2013-12-31,134.14999,134.14999,134.14999,134.14999,3.0
2014-01-02,126.5,126.5,126.5,126.5,2.0
2014-01-06,133.89999,133.89999,133.89999,133.89999,3.0
2014-01-16,126.0,126.0,126.0,126.0,6.0
2014-01-22,129.0,129.0,129.0,129.0,24.0
2014-01-23,129.0,129.0,129.0,129.0,17.0
2014-01-24,133.0,133.0,133.0,133.0,3.0
2014-01-27,126.0,126.0,126.0,126.0,7.0
2014-01-29,126.05,126.05,126.05,126.05,7.0
2014-02-06,125.0,125.0,125.0,125.0,6.0
2014-02-12,124.3,124.3,124.3,124.3,6.0
2014-02-13,129.95,129.95,129.95,129.95,2.0
2014-02-14,124.5,124.5,124.5,124.5,4.0
2014-02-18,129.85001,129.85001,129.85001,129.85001,2.0
2014-02-19,129.75,129.75,129.75,129.75,2.0
2014-02-24,124.05,124.05,124.05,124.05,6.0
2014-02-25,126.0,126.0,126.0,126.0,10.0
2014-02-27,124.15,124.15,124.15,124.15,10.0
2014-03-03,124.3,124.3,124.3,124.3,6.0
2014-03-04,128.45,128.45,128.45,128.45,2.0
2014-03-05,135.39999,135.39999,135.39999,135.39999,14.0
2014-03-06,129.0,129.0,129.0,129.0,20.0
2014-03-07,127.35,134.89999,127.35,134.89999,201.0
2014-03-10,127.6,127.6,127.6,127.6,41.0
2014-03-11,127.85,130.0,127.85,130.0,59.0
2014-03-12,135.3,135.3,130.0,130.0,77.0
2014-03-13,135.0,135.0,135.0,135.0,68.0
2014-03-17,133.0,133.0,133.0,133.0,15.0
2014-03-18,137.89999,137.89999,137.89999,137.89999,150.0
2014-03-19,135.95,135.95,135.95,135.95,5.0
2014-03-20,133.0,133.0,133.0,133.0,7.0
2014-03-24,133.0,133.0,133.0,133.0,71.0
2014-03-26,135.0,135.0,135.0,135.0,7.0
2014-03-28,135.0,135.0,135.0,135.0,7.0
2014-04-01,133.5,133.5,133.5,133.5,5.0
2014-04-04,133.0,133.0,133.0,133.0,4.0
2014-04-07,135.0,135.0,135.0,135.0,10.0
2014-04-08,135.0,135.0,135.0,135.0,20.0
2014-04-09,135.0,135.0,135.0,135.0,100.0
2014-04-11,133.0,133.0,133.0,133.0,6.0
2014-04-14,133.05,133.05,133.05,133.05,17.0
2014-04-21,126.2,126.2,126.2,126.2,100.0
2014-04-22,127.05,127.05,127.05,127.05,6.0
2014-04-23,127.55,127.55,127.55,127.55,6.0
2014-04-29,130.05,130.10001,130.05,130.10001,14.0
2014-04-30,130.0,130.0,130.0,130.0,341.0
2014-05-05,130.0,130.0,130.0,130.0,15.0
2014-05-09,135.0,135.0,130.0,130.0,238.0
2014-05-13,130.0,130.0,130.0,130.0,30.0
2014-05-16,130.05,130.05,130.05,130.05,15.0
2014-05-21,130.0,130.0,130.0,130.0,6.0
2014-05-27,134.5,134.5,134.5,134.5,2.0
2014-06-05,130.3,130.3,130.3,130.3,35.0
2014-06-06,130.2,130.2,130.2,130.2,30.0
2014-06-09,134.75,134.75,134.75,134.75,3.0
2014-06-13,127.5,134.85001,127.5,134.85001,8.0
2014-06-16,130.0,130.0,130.0,130.0,595.0
2014-06-18,130.0,130.0,130.0,130.0,11.0
2014-06-24,134.45,134.45,134.45,134.45,1.0
2014-07-03,130.0,130.0,130.0,130.0,2.0
2014-07-04,130.0,130.0,130.0,130.0,4.0
2014-07-08,130.0,130.0,130.0,130.0,1.0
2014-07-14,134.64999,134.64999,134.64999,134.64999,3.0
2014-07-15,134.64999,134.64999,134.64999,134.64999,2.0
2014-07-16,127.85,127.85,127.1,127.1,9.0
2014-08-04,127.5,127.5,127.5,127.5,7.0
2014-08-06,132.2,132.2,132.2,132.2,5.0
2014-08-12,127.8,127.8,127.8,127.8,7.0
2014-08-13,132.0,132.0,132.0,132.0,2.0
2014-08-15,127.85,127.85,127.85,127.85,71.0
2014-08-18,130.0,130.0,129.0,129.0,69.0
2014-08-19,129.0,129.0,127.85,127.85,56.0
2014-08-22,130.95,130.95,127.8,127.8,58.0
2014-08-27,127.8,127.9,127.8,127.9,23.0
2014-08-28,131.0,131.0,131.0,131.0,5.0
2014-09-01,127.8,127.8,124.5,124.5,345.0
2014-09-02,131.64999,131.89999,129.7,131.89999,174.0
2014-09-03,132.0,132.0,132.0,132.0,88.0
2014-09-08,134.85001,135.0,134.85001,135.0,60.0
2014-09-09,135.0,135.0,135.0,135.0,290.0
2014-09-10,135.0,135.0,135.0,135.0,10.0
2014-09-11,127.5,127.7,127.0,127.0,200.0
2014-09-16,127.0,127.0,127.0,127.0,150.0
2014-09-18,134.5,134.5,134.5,134.5,58.0
2014-09-19,134.45,134.45,134.45,134.45,100.0
2014-09-22,134.0,134.0,134.0,134.0,36.0
2014-09-24,134.0,138.0,134.0,138.0,332.0
2014-09-25,130.0,137.0,130.0,137.0,5.0
2014-09-26,131.0,137.0,131.0,137.0,26.0
2014-09-30,137.0,138.85001,137.0,138.0,110.0
2014-10-01,139.0,139.0,138.0,139.0,46.0
2014-10-03,139.0,141.89999,139.0,141.89999,40.0
2014-10-07,141.89999,146.0,141.89999,146.0,40.0
2014-10-08,146.0,150.0,146.0,150.0,13.0
2014-10-09,153.7,154.0,153.7,154.0,20.0
2014-10-10,144.8,154.95,144.8,154.95,21.0
2014-10-13,154.0,154.0,154.0,154.0,10.0
2014-10-14,150.0,150.0,145.0,145.0,13.0
2014-10-15,154.95,154.95,154.95,154.95,1.0
2014-10-17,145.7,145.7,145.7,145.7,5.0
2014-10-20,150.0,150.0,145.7,145.7,12.0
2014-10-21,145.0,154.39999,145.0,154.39999,44.0
2014-10-22,156.0,159.0,156.0,158.0,27.0
2014-11-04,158.89999,158.89999,158.89999,158.89999,3.0
2014-11-05,149.39999,149.39999,149.39999,149.39999,14.0
2014-11-19,140.7,140.7,140.45,140.45,86.0
2014-11-20,136.0,136.0,136.0,136.0,6.0
2014-11-25,181.0,181.0,181.0,181.0,550.0
2014-11-26,190.7,190.7,190.7,190.7,1.0
2014-11-28,180.95,180.95,180.95,180.95,5.0
2014-12-03,180.0,185.0,180.0,185.0,252.0
2014-12-16,173.89999,173.89999,173.89999,173.89999,550.0
2014-12-24,165.0,165.0,165.0,165.0,1.0
2014-12-26,165.05,165.05,165.05,165.05,7.0
2014-12-30,165.05,165.05,165.05,165.05,17.0
2015-01-09,155.25,155.25,155.2,155.2,235.0
2015-01-14,163.0,163.0,163.0,163.0,14.0
2015-01-15,163.0,163.0,163.0,163.0,17.0
2015-01-16,155.0,155.0,155.0,155.0,10.0
2015-01-19,151.2,151.2,151.2,151.2,6.0
2015-01-30,152.2,152.2,151.2,151.2,98.0
2015-02-03,151.2,151.2,151.2,151.2,6.0
2015-02-04,151.2,151.2,151.2,151.2,115.0
