Time,Open,High,Low,Close,Volume
2016-07-20,78.599998,78.599998,72.0,74.519997,2373605.0
2016-07-21,74.199997,79.0,74.0,79.0,1727368.0
2016-07-22,79.129997,80.900002,78.0,78.0,625573.0
2016-07-25,76.0,77.5,76.0,77.300003,608692.0
2016-07-26,77.0,77.900002,77.0,77.400002,474205.0
2016-07-27,77.099998,77.5,77.099998,77.480003,267159.0
2016-07-28,77.5,77.699997,77.0,77.400002,369741.0
2016-07-29,77.400002,77.550003,77.209999,77.550003,270394.0
2016-08-01,77.400002,77.699997,77.18,77.5,84116.0
2016-08-02,77.5,78.199997,77.5,78.199997,182917.0
2016-08-03,78.5,79.699997,78.5,79.0,336128.0
2016-08-04,79.010002,79.190002,78.199997,79.0,107214.0
2016-08-05,78.5,78.940002,78.309998,78.5,54700.0
2016-08-08,78.5,79.0,78.400002,78.599998,41970.0
2016-08-09,78.5,78.900002,78.5,78.510002,52361.0
2016-08-10,78.5,78.949997,78.5,78.900002,116005.0
2016-08-11,78.75,79.690002,78.75,79.010002,146957.0
2016-08-12,79.0,79.040001,78.900002,79.0,36061.0
2016-08-15,79.459999,79.459999,78.900002,79.0,55210.0
2016-08-16,78.900002,79.0,78.800003,79.0,21632.0
2016-08-17,78.900002,78.900002,78.599998,78.82,55626.0
2016-08-18,78.800003,78.879997,78.610001,78.800003,21309.0
2016-08-19,78.660004,78.900002,78.650002,78.800003,23174.0
2016-08-22,78.650002,78.940002,78.5,78.699997,59972.0
2016-08-23,78.699997,78.739998,78.5,78.5,148913.0
2016-08-24,78.599998,78.599998,78.25,78.5,165567.0
2016-08-25,78.330002,78.550003,78.32,78.5,34533.0
2016-08-26,78.349998,78.980003,78.050003,78.980003,111594.0
2016-08-29,78.5,79.099998,78.5,79.099998,46848.0
2016-08-30,78.699997,79.0,78.699997,79.0,29370.0
2016-08-31,78.510002,78.989998,78.510002,78.989998,44192.0
2016-09-01,78.599998,78.989998,78.5,78.970001,14951.0
2016-09-02,78.5,79.0,78.010002,78.739998,142214.0
2016-09-05,78.099998,78.75,77.5,78.0,29751.0
2016-09-06,77.650002,78.68,77.650002,78.129997,43980.0
2016-09-07,78.199997,78.699997,78.160004,78.5,41684.0
2016-09-08,78.5,78.599998,78.199997,78.300003,47631.0
2016-09-09,78.220001,78.489998,78.099998,78.190002,25073.0
2016-09-14,78.199997,78.199997,77.5,77.5,15771.0
2016-09-15,77.510002,77.940002,76.220001,77.800003,20615.0
2016-09-16,77.290001,77.290001,76.5,76.889999,72329.0
2016-09-19,76.150002,77.0,76.150002,76.989998,13051.0
2016-09-20,76.599998,77.5,76.599998,77.459999,71061.0
2016-09-21,77.5,78.599998,77.5,78.300003,68164.0
2016-09-22,77.230003,78.0,77.230003,78.0,21501.0
