Time,Open,High,Low,Close,Volume
2016-03-10,40.23,42.439999,40.23,42.439999,6813.0
2016-03-11,42.0,42.900002,42.0,42.900002,740.0
2016-03-14,41.25,41.25,41.25,41.25,100.0
2016-03-15,42.869999,42.950001,42.0,42.099998,1783.0
2016-03-16,42.889999,42.950001,42.009998,42.009998,700.0
2016-03-17,42.950001,43.349998,42.5,43.349998,13588.0
2016-03-18,43.349998,43.349998,42.599998,43.25,1264.0
2016-03-21,43.049999,44.0,42.650002,42.759998,1759.0
2016-03-22,43.98,44.490002,42.669998,43.0,5392.0
2016-03-23,44.25,44.25,43.119999,44.200001,60.0
2016-03-24,44.200001,44.200001,43.400002,43.900002,790.0
2016-03-25,44.0,45.0,44.0,44.740002,7234.0
2016-03-28,44.700001,44.75,44.119999,44.150002,4375.0
2016-03-29,44.700001,45.5,44.509998,45.009998,12990.0
2016-03-30,45.0,45.0,45.0,45.0,4955.0
2016-03-31,45.0,46.990002,45.0,45.900002,34161.0
2016-04-01,46.0,46.0,45.220001,45.220001,900.0
2016-04-04,45.98,45.98,45.220001,45.240002,8222.0
2016-04-05,45.889999,46.0,45.889999,46.0,247.0
2016-04-07,45.32,45.900002,45.119999,45.900002,1010.0
2016-04-08,45.900002,45.900002,43.5,43.5,3953.0
2016-04-11,45.959999,45.959999,45.959999,45.959999,1.0
2016-04-12,44.099998,45.0,44.099998,45.0,11809.0
2016-04-13,45.0,45.0,44.0,44.0,13392.0
2016-04-14,43.959999,44.0,43.560001,43.98,7420.0
2016-04-15,44.5,44.5,44.5,44.5,350.0
2016-04-18,44.98,44.98,44.98,44.98,17.0
2016-04-19,44.889999,45.0,44.889999,45.0,10535.0
2016-04-20,45.939999,45.939999,44.759998,44.759998,1397.0
2016-04-21,44.700001,45.990002,44.700001,45.939999,1910.0
2016-04-22,46.0,50.0,46.0,50.0,21066.0
2016-04-25,50.0,52.0,50.0,50.490002,29954.0
2016-04-26,50.0,50.0,48.0,50.0,6030.0
2016-04-27,48.299999,49.939999,48.27,49.0,552.0
2016-04-28,49.0,49.0,48.529999,49.0,378.0
2016-04-29,48.540001,50.450001,48.299999,50.450001,8135.0
2016-05-02,50.400002,50.439999,50.0,50.0,21260.0
2016-05-03,50.0,50.439999,50.0,50.439999,4251.0
2016-05-04,50.0,50.099998,50.0,50.099998,1985.0
2016-05-05,50.110001,52.98,50.110001,52.98,10620.0
2016-05-06,52.970001,54.900002,52.970001,54.0,9455.0
2016-05-09,52.5,53.900002,52.5,53.900002,10186.0
2016-05-10,53.900002,55.490002,53.900002,55.490002,21372.0
2016-05-11,56.049999,60.0,55.610001,59.0,32889.0
2016-05-12,58.450001,58.450001,55.459999,55.459999,4963.0
2016-05-13,55.5,55.5,52.139999,52.139999,20948.0
2016-05-16,53.990002,53.990002,53.400002,53.990002,1602.0
2016-05-17,53.900002,55.18,52.5,54.0,10070.0
2016-05-18,54.099998,55.790001,54.0,55.02,5537.0
2016-05-19,55.400002,56.009998,55.029999,56.0,4835.0
2016-05-20,55.099998,55.099998,54.400002,54.400002,1911.0
2016-05-23,54.599998,55.490002,54.599998,55.490002,239.0
