Time,Open,High,Low,Close,Volume
2012-03-26,799.0,799.0,799.0,799.0,14.0
2012-03-28,800.0,800.0,800.0,800.0,4.0
2012-03-29,800.0,800.0,800.0,800.0,1.0
2012-04-09,760.0,761.0,760.0,760.0,4.0
2012-04-13,752.0,754.0,752.0,752.0,10.0
2012-04-19,795.0,795.0,730.0,795.0,14.0
2012-04-20,748.0,748.0,748.0,748.0,15.0
2012-04-27,711.0,750.0,709.0,711.0,39.0
2012-05-04,710.0,710.0,710.0,710.0,15.0
2012-05-07,713.0,713.0,713.0,713.0,2.0
2012-05-11,720.0,720.0,720.0,720.0,5.0
2012-05-14,720.0,720.0,720.0,720.0,11.0
2012-05-15,720.0,720.0,720.0,720.0,3.0
2012-05-16,701.0,701.0,701.0,701.0,2.0
2012-05-30,670.0,670.0,670.0,670.0,29.0
2012-06-01,637.0,637.0,637.0,637.0,73.0
2012-06-06,633.0,633.0,633.0,633.0,28.0
2012-06-11,633.0,633.0,633.0,633.0,46.0
2012-06-13,641.0,641.0,641.0,641.0,14.0
2012-06-14,679.0,679.0,679.0,679.0,2.0
2012-06-15,679.0,679.0,679.0,679.0,1.0
2012-06-18,719.0,719.0,718.0,719.0,10.0
2012-06-19,747.0,747.0,747.0,747.0,9.0
2012-06-20,711.0,747.0,711.0,711.0,9.0
2012-06-21,747.0,752.0,710.0,747.0,24.0
2012-06-22,717.0,717.0,717.0,717.0,6.0
2012-06-25,710.0,712.0,710.0,710.0,25.0
2012-06-27,712.0,712.0,712.0,712.0,7.0
2012-06-29,712.0,712.0,712.0,712.0,3.0
2012-07-02,678.0,678.0,678.0,678.0,3.0
2012-07-04,717.0,717.0,716.0,717.0,6.0
2012-07-05,754.0,754.0,754.0,754.0,48.0
2012-07-11,709.0,709.0,709.0,709.0,4.0
2012-07-18,632.0,632.0,632.0,632.0,4.0
2012-07-19,634.0,634.0,603.0,634.0,12.0
2012-07-24,669.0,669.0,669.0,669.0,2.0
2012-07-25,699.0,699.0,638.0,699.0,19.0
2012-07-27,737.0,737.0,737.0,737.0,1.0
2012-08-09,705.0,705.0,705.0,705.0,1.0
2012-08-22,724.0,724.0,663.0,724.0,3.0
2012-09-25,608.0,610.0,608.0,608.0,55.0
2012-09-26,608.0,608.0,608.0,608.0,3.0
2012-09-28,606.0,606.0,603.0,606.0,33.0
2012-10-02,603.0,603.0,603.0,603.0,15.0
2012-10-04,604.0,604.0,604.0,604.0,6.0
2012-10-09,640.0,640.0,637.0,640.0,24.0
2012-10-11,650.0,650.0,650.0,650.0,49.0
2012-10-17,688.0,688.0,688.0,688.0,1.0
2012-10-18,708.0,708.0,708.0,708.0,1.0
2012-12-21,666.0,666.0,666.0,666.0,2.0
2012-12-25,698.0,698.0,698.0,698.0,1.0
2012-12-28,618.0,618.0,618.0,618.0,43.0
2013-01-04,616.0,616.0,616.0,616.0,14.0
2013-01-07,618.0,618.0,618.0,618.0,1.0
2013-01-17,618.0,618.0,618.0,618.0,27.0
2013-02-01,655.0,655.0,655.0,655.0,2.0
2013-02-12,618.0,618.0,618.0,618.0,15.0
2013-03-01,655.0,655.0,655.0,655.0,1.0
2013-03-06,684.0,684.0,684.0,684.0,1.0
2013-03-15,625.0,625.0,625.0,625.0,40.0
2013-03-22,662.5,662.5,662.5,662.5,2.0
2013-03-25,683.0,683.0,683.0,683.0,2.0
2013-03-29,755.0,811.0,721.29999,811.0,13.0
2013-04-02,763.0,763.0,763.0,763.0,6.0
2013-04-05,770.0,770.0,770.0,770.0,3.0
2013-04-09,806.0,806.0,806.0,806.0,5.0
2013-04-11,801.0,801.0,801.0,801.0,70.0
2013-04-16,848.0,848.0,848.0,848.0,2.0
2013-04-24,884.0,884.0,884.0,884.0,1.0
2013-05-10,831.0,831.0,831.0,831.0,12.0
2013-05-13,811.0,811.0,811.0,811.0,14.0
2013-05-24,856.0,856.0,856.0,856.0,2.0
2013-05-27,860.0,860.0,860.0,860.0,30.0
2013-05-28,860.0,860.0,860.0,860.0,50.0
2013-06-07,815.0,815.0,815.0,815.0,50.0
2013-06-13,816.5,816.5,816.5,816.5,28.0
2013-06-14,850.0,850.0,850.0,850.0,2.0
2013-06-18,859.0,859.0,859.0,859.0,20.0
2013-06-20,856.90002,856.90002,856.90002,856.90002,2.0
2013-06-25,820.5,820.5,820.5,820.5,14.0
2013-07-05,820.0,820.0,816.0,816.0,3.0
2013-07-09,854.0,854.0,854.0,854.0,4.0
2013-07-11,720.0,720.0,720.0,720.0,3.0
2013-07-12,681.0,681.0,681.0,681.0,27.0
2013-07-15,681.09998,681.09998,681.09998,681.09998,20.0
2013-07-17,684.0,684.0,684.0,684.0,22.0
2013-07-18,681.0,681.09998,681.0,681.09998,41.0
2013-07-24,681.09998,681.09998,681.09998,681.09998,20.0
2013-07-26,681.0,681.0,681.0,681.0,14.0
2013-08-16,719.90002,719.90002,719.90002,719.90002,1.0
2013-09-04,686.0,686.0,686.0,686.0,14.0
2013-09-06,725.90002,725.90002,725.90002,725.90002,5.0
2013-10-01,752.0,752.0,752.0,752.0,2.0
2013-10-02,750.0,750.0,750.0,750.0,3.0
2013-10-09,740.0,740.0,740.0,740.0,66.0
2013-10-10,698.0,698.0,698.0,698.0,10.0
2013-10-24,701.0,701.0,701.0,701.0,341.0
2013-10-29,732.0,732.0,710.0,710.0,11.0
2013-11-07,715.09998,715.09998,715.09998,715.09998,6.0
2013-11-19,752.0,754.0,752.0,754.0,76.0
