Time,Open,High,Low,Close,Volume
2014-12-18,215.0,216.0,210.0,214.95,211052.0
2014-12-19,212.0,212.0,203.0,212.0,32986.0
2014-12-22,205.0,206.0,202.0,202.0,41831.0
2014-12-23,205.0,208.0,195.10001,202.0,75750.0
2014-12-24,200.0,200.0,195.0,199.8,180198.0
2014-12-25,196.0,201.0,196.0,197.2,56666.0
2014-12-26,196.60001,198.95,196.3,198.5,10776.0
2014-12-29,196.0,198.5,196.0,198.5,19854.0
2014-12-30,198.05,198.75,196.60001,196.7,26192.0
2014-12-31,196.64999,197.5,195.0,197.5,63600.0
2015-01-02,195.3,195.5,195.0,195.0,672.0
2015-01-06,195.0,198.0,183.39999,198.0,5023.0
2015-01-07,192.14999,197.2,192.10001,197.0,9525.0
2015-01-08,195.0,196.95,193.3,193.3,3605.0
2015-01-09,193.35001,195.0,193.0,193.10001,183267.0
2015-01-12,193.10001,193.10001,187.0,190.0,8969.0
2015-01-13,190.0,190.0,184.0,188.0,14145.0
2015-01-14,189.75,189.75,183.60001,183.60001,26503.0
2015-01-15,173.60001,182.0,172.60001,172.60001,78735.0
2015-01-16,162.25,170.0,155.35001,165.2,67810.0
2015-01-19,167.0,181.7,167.0,181.7,42317.0
2015-01-20,185.0,192.60001,185.0,191.0,55356.0
2015-01-21,195.95,195.95,187.3,189.5,1551.0
2015-01-22,185.0,189.8,185.0,189.8,478.0
2015-01-23,185.0,189.89999,184.0,189.89999,7003.0
2015-01-26,178.60001,185.0,178.60001,184.0,17824.0
2015-01-27,184.0,184.0,179.5,179.5,27811.0
2015-01-28,181.0,181.0,176.25,179.85001,56129.0
2015-01-29,180.0,180.0,177.05,180.0,92837.0
2015-01-30,180.0,190.0,180.0,180.0,113256.0
2015-02-02,180.0,180.0,176.14999,179.89999,587.0
2015-02-03,179.85001,180.0,178.0,180.0,40314.0
2015-02-04,176.64999,180.0,176.0,178.89999,58856.0
2015-02-05,179.5,179.5,175.0,175.3,2552.0
2015-02-06,176.0,177.5,176.0,176.0,13320.0
2015-02-09,173.0,175.0,173.0,175.0,16303.0
2015-02-10,175.0,176.0,175.0,176.0,15283.0
2015-02-11,175.0,177.5,170.0,170.0,31563.0
2015-02-12,171.0,174.0,165.60001,170.0,10475.0
