Time,Open,High,Low,Close,Volume
2012-03-27,345.0,345.0,345.0,345.0,76.0
2012-03-30,348.79999,348.79999,348.79999,348.79999,2.0
2012-04-19,348.79999,348.79999,348.79999,348.79999,10.0
2012-04-24,327.89999,327.89999,327.89999,327.89999,9.0
2012-05-11,320.0,320.0,320.0,320.0,78.0
2012-08-02,300.79999,300.79999,300.79999,300.79999,10.0
2012-08-06,285.0,285.0,285.0,285.0,50.0
2012-10-16,284.95001,284.95001,284.95001,284.95001,8.0
2012-12-14,267.89999,267.89999,267.89999,267.89999,10.0
2012-12-17,283.5,283.5,283.5,283.5,4.0
2013-02-08,266.5,266.5,266.5,266.5,5.0
2013-02-21,235.55,235.55,235.55,235.55,36.0
2013-03-25,222.0,222.0,222.0,222.0,32.0
2013-04-16,208.7,208.7,208.7,208.7,16.0
2013-05-27,210.0,210.0,210.0,210.0,7.0
2013-07-17,197.39999,197.39999,197.39999,197.39999,7.0
2013-10-02,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-03,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-04,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-07,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-08,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-09,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-10,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-11,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-14,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-15,197.39999,197.39999,197.39999,197.39999,0.0
2013-10-21,197.0,197.0,197.0,197.0,3.0
2013-10-31,197.0,197.0,197.0,197.0,7.0
2013-12-02,196.0,197.0,196.0,197.0,104.0
2013-12-04,197.0,197.0,197.0,197.0,32.0
2013-12-12,190.0,190.0,190.0,190.0,51.0
2014-02-07,190.0,190.0,190.0,190.0,3.0
2014-02-18,172.0,172.0,172.0,172.0,3.0
2014-02-26,175.0,175.0,175.0,175.0,25.0
2014-02-27,175.05,175.05,175.05,175.05,51.0
2014-03-04,180.0,180.0,180.0,180.0,20.0
2014-03-06,188.0,189.0,188.0,189.0,120.0
2014-03-07,182.0,182.0,182.0,182.0,12.0
2014-03-11,185.0,185.0,185.0,185.0,24.0
2014-03-17,185.0,185.0,185.0,185.0,40.0
2014-03-18,183.0,183.0,183.0,183.0,50.0
2014-03-20,185.0,185.0,185.0,185.0,25.0
2014-03-28,189.5,189.5,182.0,182.0,80.0
2014-03-31,180.0,180.0,180.0,180.0,10.0
2014-04-08,180.0,180.0,180.0,180.0,25.0
2014-04-18,179.0,179.0,179.0,179.0,88.0
2014-04-21,170.0,170.0,170.0,170.0,168.0
2014-04-28,175.0,175.0,175.0,175.0,1.0
2014-05-27,174.0,174.0,174.0,174.0,5.0
2014-05-28,164.5,164.5,164.5,164.5,1.0
2014-05-30,164.5,164.5,164.5,164.5,4.0
2014-06-02,154.7,154.7,154.7,154.7,6.0
2014-06-27,150.0,150.0,150.0,150.0,1.0
2014-07-03,155.0,155.0,155.0,155.0,100.0
2014-07-16,152.0,152.0,152.0,152.0,1.0
2014-08-06,159.5,159.5,159.5,159.5,1.0
2014-08-08,155.0,155.0,155.0,155.0,1.0
2014-09-04,146.0,146.2,146.0,146.2,29.0
2014-09-09,174.0,174.0,174.0,174.0,32.0
2014-09-29,174.0,174.0,174.0,174.0,50.0
2014-10-20,174.0,174.0,174.0,174.0,1.0
2014-12-02,144.0,144.0,144.0,144.0,5.0
2014-12-03,144.60001,144.60001,144.0,144.0,1047.0
2014-12-04,135.39999,144.0,135.39999,144.0,203.0
2014-12-08,144.0,144.0,144.0,144.0,16.0
2014-12-09,140.0,140.0,140.0,140.0,8.0
2014-12-11,133.0,133.0,133.0,133.0,9.0
2014-12-23,133.0,133.0,133.0,133.0,9.0
2014-12-25,138.0,138.0,138.0,138.0,2.0
2015-01-09,138.0,138.0,138.0,138.0,50.0
2015-01-26,130.0,130.0,130.0,130.0,2.0
2015-01-27,130.0,130.0,130.0,130.0,2.0
2015-01-29,130.0,130.0,130.0,130.0,100.0
2015-02-02,130.0,130.0,130.0,130.0,1.0
2015-02-05,130.0,130.0,130.0,130.0,40.0
2015-03-05,101.6,101.6,101.6,101.6,10.0
2015-03-06,95.510002,95.510002,95.510002,95.510002,5.0
2015-03-13,91.0,91.0,91.0,91.0,2.0
2015-03-17,80.419998,80.419998,80.419998,80.419998,1683.0
2015-03-19,81.010002,81.010002,81.010002,81.010002,1.0
2015-03-31,102.25,102.25,102.25,102.25,2.0
2015-04-06,100.0,100.0,100.0,100.0,2.0
2015-04-07,100.0,100.0,100.0,100.0,5.0
