Time,Open,High,Low,Close,Volume
2012-03-26,266.0,266.0,266.0,266.0,143.0
2012-03-27,273.0,276.0,267.0,273.0,26.0
2012-03-28,273.0,273.0,266.04999,273.0,116.0
2012-03-29,272.85001,272.85001,266.10001,272.85001,6.0
2012-03-30,258.0,268.0,257.20001,258.0,679.0
2012-04-02,256.5,264.0,256.5,256.5,334.0
2012-04-03,250.0,261.0,250.0,250.0,461.0
2012-04-04,244.0,250.0,235.0,244.0,391.0
2012-04-05,240.0,240.0,229.5,240.0,415.0
2012-04-06,228.0,235.0,227.3,228.0,460.0
2012-04-09,235.0,235.0,234.45,235.0,538.0
2012-04-13,220.0,230.0,220.0,220.0,1238.0
2012-04-16,220.0,220.0,217.5,220.0,486.0
2012-04-17,224.0,224.0,224.0,224.0,585.0
2012-04-18,225.0,225.0,214.5,225.0,454.0
2012-04-19,220.0,220.0,217.0,220.0,674.0
2012-04-20,222.0,222.0,220.0,222.0,1935.0
2012-04-23,222.0,222.0,219.85001,222.0,576.0
2012-04-24,220.0,220.0,220.0,220.0,349.0
2012-04-25,220.0,220.0,220.0,220.0,583.0
2012-04-26,218.0,218.0,216.0,218.0,476.0
2012-04-27,215.0,219.89999,215.0,215.0,395.0
2012-04-30,215.0,215.0,202.2,215.0,892.0
2012-05-02,207.25,210.0,207.2,207.25,882.0
2012-05-03,205.60001,208.0,205.0,205.60001,1151.0
2012-05-04,210.0,210.0,208.0,210.0,216.0
2012-05-07,215.0,215.0,207.10001,215.0,822.0
2012-05-08,226.39999,226.39999,213.0,226.39999,1105.0
2012-05-09,226.5,227.0,218.0,226.5,390.0
2012-05-10,223.8,223.8,221.0,223.8,345.0
2012-05-11,219.8,220.05,216.5,219.8,3608.0
2012-05-14,209.0,217.0,209.0,209.0,413.0
2012-05-15,210.10001,211.5,210.0,210.10001,568.0
2012-05-16,207.0,210.0,207.0,207.0,938.0
2012-05-17,210.0,210.0,207.10001,210.0,1402.0
2012-05-18,208.05,209.0,208.05,208.05,391.0
2012-05-21,209.5,209.5,208.0,209.5,649.0
2012-05-22,209.0,209.0,207.55,209.0,182.0
2012-05-23,209.5,209.5,207.55,209.5,103.0
2012-05-24,210.0,210.0,208.0,210.0,433.0
2012-05-25,213.39999,213.39999,211.0,213.39999,389.0
2012-05-28,218.0,218.0,208.5,218.0,1252.0
2012-05-29,216.0,216.0,216.0,216.0,40.0
2012-05-30,228.0,228.0,216.0,228.0,668.0
2012-05-31,220.3,228.0,220.3,220.3,390.0
2012-06-01,226.89999,226.89999,220.0,226.89999,538.0
2012-06-04,226.0,228.5,226.0,226.0,361.0
2012-06-05,224.0,224.0,221.0,224.0,358.0
2012-06-06,218.3,219.89999,218.05,218.3,196.0
2012-06-07,218.0,218.0,218.0,218.0,493.0
2012-06-08,219.0,220.8,219.0,219.0,134.0
2012-06-11,224.0,224.0,218.05,224.0,379.0
2012-06-12,223.89999,223.89999,218.5,223.89999,542.0
2012-06-13,220.89999,220.89999,219.0,220.89999,80.0
2012-06-14,219.89999,219.89999,219.0,219.89999,225.0
2012-06-15,218.60001,221.5,218.60001,218.60001,475.0
2012-06-18,220.0,220.0,220.0,220.0,422.0
2012-06-19,220.0,221.8,220.0,220.0,382.0
2012-06-20,220.0,220.0,220.0,220.0,485.0
2012-06-21,220.0,222.0,220.0,220.0,386.0
2012-06-22,221.0,221.0,220.0,221.0,513.0
2012-06-25,226.0,226.0,222.0,226.0,1258.0
2012-06-26,223.0,223.0,222.0,223.0,317.0
2012-06-27,223.0,223.0,222.0,223.0,129.0
2012-06-28,228.60001,228.60001,222.0,228.60001,410.0
2012-06-29,229.0,229.0,229.0,229.0,427.0
2012-07-02,229.0,229.0,229.0,229.0,336.0
2012-07-03,228.5,229.0,223.0,228.5,481.0
2012-07-04,229.0,229.0,228.5,229.0,1009.0
2012-07-05,230.0,235.0,230.0,230.0,602.0
2012-07-06,229.0,229.0,224.2,229.0,484.0
2012-07-09,224.0,230.95,224.0,224.0,401.0
2012-07-10,222.0,222.0,221.0,222.0,777.0
2012-07-11,220.5,220.5,220.5,220.5,363.0
2012-07-12,220.5,220.5,220.05,220.5,471.0
2012-07-13,227.0,227.0,223.0,227.0,517.0
2012-07-16,225.0,225.0,225.0,225.0,1.0
2012-07-17,223.05,225.05,223.05,223.05,403.0
2012-07-18,225.10001,230.0,225.0,225.10001,1030.0
2012-07-19,225.25,225.25,225.0,225.25,352.0
2012-07-20,225.2,227.0,225.2,225.2,525.0
2012-07-23,225.2,225.2,225.0,225.2,205.0
2012-07-24,225.0,225.0,223.0,225.0,371.0
2012-07-25,225.0,225.0,223.0,225.0,87.0
2012-07-26,223.0,223.0,223.0,223.0,101.0
2012-07-27,225.0,225.0,223.0,225.0,596.0
2012-07-31,223.05,225.0,223.05,223.05,92.0
2012-08-01,223.0,225.0,220.0,223.0,1010.0
2012-08-02,220.0,222.0,220.0,220.0,825.0
2012-08-03,222.0,222.0,220.0,222.0,124.0
2012-08-06,223.0,223.0,223.0,223.0,258.0
2012-08-07,229.85001,229.85001,222.0,229.85001,481.0
2012-08-08,225.0,227.0,225.0,225.0,52.0
2012-08-09,225.0,225.0,225.0,225.0,354.0
2012-08-10,225.0,225.0,225.0,225.0,15.0
2012-08-13,225.0,225.0,223.0,225.0,351.0
2012-08-15,223.0,225.0,223.0,223.0,61.0
2012-08-16,221.0,222.0,220.05,221.0,68.0
2012-08-17,222.0,222.0,222.0,222.0,71.0
2012-08-22,220.05,221.0,220.0,220.05,569.0
2012-08-23,223.5,223.5,215.0,223.5,492.0
2012-08-24,220.05,220.05,220.05,220.05,82.0
2012-08-27,221.0,221.0,221.0,221.0,1.0
2012-08-28,221.0,221.0,220.10001,221.0,379.0
2012-08-29,221.0,221.0,221.0,221.0,440.0
2012-08-30,220.14999,220.25,220.14999,220.14999,170.0
2012-08-31,219.55,220.0,219.0,219.55,101.0
2012-09-03,219.5,220.0,212.0,219.5,415.0
2012-09-04,219.5,219.5,219.5,219.5,333.0
2012-09-05,219.0,219.0,219.0,219.0,50.0
2012-09-06,218.0,219.3,218.0,218.0,578.0
2012-09-07,216.0,218.0,216.0,216.0,18.0
2012-09-10,218.0,220.0,218.0,218.0,374.0
2012-09-11,231.0,231.0,218.0,231.0,364.0
2012-09-12,220.0,223.0,220.0,220.0,89.0
2012-09-13,231.95,231.95,220.0,231.95,395.0
2012-09-14,220.35001,231.0,220.2,220.35001,430.0
2012-09-17,220.05,222.0,220.05,220.05,986.0
2012-09-18,208.0,210.0,191.05,208.0,421.0
2012-09-19,208.0,210.0,208.0,208.0,385.0
2012-09-20,209.95,209.95,198.0,209.95,384.0
2012-09-21,198.10001,210.0,198.05,198.10001,3597.0
2012-09-24,204.5,204.5,204.5,204.5,389.0
2012-09-25,198.0,198.0,198.0,198.0,416.0
2012-09-26,196.95,196.95,195.0,196.95,429.0
2012-09-27,195.0,195.05,195.0,195.0,481.0
