Time,Open,High,Low,Close,Volume
2012-03-26,1686.0,1686.0,1685.0,1686.0,15.0
2012-03-27,1686.0,1745.0,1686.0,1686.0,15.0
2012-03-28,1720.0,1720.0,1720.0,1720.0,2.0
2012-03-29,1655.0,1686.0,1655.0,1655.0,104.0
2012-03-30,1698.0,1699.0,1655.0,1698.0,2303.0
2012-04-02,1700.0,1739.0,1700.0,1700.0,39.0
2012-04-03,1655.0,1662.0,1655.0,1655.0,49.0
2012-04-04,1640.0,1651.0,1632.0,1640.0,1081.0
2012-04-05,1660.0,1660.0,1630.0,1660.0,1110.0
2012-04-06,1580.0,1684.0,1580.0,1580.0,194.0
2012-04-09,1668.0,1668.0,1668.0,1668.0,3.0
2012-04-13,1501.0,1615.0,1501.0,1501.0,866.0
2012-04-16,1578.0,1578.0,1578.0,1578.0,2.0
2012-04-17,1667.0,1667.0,1515.0,1667.0,187.0
2012-04-18,1567.0,1568.0,1567.0,1567.0,53.0
2012-04-19,1535.0,1535.0,1530.0,1535.0,11.0
2012-04-20,1505.0,1580.0,1489.0,1505.0,612.0
2012-04-25,1500.0,1505.0,1500.0,1500.0,2800.0
2012-04-26,1500.0,1505.0,1500.0,1500.0,2686.0
2012-04-27,1480.0,1491.0,1480.0,1480.0,200.0
2012-05-02,1459.0,1459.0,1459.0,1459.0,7.0
2012-05-07,1463.0,1510.0,1463.0,1463.0,1314.0
2012-05-09,1463.0,1463.0,1463.0,1463.0,20.0
2012-05-11,1423.0,1480.0,1423.0,1423.0,116.0
2012-05-15,1400.0,1489.0,1394.0,1400.0,206.0
2012-05-16,1393.0,1395.0,1393.0,1393.0,86.0
2012-05-18,1326.0,1396.0,1326.0,1326.0,120.0
2012-05-21,1327.0,1350.0,1326.0,1327.0,157.0
2012-05-22,1350.0,1350.0,1326.0,1350.0,87.0
2012-05-23,1380.0,1380.0,1370.0,1380.0,11.0
2012-05-24,1400.0,1400.0,1400.0,1400.0,168.0
2012-05-25,1450.0,1484.0,1410.0,1450.0,911.0
2012-05-28,1449.0,1479.0,1449.0,1449.0,6.0
2012-05-29,1480.0,1480.0,1400.0,1480.0,229.0
2012-05-30,1508.0,1508.0,1420.0,1508.0,18.0
2012-05-31,1450.0,1549.0,1450.0,1450.0,310.0
2012-06-01,1500.0,1500.0,1450.0,1500.0,67.0
2012-06-06,1500.0,1588.0,1432.0,1500.0,439.0
2012-06-07,1550.0,1550.0,1550.0,1550.0,20.0
2012-06-08,1500.0,1550.0,1500.0,1500.0,138.0
2012-06-11,1530.0,1530.0,1530.0,1530.0,5.0
2012-06-12,1486.0,1486.0,1486.0,1486.0,162.0
2012-06-13,1500.0,1500.0,1499.0,1500.0,564.0
2012-06-14,1536.0,1536.0,1483.0,1536.0,3.0
2012-06-15,1550.0,1550.0,1484.0,1550.0,195.0
2012-06-18,1550.0,1550.0,1490.0,1550.0,1022.0
2012-06-19,1550.0,1550.0,1550.0,1550.0,573.0
2012-06-20,1500.0,1503.0,1500.0,1500.0,2187.0
2012-06-27,1580.0,1580.0,1580.0,1580.0,52.0
2012-06-28,1500.0,1500.0,1500.0,1500.0,660.0
2012-06-29,1501.0,1501.0,1501.0,1501.0,20.0
2012-07-02,1440.0,1472.0,1436.0,1440.0,29.0
2012-07-05,1431.0,1431.0,1431.0,1431.0,3.0
2012-07-06,1516.0,1516.0,1350.0,1516.0,222.0
2012-07-09,1430.0,1514.0,1430.0,1430.0,269.0
2012-07-10,1351.0,1498.0,1351.0,1351.0,2122.0
2012-07-11,1355.0,1355.0,1353.0,1355.0,460.0
2012-07-12,1399.0,1399.0,1350.0,1399.0,721.0
2012-07-13,1350.0,1350.0,1350.0,1350.0,370.0
2012-07-16,1351.0,1351.0,1351.0,1351.0,61.0
2012-07-17,1385.0,1385.0,1350.0,1385.0,9.0
2012-07-18,1365.0,1365.0,1365.0,1365.0,4.0
2012-07-20,1355.0,1370.0,1355.0,1355.0,98.0
2012-07-23,1350.0,1354.0,1350.0,1350.0,5.0
2012-07-24,1399.0,1399.0,1380.0,1399.0,163.0
2012-07-25,1454.0,1454.0,1435.0,1454.0,42.0
2012-07-27,1367.0,1450.0,1367.0,1367.0,224.0
2012-07-31,1446.0,1446.0,1400.0,1446.0,25.0
2012-08-02,1449.0,1449.0,1370.0,1449.0,103.0
2012-08-03,1440.0,1440.0,1400.0,1440.0,321.0
2012-08-07,1448.0,1448.0,1400.0,1448.0,29.0
2012-08-08,1473.0,1473.0,1383.0,1473.0,316.0
2012-08-09,1473.0,1473.0,1401.0,1473.0,229.0
2012-08-15,1470.0,1470.0,1470.0,1470.0,1056.0
