Time,Open,High,Low,Close,Volume
2012-03-26,550.0,550.0,534.0,550.0,74.0
2012-03-27,550.0,550.0,550.0,550.0,26.0
2012-03-29,555.0,555.0,553.0,555.0,95.0
2012-03-30,550.0,550.0,550.0,550.0,28.0
2012-04-02,550.0,565.0,550.0,550.0,22.0
2012-04-03,550.0,550.0,540.0,550.0,74.0
2012-04-04,550.0,550.0,550.0,550.0,200.0
2012-04-05,564.0,564.0,550.0,564.0,201.0
2012-04-06,531.0,564.0,531.0,531.0,203.0
2012-04-09,550.0,562.0,550.0,550.0,50.0
2012-04-13,550.0,564.0,550.0,550.0,31.0
2012-04-17,540.0,564.0,540.0,540.0,221.0
2012-04-18,550.0,564.0,550.0,550.0,207.0
2012-04-19,550.0,560.0,550.0,550.0,22.0
2012-04-20,564.0,564.0,550.0,564.0,208.0
2012-04-23,564.0,564.0,564.0,564.0,157.0
2012-04-24,556.0,556.0,555.0,556.0,200.0
2012-04-25,555.0,556.0,555.0,555.0,353.0
2012-04-26,555.0,555.0,555.0,555.0,200.0
2012-04-27,550.0,555.0,550.0,550.0,210.0
2012-04-30,550.0,550.0,550.0,550.0,10.0
2012-05-02,550.0,550.0,550.0,550.0,202.0
2012-05-03,531.0,550.0,531.0,531.0,355.0
2012-05-04,534.0,534.0,533.0,534.0,12.0
2012-05-07,532.0,540.0,532.0,532.0,235.0
2012-05-08,532.0,532.0,532.0,532.0,10.0
2012-05-09,532.0,532.0,532.0,532.0,13.0
2012-05-10,550.0,550.0,533.0,550.0,214.0
2012-05-11,530.0,549.0,530.0,530.0,323.0
2012-05-14,540.0,540.0,530.0,540.0,283.0
2012-05-15,531.0,550.0,531.0,531.0,338.0
2012-05-16,550.0,550.0,531.0,550.0,89.0
2012-05-17,550.0,550.0,550.0,550.0,50.0
2012-05-18,550.0,550.0,538.0,550.0,25.0
2012-05-21,550.0,550.0,550.0,550.0,200.0
2012-05-22,550.0,550.0,550.0,550.0,202.0
2012-05-23,550.0,550.0,541.0,550.0,179.0
2012-05-24,545.0,545.0,545.0,545.0,34.0
2012-05-25,550.0,550.0,550.0,550.0,202.0
2012-05-29,540.0,540.0,540.0,540.0,205.0
2012-05-30,550.0,550.0,550.0,550.0,23.0
2012-05-31,550.0,550.0,550.0,550.0,203.0
2012-06-01,539.0,550.0,539.0,539.0,298.0
2012-06-04,540.0,540.0,539.0,540.0,120.0
2012-06-05,549.0,549.0,538.0,549.0,222.0
2012-06-06,540.0,542.0,540.0,540.0,103.0
2012-06-07,531.0,539.0,531.0,531.0,258.0
2012-06-08,530.0,531.0,530.0,530.0,14220.0
2012-06-11,520.0,545.0,502.0,520.0,366.0
2012-06-12,525.0,525.0,504.0,525.0,5080.0
2012-06-13,546.0,548.0,515.0,546.0,181.0
2012-06-14,545.0,548.0,545.0,545.0,109.0
2012-06-15,535.0,550.0,535.0,535.0,246.0
2012-06-18,567.0,567.0,567.0,567.0,10.0
2012-06-21,538.0,538.0,538.0,538.0,117.0
2012-06-25,470.0,470.0,470.0,470.0,5.0
2012-06-26,490.0,490.0,482.0,490.0,124.0
2012-06-27,500.0,504.0,500.0,500.0,20.0
2012-07-04,498.20001,498.20001,498.20001,498.20001,6.0
2012-07-09,510.0,510.0,510.0,510.0,46.0
2012-07-10,510.0,510.0,510.0,510.0,10.0
2012-07-12,526.0,526.0,526.0,526.0,248.0
2012-07-13,540.0,540.0,540.0,540.0,359.0
2012-07-16,545.0,545.0,545.0,545.0,100.0
2012-07-17,541.0,541.0,540.0,541.0,28.0
2012-07-18,545.0,545.0,545.0,545.0,214.0
2012-07-19,550.0,565.0,550.0,550.0,926.0
2012-07-20,550.0,550.0,550.0,550.0,450.0
2012-07-23,550.0,550.0,550.0,550.0,50.0
2012-07-24,550.0,550.0,550.0,550.0,256.0
2012-07-25,550.0,550.0,550.0,550.0,371.0
2012-07-26,550.0,550.0,550.0,550.0,341.0
2012-07-27,546.0,546.0,546.0,546.0,10.0
2012-07-31,550.0,550.0,546.0,550.0,446.0
2012-08-01,550.0,550.0,550.0,550.0,256.0
2012-08-02,550.0,550.0,550.0,550.0,200.0
2012-08-03,550.0,550.0,550.0,550.0,200.0
2012-08-06,550.0,550.0,550.0,550.0,200.0
2012-08-07,550.0,550.0,550.0,550.0,300.0
2012-08-08,550.0,550.0,550.0,550.0,200.0
2012-08-09,550.0,550.0,550.0,550.0,200.0
2012-08-10,550.0,550.0,550.0,550.0,200.0
2012-08-13,550.0,550.0,550.0,550.0,19.0
2012-08-15,550.0,550.0,550.0,550.0,15.0
2012-08-16,550.0,550.0,550.0,550.0,5.0
2012-08-17,550.0,550.0,550.0,550.0,120.0
2012-08-23,550.0,550.0,550.0,550.0,200.0
2012-08-24,550.0,550.0,550.0,550.0,200.0
2012-08-27,550.0,550.0,550.0,550.0,200.0
2012-08-28,550.0,550.0,550.0,550.0,200.0
2012-08-29,545.0,550.0,545.0,545.0,220.0
2012-08-30,545.0,545.0,545.0,545.0,20.0
2012-09-03,545.0,545.0,545.0,545.0,104.0
2012-09-04,550.0,550.0,545.0,550.0,600.0
2012-09-05,550.0,550.0,550.0,550.0,200.0
2012-09-06,550.0,550.0,525.0,550.0,531.0
2012-09-07,550.0,550.0,550.0,550.0,200.0
2012-09-10,531.0,550.0,531.0,531.0,26.0
2012-09-11,550.0,550.0,532.0,550.0,207.0
2012-09-12,532.0,550.0,532.0,532.0,230.0
2012-09-13,533.0,549.0,533.0,533.0,206.0
2012-09-14,540.0,540.0,540.0,540.0,201.0
2012-09-17,540.0,540.0,540.0,540.0,200.0
2012-09-18,531.0,540.0,531.0,531.0,210.0
2012-09-19,531.0,531.0,531.0,531.0,11.0
2012-09-20,548.0,548.0,531.0,548.0,76.0
2012-09-21,550.0,550.0,548.0,550.0,201.0
2012-09-24,549.0,550.0,531.0,549.0,213.0
2012-09-25,549.0,549.0,549.0,549.0,200.0
2012-09-26,550.0,550.0,549.0,550.0,225.0
2012-09-27,540.0,540.0,540.0,540.0,200.0
2012-09-28,550.0,550.0,540.0,550.0,201.0
2012-10-01,549.0,550.0,531.0,549.0,211.0
2012-10-02,549.0,549.0,549.0,549.0,200.0
2012-10-03,550.0,550.0,550.0,550.0,201.0
2012-10-04,550.0,550.0,534.0,550.0,217.0
2012-10-05,550.0,550.0,530.0,550.0,217.0
2012-10-08,548.0,548.0,533.0,548.0,208.0
2012-10-09,547.0,547.0,526.0,547.0,220.0
2012-10-10,545.0,545.0,545.0,545.0,200.0
2012-10-11,549.0,549.0,545.0,549.0,203.0
2012-10-12,547.0,549.0,518.0,547.0,270.0
2012-10-15,547.0,547.0,547.0,547.0,200.0
2012-10-16,547.0,547.0,547.0,547.0,200.0
2012-10-17,547.0,547.0,520.0,547.0,206.0
