Time,Open,High,Low,Close,Volume
2012-03-28,3400.0,3420.0,3400.0,3400.0,206.0
2012-03-29,3499.0,3499.0,3495.0,3499.0,5.0
2012-03-30,3450.0,3450.0,3450.0,3450.0,84.0
2012-04-02,3500.0,3500.0,3494.0,3500.0,100.0
2012-04-04,3469.0,3470.0,3360.0,3469.0,2596.0
2012-04-06,3380.0,3380.0,3380.0,3380.0,263.0
2012-04-09,3495.0,3495.0,3492.0,3495.0,5.0
2012-04-13,3340.0,3424.0,3340.0,3340.0,9215.0
2012-04-16,3424.0,3424.0,3424.0,3424.0,29.0
2012-04-18,3470.0,3470.0,3424.0,3470.0,1352.0
2012-04-19,3485.0,3485.0,3485.0,3485.0,10.0
2012-04-20,3500.0,3500.0,3500.0,3500.0,5.0
2012-04-23,3300.0,3584.0,3300.0,3300.0,21.0
2012-04-24,3300.0,3498.0,3300.0,3300.0,16.0
2012-04-25,3449.0,3449.0,3260.0,3449.0,36.0
2012-04-27,3254.0,3292.0,3254.0,3254.0,245.0
2012-04-30,3300.0,3300.0,3250.0,3300.0,168.0
2012-05-04,3331.0,3331.0,3300.0,3331.0,513.0
2012-05-07,3474.0,3474.0,3339.0,3474.0,8.0
2012-05-08,3400.0,3400.0,3400.0,3400.0,262.0
2012-05-11,3469.0,3469.0,3469.0,3469.0,40.0
2012-05-16,3390.0,3390.0,3270.0,3390.0,6.0
2012-05-17,3250.0,3280.0,3250.0,3250.0,3489.0
2012-05-18,3200.0,3200.0,3200.0,3200.0,1.0
2012-05-21,3288.0,3288.0,3288.0,3288.0,5.0
2012-05-22,3300.0,3300.0,3250.0,3300.0,237.0
2012-05-23,3249.0,3249.0,3200.0,3249.0,115.0
2012-05-24,3240.0,3240.0,3102.0,3240.0,187.0
2012-05-25,3232.0,3232.0,3232.0,3232.0,500.0
2012-05-29,3120.0,3239.0,3120.0,3120.0,5075.0
2012-05-30,3233.0,3233.0,3233.0,3233.0,10.0
2012-05-31,3230.0,3230.0,3054.0,3230.0,63.0
2012-06-01,3250.0,3250.0,3229.0,3250.0,107.0
2012-06-04,3440.0,3440.0,3248.0,3440.0,5.0
2012-06-05,3300.0,3300.0,3300.0,3300.0,8351.0
2012-06-06,3370.0,3370.0,3370.0,3370.0,20.0
2012-06-07,3320.0,3320.0,3200.0,3320.0,5.0
2012-06-12,3180.0,3200.0,3180.0,3180.0,78.0
2012-06-13,3180.0,3180.0,3180.0,3180.0,7.0
2012-06-14,3297.0,3297.0,3181.0,3297.0,11.0
2012-06-15,3192.0,3300.0,3192.0,3192.0,9024.0
2012-06-18,3300.0,3300.0,3300.0,3300.0,1.0
2012-06-19,3288.0,3298.0,3197.0,3288.0,34.0
2012-06-21,3280.0,3280.0,3270.0,3280.0,75.0
2012-06-28,3200.0,3200.0,3200.0,3200.0,151.0
2012-06-29,3025.0,3200.0,3025.0,3025.0,1409.0
2012-07-02,3190.0,3190.0,3010.0,3190.0,17.0
2012-07-04,3165.0,3165.0,3165.0,3165.0,1.0
2012-07-05,3197.0,3197.0,3166.0,3197.0,9011.0
2012-07-06,3190.0,3250.0,3020.0,3190.0,606.0
2012-07-09,3200.0,3200.0,3190.0,3200.0,120.0
2012-07-10,3200.0,3200.0,3135.0,3200.0,5015.0
2012-07-20,3150.0,3190.0,3130.0,3150.0,748.0
2012-07-24,3179.0,3179.0,3000.0,3179.0,15.0
2012-07-25,3173.0,3173.0,3173.0,3173.0,2.0
2012-07-26,3153.0,3153.0,2983.0,3153.0,6.0
2012-07-27,3139.0,3139.0,2985.0,3139.0,18.0
2012-07-31,2968.0,2968.0,2968.0,2968.0,1.0
2012-08-02,3000.0,3000.0,2968.0,3000.0,4.0
2012-08-03,3000.0,3000.0,3000.0,3000.0,1450.0
2012-08-07,3105.0,3105.0,3105.0,3105.0,2.0
2012-08-08,2920.0,3109.0,2920.0,2920.0,83.0
2012-08-09,2830.0,3024.0,2830.0,2830.0,10.0
2012-08-10,2999.0,2999.0,2999.0,2999.0,758.0
2012-08-13,3000.0,3000.0,3000.0,3000.0,3.0
2012-08-16,2900.0,3024.0,2900.0,2900.0,7.0
2012-08-17,3000.0,3001.0,2903.0,3000.0,759.0
2012-08-22,3000.0,3000.0,3000.0,3000.0,50.0
2012-08-24,3024.0,3024.0,3024.0,3024.0,7.0
2012-08-27,3000.0,3000.0,3000.0,3000.0,10.0
2012-08-28,3000.0,3000.0,3000.0,3000.0,350.0
2012-08-31,3155.0,3155.0,3000.0,3155.0,4615.0
2012-09-06,3000.0,3030.0,3000.0,3000.0,16.0
2012-09-07,3000.0,3050.0,3000.0,3000.0,141.0
2012-09-10,3005.0,3005.0,3000.0,3005.0,20.0
2012-09-11,3005.0,3005.0,3005.0,3005.0,26.0
2012-09-12,3100.0,3100.0,3095.0,3100.0,32.0
2012-09-13,3150.0,3150.0,3100.0,3150.0,150.0
2012-09-14,3189.0,3189.0,3189.0,3189.0,100.0
2012-09-18,3011.0,3290.0,3011.0,3011.0,19.0
2012-09-20,3011.0,3011.0,3011.0,3011.0,180.0
2012-09-21,3010.0,3011.0,3001.0,3010.0,478.0
2012-09-24,3000.0,3000.0,3000.0,3000.0,50.0
2012-09-25,3138.0,3138.0,3100.0,3138.0,50.0
2012-09-26,3285.0,3285.0,3285.0,3285.0,1.0
2012-09-27,3285.0,3285.0,3111.0,3285.0,739.0
2012-09-28,3141.0,3141.0,3140.0,3141.0,606.0
2012-10-01,3115.0,3285.0,3115.0,3115.0,67.0
2012-10-04,3265.0,3274.0,3265.0,3265.0,6.0
2012-10-05,3131.0,3131.0,3131.0,3131.0,181.0
2012-10-09,3270.0,3270.0,3131.0,3270.0,64.0
2012-10-12,3200.0,3300.0,3200.0,3200.0,260.0
2012-10-18,3392.0,3392.0,3300.0,3392.0,22.0
2012-10-19,3400.0,3400.0,3399.0,3400.0,53.0
2012-10-22,3448.0,3448.0,3448.0,3448.0,1.0
2012-10-23,3450.0,3450.0,3447.0,3450.0,347.0
2012-10-24,3400.0,3500.0,3400.0,3400.0,168.0
2012-10-25,3400.0,3400.0,3400.0,3400.0,35.0
2012-10-30,3450.0,3450.0,3305.0,3450.0,33.0
2012-11-01,3450.0,3450.0,3448.0,3450.0,9.0
2012-11-07,3494.0,3494.0,3494.0,3494.0,8.0
2012-11-09,3490.0,3490.0,3490.0,3490.0,7774.0
2012-11-13,3500.0,3500.0,3495.0,3500.0,115.0
2012-11-14,3500.0,3500.0,3500.0,3500.0,100.0
2012-11-19,3600.0,3650.0,3501.0,3600.0,304.0
2012-11-20,3649.0,3649.0,3649.0,3649.0,3.0
2012-11-21,3700.0,3700.0,3600.0,3700.0,474.0
2012-11-22,3700.0,3700.0,3700.0,3700.0,381.0
2012-11-23,3900.0,3900.0,3740.0,3900.0,1130.0
2012-11-26,3900.0,3900.0,3900.0,3900.0,200.0
2012-11-27,3950.0,3950.0,3949.0,3950.0,35.0
2012-11-28,4000.0,4000.0,3980.0,4000.0,85.0
2012-11-29,4099.0,4100.0,3950.0,4099.0,1780.0
2012-11-30,4050.0,4099.0,4050.0,4050.0,214.0
2012-12-05,4001.0,4040.0,4001.0,4001.0,13.0
2012-12-06,4049.0,4049.0,4049.0,4049.0,15.0
2012-12-07,3999.0,4000.0,3999.0,3999.0,139.0
2012-12-11,4000.0,4000.0,4000.0,4000.0,560.0
2012-12-12,4000.0,4000.0,3960.0,4000.0,43.0
2012-12-13,4000.0,4000.0,3999.0,4000.0,629.0
2012-12-17,4035.0,4035.0,4035.0,4035.0,4.0
2012-12-20,4000.0,4000.0,3999.0,4000.0,509.0
2012-12-25,3930.0,3930.0,3901.0,3930.0,117.0
2012-12-26,3930.0,3930.0,3930.0,3930.0,200.0
2012-12-27,3703.0,3993.0,3703.0,3703.0,294.0
2012-12-28,3925.0,3925.0,3925.0,3925.0,521.0
2012-12-31,3690.0,3980.0,3690.0,3690.0,9353.0
2013-01-02,3895.0,3895.0,3895.0,3895.0,5.0
2013-01-03,3900.0,3923.0,3895.0,3900.0,7798.0
2013-01-08,3849.0,3969.0,3666.0,3849.0,192.0
2013-01-10,3845.0,3845.0,3845.0,3845.0,10.0
2013-01-14,3670.0,3670.0,3670.0,3670.0,38.0
2013-01-15,3671.0,3671.0,3670.0,3671.0,8738.0
2013-01-16,3580.0,3671.0,3580.0,3580.0,497.0
2013-01-18,3420.0,3580.0,3400.0,3420.0,643.0
2013-01-21,3580.0,3580.0,3580.0,3580.0,5.0
2013-01-22,3596.0,3596.0,3596.0,3596.0,3.0
2013-01-23,3420.0,3420.0,3420.0,3420.0,45.0
2013-01-29,3610.0,3610.0,3500.0,3610.0,12.0
2013-02-01,3778.0,3778.0,3610.0,3778.0,4.0
2013-02-04,3745.0,3745.0,3553.0,3745.0,78.0
2013-02-06,3567.0,3567.0,3567.0,3567.0,47.0
2013-02-07,3522.0,3522.0,3522.0,3522.0,10.0
2013-02-08,3602.0,3602.0,3602.0,3602.0,18.0
2013-02-11,3610.0,3610.0,3610.0,3610.0,19.0
2013-02-12,3611.0,3611.0,3611.0,3611.0,7.0
2013-02-13,3650.0,3650.0,3650.0,3650.0,2.0
2013-02-14,3651.0,3651.0,3651.0,3651.0,600.0
2013-02-15,3702.0,3840.0,3702.0,3702.0,574.0
2013-02-19,3830.0,3830.0,3830.0,3830.0,71.0
2013-02-20,3830.0,3830.0,3829.0,3830.0,103.0
2013-02-22,3750.0,3770.0,3750.0,3750.0,355.0
2013-02-25,3755.0,3755.0,3755.0,3755.0,20.0
2013-02-26,3770.0,3772.0,3770.0,3772.0,545.0
2013-02-27,3830.0,3950.0,3830.0,3898.0,13.0
2013-02-28,3850.0,3850.0,3850.0,3850.0,5.0
2013-03-01,3895.0,3895.0,3860.0,3860.0,62.0
2013-03-04,3860.0,3860.0,3860.0,3860.0,377.0
2013-03-05,4000.0,4000.0,4000.0,4000.0,2.0
2013-03-06,3865.0,3950.0,3864.0,3950.0,121.0
2013-03-07,3890.0,3890.0,3890.0,3890.0,100.0
2013-03-08,3900.0,3900.0,3900.0,3900.0,173.0
2013-03-11,3898.0,3898.0,3880.0,3880.0,34.0
2013-03-13,3900.0,3990.0,3900.0,3990.0,402.0
2013-03-14,3880.0,4100.0,3880.0,4052.0,1154.0
2013-03-15,4050.0,4050.0,4050.0,4050.0,5.0
2013-03-22,3952.0,3952.0,3952.0,3952.0,14.0
2013-03-25,3952.0,3952.0,3952.0,3952.0,37.0
2013-03-27,4000.0,4000.0,4000.0,4000.0,20.0
2013-03-28,3953.0,3960.0,3953.0,3960.0,501.0
2013-04-05,3950.0,3950.0,3950.0,3950.0,440.0
2013-04-08,3950.0,3950.0,3950.0,3950.0,5.0
2013-04-09,4048.0,4048.0,4048.0,4048.0,1.0
2013-04-10,3950.0,3950.0,3950.0,3950.0,5.0
2013-04-11,3950.0,3950.0,3950.0,3950.0,22.0
2013-04-12,3903.0,3903.0,3900.0,3900.0,101.0
2013-04-15,3800.0,3800.0,3800.0,3800.0,1000.0
2013-04-19,3720.0,3720.0,3720.0,3720.0,2.0
2013-04-22,3895.0,3895.0,3895.0,3895.0,5.0
2013-04-23,3850.0,3850.0,3850.0,3850.0,2.0
2013-04-29,3619.0,3800.0,3619.0,3800.0,507.0
2013-05-08,3750.0,3750.0,3750.0,3750.0,1025.0
2013-05-14,3750.0,3750.0,3750.0,3750.0,1172.0
2013-05-16,3749.0,3749.0,3749.0,3749.0,170.0
2013-05-17,3750.0,3750.0,3700.0,3701.0,210.0
2013-05-20,3700.0,3700.0,3580.0,3650.0,672.0
2013-05-21,3700.0,3700.0,3700.0,3700.0,350.0
2013-05-22,3700.0,3700.0,3700.0,3700.0,170.0
2013-05-27,3610.0,3750.0,3610.0,3750.0,53.0
2013-05-28,3798.0,3970.0,3798.0,3950.0,141.0
2013-05-29,3948.0,3950.0,3948.0,3950.0,2.0
2013-05-30,3948.0,4150.0,3948.0,4150.0,33.0
2013-05-31,4095.0,4095.0,4095.0,4095.0,5.0
2013-06-04,3910.0,3910.0,3910.0,3910.0,1.0
2013-06-05,4100.0,4100.0,4100.0,4100.0,54.0
2013-06-10,3967.0,3967.0,3967.0,3967.0,4.0
2013-06-14,3801.0,3850.0,3801.0,3850.0,31.0
2013-06-18,3809.0,3809.0,3809.0,3809.0,20.0
2013-06-19,3800.0,3890.0,3612.0,3890.0,553.0
2013-06-24,3560.0,3899.0,3560.0,3899.0,347.0
2013-06-26,3725.0,3900.0,3666.0,3900.0,893.0
2013-06-27,3950.0,4100.0,3950.0,4100.0,20.0
2013-06-28,3854.0,4050.0,3854.0,4050.0,1001.0
2013-07-03,3808.0,4025.0,3808.0,4025.0,2.0
2013-07-05,3785.0,3930.0,3785.0,3930.0,92.0
2013-07-11,3800.0,3900.0,3800.0,3900.0,2.0
2013-07-16,3900.0,3900.0,3900.0,3900.0,1222.0
2013-07-24,3750.0,3898.0,3750.0,3898.0,13.0
2013-08-07,3755.0,3755.0,3700.0,3700.0,50.0
2013-08-16,3865.0,3900.0,3865.0,3900.0,81.0
2013-08-22,3750.0,3750.0,3750.0,3750.0,17.0
2013-08-30,3850.0,3850.0,3850.0,3850.0,4.0
2013-09-02,3800.0,3800.0,3715.0,3715.0,179.0
2013-09-11,3849.0,3849.0,3849.0,3849.0,29.0
2013-09-12,3750.0,3750.0,3750.0,3750.0,8.0
2013-09-13,3750.0,3750.0,3750.0,3750.0,523.0
2013-09-16,3732.0,3732.0,3732.0,3732.0,1.0
2013-09-17,3510.0,3510.0,3509.0,3509.0,10.0
2013-09-18,3719.0,3719.0,3719.0,3719.0,2.0
2013-09-19,3500.0,3695.0,3500.0,3695.0,11.0
2013-09-23,3500.0,3670.0,3474.0,3670.0,1254.0
2013-09-24,3465.0,3666.0,3450.0,3666.0,7.0
2013-09-30,3460.0,3725.0,3447.0,3725.0,10.0
2013-10-02,3725.0,3725.0,3725.0,3725.0,0.0
2013-10-03,3725.0,3725.0,3725.0,3725.0,0.0
2013-10-04,3506.0,3794.0,3506.0,3794.0,285.0
2013-10-08,3795.0,3899.0,3795.0,3899.0,80.0
2013-10-11,3670.0,3670.0,3670.0,3670.0,201.0
2013-10-21,3880.0,3880.0,3880.0,3880.0,1.0
2013-10-22,3725.0,3725.0,3725.0,3725.0,400.0
2013-10-24,3705.0,3705.0,3660.0,3660.0,105.0
2013-10-25,3725.0,3845.0,3725.0,3845.0,112.0
2013-10-28,3889.0,3889.0,3889.0,3889.0,210.0
2013-10-31,3702.0,3702.0,3702.0,3702.0,15.0
2013-11-01,3710.0,3710.0,3710.0,3710.0,25.0
2013-11-22,3795.0,3795.0,3795.0,3795.0,70.0
2013-11-28,3794.0,3794.0,3794.0,3794.0,72.0
2013-11-29,3794.0,3794.0,3794.0,3794.0,14.0
2013-12-04,3569.0,3569.0,3569.0,3569.0,1.0
2013-12-05,3570.0,3570.0,3500.0,3569.0,764.0
2013-12-06,3405.0,3405.0,3405.0,3405.0,349.0
2013-12-12,3300.0,3608.0,3300.0,3608.0,24.0
2013-12-13,3779.0,3779.0,3779.0,3779.0,4.0
