Time,Open,High,Low,Close,Volume
2012-03-26,252.10001,259.64999,252.0,252.10001,44.0
2012-03-27,254.0,254.0,250.10001,254.0,132.0
2012-03-28,253.0,253.0,250.05,253.0,104.0
2012-03-29,251.0,251.0,250.0,251.0,174.0
2012-03-30,248.0,250.0,248.0,248.0,436.0
2012-04-02,242.0,247.0,233.14999,242.0,171.0
2012-04-03,234.0,239.5,231.0,234.0,439.0
2012-04-04,230.0,230.0,228.0,230.0,212.0
2012-04-05,235.89999,235.89999,228.0,235.89999,111.0
2012-04-06,234.0,234.0,221.75,234.0,251.0
2012-04-13,185.0,189.95,185.0,185.0,644.0
2012-04-16,189.5,189.5,180.0,189.5,160.0
2012-04-17,198.0,198.5,189.45,198.0,100.0
2012-04-18,196.89999,197.0,186.14999,196.89999,227.0
2012-04-19,187.0,195.0,185.5,187.0,330.0
2012-04-20,198.2,198.2,198.2,198.2,150.0
2012-04-23,196.0,198.2,186.35001,196.0,361.0
2012-04-24,185.55,185.60001,185.5,185.55,164.0
2012-04-25,185.0,187.0,185.0,185.0,573.0
2012-04-26,183.3,196.0,183.0,183.3,234.0
2012-04-27,180.10001,193.8,180.0,180.10001,1408.0
2012-04-30,182.0,185.0,180.14999,182.0,769.0
2012-05-02,180.10001,180.10001,180.0,180.10001,241.0
2012-05-03,187.75,187.75,180.0,187.75,390.0
2012-05-04,181.14999,184.5,180.0,181.14999,131.0
2012-05-07,180.0,183.7,180.0,180.0,405.0
2012-05-08,181.0,187.0,181.0,181.0,405.0
2012-05-09,185.0,185.0,181.25,185.0,51.0
2012-05-10,183.0,186.85001,181.14999,183.0,212.0
2012-05-11,180.25,186.7,180.0,180.25,707.0
2012-05-14,181.2,181.2,181.10001,181.2,49.0
2012-05-15,181.0,181.05,181.0,181.0,198.0
2012-05-16,180.0,180.25,180.0,180.0,435.0
2012-05-17,180.0,180.0,180.0,180.0,382.0
2012-05-18,180.0,180.0,180.0,180.0,257.0
2012-05-21,172.0,177.0,171.0,172.0,174.0
2012-05-22,182.2,182.2,172.0,182.2,249.0
2012-05-23,186.95,186.95,173.0,186.95,106.0
2012-05-24,178.05,186.95,177.5,178.05,169.0
2012-05-25,184.8,184.8,178.05,184.8,95.0
2012-05-28,184.85001,184.85001,178.25,184.85001,69.0
2012-05-29,180.0,184.0,178.5,180.0,92.0
2012-05-30,180.0,182.0,178.5,180.0,142.0
2012-05-31,183.95,183.95,178.5,183.95,74.0
2012-06-01,185.0,194.95,180.45,185.0,581.0
2012-06-04,183.05,194.0,183.05,183.05,195.0
2012-06-05,182.3,183.14999,182.3,182.3,64.0
2012-06-06,175.05,182.5,175.05,175.05,293.0
2012-06-07,180.0,180.0,180.0,180.0,99.0
2012-06-08,184.95,185.0,177.0,184.95,165.0
2012-06-11,180.0,180.0,180.0,180.0,2.0
2012-06-12,180.5,184.95,180.5,180.5,92.0
2012-06-13,182.0,184.95,182.0,182.0,28.0
2012-06-14,182.2,182.2,182.0,182.2,18.0
2012-06-15,182.0,182.0,182.0,182.0,70.0
2012-06-18,183.2,183.2,183.0,183.2,22.0
2012-06-19,183.0,183.2,183.0,183.0,91.0
2012-06-20,183.0,183.0,183.0,183.0,32.0
2012-06-21,172.05,183.0,172.05,172.05,481.0
2012-06-25,157.05,162.0,153.0,157.05,3668.0
2012-06-26,158.3,160.89999,158.2,158.3,273.0
2012-06-27,159.05,161.75,158.2,159.05,272.0
2012-06-28,163.35001,163.35001,159.10001,163.35001,471.0
2012-06-29,166.0,166.0,161.0,166.0,121.0
2012-07-02,162.14999,164.0,162.05,162.14999,28.0
2012-07-03,164.85001,164.95,162.0,164.85001,137.0
2012-07-04,168.25,168.25,164.0,168.25,127.0
2012-07-05,163.10001,168.39999,162.14999,163.10001,70.0
2012-07-06,162.0,163.0,162.0,162.0,235.0
2012-07-09,162.0,167.95,162.0,162.0,572.0
2012-07-10,159.0,160.2,158.0,159.0,300.0
2012-07-11,161.0,161.0,157.0,161.0,117.0
2012-07-12,161.0,161.10001,155.0,161.0,433.0
2012-07-13,153.0,160.0,153.0,153.0,195.0
2012-07-16,153.5,159.95,153.14999,153.5,443.0
2012-07-17,161.0,161.0,153.2,161.0,685.0
2012-07-18,169.39999,170.0,155.55,169.39999,2561.0
2012-07-19,169.0,170.0,165.0,169.0,8223.0
2012-07-20,178.5,178.89999,170.0,178.5,8110.0
2012-07-23,189.2,189.2,180.0,189.2,3694.0
2012-07-24,200.55,200.55,192.0,200.55,937.0
2012-07-25,212.55,212.55,206.0,212.55,9556.0
2012-07-26,225.0,225.3,220.0,225.0,782.0
2012-07-31,252.8,252.8,238.0,252.8,3085.0
2012-08-02,284.0,284.0,276.79999,284.0,1343.0
2012-08-06,282.95001,319.04999,282.95001,282.95001,5246.0
2012-08-08,250.05,250.05,250.05,250.05,94.0
2012-08-13,207.7,207.7,207.7,207.7,139.0
2012-08-15,220.14999,220.14999,208.2,220.14999,3877.0
2012-08-17,230.0,247.0,225.0,230.0,1957.0
2012-08-23,203.25,210.0,203.25,203.25,3063.0
2012-08-24,191.10001,198.0,191.10001,191.10001,1160.0
2012-08-27,197.0,197.0,181.0,197.0,284.0
2012-08-28,190.0,197.0,185.2,190.0,494.0
2012-08-29,180.0,189.95,178.60001,180.0,1628.0
2012-08-30,188.45,189.85001,178.0,188.45,153.0
2012-08-31,199.75,199.75,183.0,199.75,2250.0
2012-09-03,211.7,211.7,204.0,211.7,2675.0
2012-09-04,224.39999,224.39999,200.0,224.39999,3860.0
2012-09-05,237.85001,237.85001,236.5,237.85001,2183.0
2012-09-06,247.0,249.0,223.60001,247.0,10588.0
2012-09-07,236.89999,249.89999,234.0,236.89999,1929.0
2012-09-10,222.7,237.0,222.7,222.7,3353.0
2012-09-11,231.0,235.0,211.10001,231.0,2240.0
2012-09-12,225.0,243.0,225.0,225.0,6814.0
2012-09-13,233.5,235.89999,220.14999,233.5,220.0
2012-09-14,232.8,236.85001,226.10001,232.8,122.0
2012-09-17,227.95,230.0,219.0,227.95,1038.0
2012-09-18,219.0,220.14999,215.0,219.0,2260.0
2012-09-19,212.0,212.0,205.89999,212.0,2374.0
2012-09-20,216.89999,218.0,206.2,216.89999,751.0
2012-09-21,206.10001,216.0,206.10001,206.10001,288.0
2012-09-24,195.2,207.0,195.2,195.2,332.0
2012-09-25,206.89999,206.89999,190.89999,206.89999,2310.0
2012-09-26,217.0,219.3,211.0,217.0,2674.0
2012-09-27,205.2,220.0,205.2,205.2,2352.0
2012-09-28,212.39999,215.0,201.0,212.39999,465.0
2012-10-01,208.95,212.0,200.0,208.95,748.0
2012-10-02,207.0,207.0,197.0,207.0,273.0
2012-10-03,198.89999,205.89999,197.0,198.89999,247.0
2012-10-04,188.0,207.85001,187.0,188.0,1853.0
2012-10-05,194.0,195.64999,180.10001,194.0,273.0
2012-10-08,190.0,197.0,184.0,190.0,358.0
2012-10-09,190.0,194.5,184.14999,190.0,155.0
2012-10-10,193.39999,193.60001,187.10001,193.39999,95.0
2012-10-11,193.39999,193.45,187.5,193.39999,266.0
2012-10-12,190.0,193.2,188.05,190.0,514.0
2012-10-15,192.8,192.8,186.0,192.8,35.0
2012-10-16,204.35001,204.35001,190.0,204.35001,2602.0
2012-10-17,216.60001,216.60001,208.0,216.60001,1522.0
2012-10-18,229.55,229.55,224.0,229.55,6997.0
2012-10-19,215.8,241.0,215.8,215.8,13973.0
2012-10-22,219.95,226.0,206.0,219.95,2309.0
2012-10-23,215.0,225.39999,211.0,215.0,400.0
