Time,Open,High,Low,Close,Volume
2012-03-26,260.0,260.0,260.0,260.0,2560.0
2012-04-06,260.5,275.5,260.5,260.5,92.0
2012-04-09,276.0,276.0,276.0,276.0,200.0
2012-04-17,295.0,295.0,295.0,295.0,736.0
2012-04-23,312.5,312.5,312.5,312.5,40.0
2012-05-07,287.5,287.5,287.5,287.5,52.0
2012-05-29,304.75,304.75,304.75,304.75,16.0
2012-05-31,287.5,287.5,287.5,287.5,4.0
2012-06-01,287.5,287.5,287.5,287.5,176.0
2012-06-11,287.5,287.5,287.5,287.5,20.0
2012-06-13,287.5,287.5,272.5,287.5,64.0
2012-09-12,290.0,290.0,290.0,290.0,880.0
2012-09-13,295.0,295.0,295.0,295.0,208.0
2012-09-14,292.5,292.5,292.5,292.5,56.0
2012-09-27,296.25,296.25,292.5,296.25,1004.0
2012-10-05,278.5,278.5,278.5,278.5,12.0
2012-10-08,295.0,295.0,295.0,295.0,12.0
2012-10-09,312.0,312.0,312.0,312.0,172.0
2012-10-12,300.0,300.0,300.0,300.0,24.0
2012-10-15,300.0,300.0,300.0,300.0,124.0
2012-10-18,312.5,312.5,312.5,312.5,20.0
2012-10-19,295.0,300.0,295.0,295.0,164.0
2012-10-22,312.5,312.5,312.5,312.5,80.0
2012-10-23,305.0,305.0,305.0,305.0,28.0
2012-10-25,300.0,300.0,300.0,300.0,104.0
2012-11-01,300.0,300.0,300.0,300.0,16.0
2012-11-08,298.75,298.75,298.75,298.75,168.0
2012-11-15,316.5,316.5,316.5,316.5,40.0
2012-12-24,335.0,335.0,316.5,335.0,8.0
2013-01-08,316.25,316.25,316.25,316.25,380.0
2013-01-10,316.25,316.25,316.0,316.25,1140.0
2013-01-31,316.0,316.0,316.0,316.0,1080.0
2013-02-14,315.75,315.75,315.75,315.75,4.0
2013-02-18,316.0,316.0,316.0,316.0,8.0
2013-02-22,334.75,334.75,316.0,316.0,80.0
2013-04-18,307.75,307.75,307.75,307.75,48.0
2013-05-03,325.0,325.0,325.0,325.0,144.0
2013-05-15,325.0,325.0,325.0,325.0,40.0
2013-05-23,325.0,325.0,325.0,325.0,120.0
2013-05-27,313.25,313.25,313.25,313.25,120.0
2013-06-07,295.0,295.0,295.0,295.0,8.0
2013-06-10,277.5,277.5,277.5,277.5,12.0
2013-06-14,294.0,294.0,261.25,261.25,32.0
2013-06-18,287.5,287.5,287.5,287.5,4.0
2013-07-11,294.0,294.0,294.0,294.0,4.0
2013-07-24,276.5,276.75,276.5,276.75,72.0
2013-07-26,260.25,260.25,260.25,260.25,136.0
2013-08-01,260.25,260.25,260.25,260.25,144.0
2013-08-05,275.75,275.75,275.75,275.75,8.0
2013-08-13,260.25,260.25,260.25,260.25,1068.0
2013-09-13,275.75,275.75,275.75,275.75,20.0
2013-09-23,292.25,292.25,292.25,292.25,8.0
2013-09-25,309.75,309.75,309.75,309.75,8.0
2013-10-02,309.75,309.75,309.75,309.75,0.0
2013-10-03,309.75,309.75,309.75,309.75,0.0
2013-10-04,309.75,309.75,309.75,309.75,0.0
2013-10-07,309.75,309.75,309.75,309.75,0.0
2013-10-08,309.75,309.75,309.75,309.75,0.0
2013-10-09,309.75,309.75,309.75,309.75,36.0
2013-10-11,309.75,309.75,309.75,309.75,4.0
2013-10-22,328.25,328.25,328.25,328.25,4.0
2013-10-23,328.25,328.25,328.25,328.25,40.0
2013-10-28,335.0,335.0,335.0,335.0,80.0
2013-11-21,335.0,335.0,335.0,335.0,12.0
2013-12-09,335.0,335.0,335.0,335.0,28.0
2013-12-10,315.0,315.0,315.0,315.0,8.0
2013-12-25,315.0,325.0,315.0,325.0,29560.0
2014-01-08,324.75,324.75,324.75,324.75,8.0
2014-01-30,327.5,327.5,327.5,327.5,4.0
2014-02-05,327.5,327.5,327.5,327.5,4.0
2014-02-12,308.0,337.5,308.0,337.5,12020.0
2014-02-19,325.0,325.0,325.0,325.0,40.0
2014-02-20,305.5,337.5,305.5,337.5,7168.0
2014-03-17,337.5,337.5,337.5,337.5,4.0
2014-03-20,337.5,337.5,337.5,337.5,10000.0
2014-04-15,325.0,325.0,325.0,325.0,52.0
2014-05-05,337.5,337.5,337.5,337.5,4.0
2014-05-14,325.0,325.0,325.0,325.0,4.0
2014-09-02,295.0,325.0,295.0,325.0,136.0
2014-09-05,325.0,325.0,325.0,325.0,8.0
2014-10-17,337.5,337.5,337.5,337.5,132.0
2014-11-12,317.25,317.25,317.25,317.25,4.0
2014-11-17,317.25,317.25,317.25,317.25,16160.0
2014-11-19,317.25,317.25,317.25,317.25,1208.0
2014-12-05,325.0,325.0,325.0,325.0,48.0
2014-12-12,337.25,337.25,337.25,337.25,1088.0
2014-12-15,333.75,333.75,333.75,333.75,6000.0
2014-12-19,314.0,314.0,314.0,314.0,324.0
2014-12-24,278.75,312.75,278.75,312.75,32.0
2014-12-25,312.75,312.75,312.75,312.75,48.0
2014-12-26,331.5,331.5,331.5,331.5,156.0
2014-12-29,345.0,345.0,345.0,345.0,9568.0
2014-12-30,337.5,337.5,337.5,337.5,1512.0
2015-01-23,320.0,320.0,320.0,320.0,56.0
2015-02-04,314.25,314.25,314.25,314.25,136.0
2015-02-12,314.25,314.25,314.0,314.0,120.0
2015-02-19,330.0,330.0,330.0,330.0,60.0
2015-03-06,330.0,330.0,330.0,330.0,20.0
2015-03-12,325.0,325.0,325.0,325.0,6980.0
2015-04-03,325.0,325.0,325.0,325.0,664.0
