Time,Open,High,Low,Close,Volume
2012-03-26,217.0,217.0,215.0,217.0,460.0
2012-03-27,216.89999,216.89999,210.0,216.89999,242.0
2012-03-28,211.0,215.0,210.10001,211.0,210.0
2012-03-29,215.0,215.0,212.0,215.0,1501.0
2012-03-30,212.0,213.05,212.0,212.0,1137.0
2012-04-02,210.0,211.0,210.0,210.0,152.0
2012-04-03,214.5,214.5,208.0,214.5,352.0
2012-04-04,208.0,211.8,208.0,208.0,173.0
2012-04-05,209.45,209.45,206.0,209.45,5709.0
2012-04-06,196.89999,204.0,196.89999,196.89999,1210.0
2012-04-09,192.0,200.0,190.0,192.0,5236.0
2012-04-13,187.0,191.10001,187.0,187.0,172.0
2012-04-16,186.0,187.0,186.0,186.0,96.0
2012-04-17,186.0,189.39999,186.0,186.0,150.0
2012-04-18,186.0,186.0,186.0,186.0,46.0
2012-04-19,176.05,189.3,176.05,176.05,214.0
2012-04-20,176.2,181.0,176.2,176.2,174.0
2012-04-23,176.0,176.75,176.0,176.0,228.0
2012-04-24,173.5,173.5,173.5,173.5,147.0
2012-04-25,169.55,170.05,169.5,169.55,231.0
2012-04-26,167.0,172.60001,166.0,167.0,2496.0
2012-04-27,168.05,170.05,167.0,168.05,247.0
2012-04-30,170.0,170.0,166.5,170.0,494.0
2012-05-02,169.5,169.55,169.5,169.5,509.0
2012-05-03,169.5,169.5,166.64999,169.5,82.0
2012-05-04,166.45,167.0,166.45,166.45,303.0
2012-05-07,162.0,167.0,160.0,162.0,236.0
2012-05-08,166.0,166.0,157.0,166.0,394.0
2012-05-09,162.0,162.0,162.0,162.0,41.0
2012-05-10,160.0,160.0,160.0,160.0,118.0
2012-05-11,160.0,160.0,160.0,160.0,103.0
2012-05-14,160.14999,160.14999,160.0,160.14999,19.0
2012-05-15,162.0,162.0,160.10001,162.0,133.0
2012-05-16,160.0,162.89999,160.0,160.0,154.0
2012-05-17,160.10001,160.14999,160.0,160.10001,1875.0
2012-05-18,161.5,161.5,161.0,161.5,732.0
2012-05-21,151.85001,161.0,151.85001,151.85001,3762.0
2012-05-22,150.0,156.0,150.0,150.0,426.0
2012-05-23,152.0,152.0,148.0,152.0,561.0
2012-05-24,154.0,154.0,146.3,154.0,681.0
2012-05-25,152.5,152.5,150.0,152.5,452.0
2012-05-28,161.64999,161.64999,150.0,161.64999,348.0
2012-05-29,171.3,171.3,159.85001,171.3,727.0
2012-05-30,181.55,181.55,175.05,181.55,482.0
2012-05-31,192.39999,192.39999,185.0,192.39999,544.0
2012-06-01,203.0,203.0,198.0,203.0,631.0
2012-06-04,199.0,201.60001,190.85001,199.0,354.0
