Time,Open,High,Low,Close,Volume
2025-07-15,259.55,259.55,259.55,259.55,109.0
2025-07-16,285.5,285.5,285.5,285.5,17029.0
2025-07-17,314.0,314.0,314.0,314.0,17609.0
2025-07-18,345.35,345.35,345.35,345.35,30087.0
2025-07-21,379.85,379.85,379.85,379.85,26280.0
2025-07-22,417.8,417.8,417.8,417.8,1340669.0
2025-07-23,417.0,417.0,384.0,392.0,259732.0
2025-07-24,395.0,431.15,395.0,431.15,151047.0
2025-07-25,443.0,460.0,441.0,447.0,127673.0
2025-07-28,451.05,485.0,451.05,485.0,108860.0
2025-07-29,495.0,514.8,487.0,488.0,167317.0
2025-07-31,498.0,498.0,473.0,475.0,74954.0
2025-08-01,475.0,485.0,466.0,476.0,65746.0
2025-08-04,471.1,475.0,456.0,468.45,43485.0
2025-08-05,470.0,472.0,465.0,467.0,20556.0
2025-08-06,466.0,469.9,466.0,467.1,19746.0
2025-08-07,467.1,467.1,460.05,461.0,25027.0
2025-08-08,460.0,463.0,453.25,456.05,27746.0
2025-08-11,455.0,456.0,442.0,442.0,46059.0
2025-08-12,440.0,465.9,437.0,455.0,159991.0
2025-08-13,458.0,463.95,455.0,455.0,49864.0
2025-08-15,459.0,460.0,450.0,450.0,23140.0
2025-08-18,443.0,455.0,443.0,450.0,38380.0
2025-08-19,451.0,453.95,446.0,446.0,11408.0
2025-08-22,446.1,449.9,442.0,449.0,11630.0
2025-08-25,448.0,464.9,446.1,461.0,125181.0
2025-08-26,462.1,475.0,462.1,471.25,57254.0
2025-08-27,472.25,473.0,464.0,464.0,27128.0
2025-08-28,462.5,468.0,462.0,465.0,15355.0
2025-08-29,473.95,479.9,467.0,470.0,39646.0
2025-09-01,456.0,470.0,456.0,462.0,33451.0
2025-09-02,458.0,463.0,456.4,460.0,32590.0
2025-09-03,458.0,463.0,451.0,454.0,165295.0
2025-09-04,457.0,465.0,450.0,454.0,58129.0
2025-09-08,460.0,460.0,451.0,451.0,5946.0
2025-09-09,450.0,452.2,420.0,420.0,44541.0
2025-09-10,441.9,449.0,435.0,441.0,17733.0
2025-09-11,438.0,455.0,438.0,452.95,22636.0
2025-09-12,450.0,454.95,438.0,450.0,32994.0
2025-09-15,450.0,452.0,440.8,446.0,4371.0
2025-09-16,450.0,450.0,446.0,449.0,4881.0
2025-09-17,446.1,450.0,443.2,444.15,10506.0
2025-09-18,451.95,454.0,445.05,454.0,17731.0
2025-09-19,455.0,459.95,450.0,451.1,3439.0
2025-09-22,450.1,453.0,447.2,451.0,3604.0
2025-09-23,452.5,459.0,450.0,450.0,10514.0
2025-09-24,450.3,455.9,440.2,440.2,11282.0
2025-09-25,443.2,448.0,440.2,445.0,15719.0
2025-09-26,441.1,445.0,437.15,440.0,24817.0
2025-09-29,437.6,439.8,430.0,434.0,15948.0
2025-09-30,434.0,450.0,401.0,450.0,41168.0
2025-10-01,431.0,441.0,430.0,433.0,11510.0
2025-10-02,411.0,429.9,405.0,425.0,45881.0
2025-10-03,440.0,450.0,436.5,445.0,72159.0
2025-10-06,451.1,470.0,451.1,470.0,365254.0
2025-10-07,475.0,482.0,471.7,475.5,76791.0
2025-10-08,475.0,475.0,466.05,472.1,11617.0
2025-10-09,471.1,472.0,467.1,468.0,6753.0
2025-10-10,466.9,472.0,464.3,470.1,9033.0
2025-10-13,470.0,470.0,457.25,463.0,6175.0
2025-10-14,458.2,463.0,443.5,446.0,7386.0
2025-10-15,450.0,450.0,426.0,436.0,54765.0
2025-10-16,437.0,445.0,437.0,440.0,13777.0
2025-10-17,438.5,445.5,438.5,439.0,5162.0
2025-10-20,470.0,471.0,462.25,471.0,41099.0
2025-10-21,472.5,482.0,466.0,482.0,305724.0
2025-10-22,490.0,510.0,485.0,500.1,253549.0
2025-10-23,502.9,504.0,490.4,501.5,19526.0
2025-10-24,500.0,528.0,497.0,525.0,193866.0
2025-10-27,531.0,546.5,531.0,535.0,34190.0
2025-10-28,538.5,538.5,520.5,524.0,117282.0
2025-10-29,524.0,529.9,520.0,520.0,34234.0
2025-10-30,522.0,522.0,515.0,515.0,32514.0
2025-10-31,512.0,532.0,511.1,523.0,15711.0
2025-11-03,530.0,534.0,520.0,520.0,15454.0
2025-11-04,520.0,528.0,516.0,519.0,7898.0
2025-11-05,518.0,520.0,509.0,509.7,13677.0
2025-11-07,510.0,510.0,498.0,498.0,10907.0
2025-11-10,499.0,500.0,490.0,494.5,17372.0
2025-11-11,495.0,497.0,485.0,485.0,28528.0
2025-11-12,483.0,492.0,483.0,489.9,7088.0
2025-11-13,489.0,491.95,485.2,487.9,17997.0
2025-11-14,489.0,490.0,486.0,486.0,13111.0
2025-11-17,480.0,480.0,470.0,470.0,17475.0
2025-11-19,455.0,455.0,446.0,448.0,33848.0
2025-11-20,446.0,449.9,440.1,446.6,8920.0
