Time,Open,High,Low,Close,Volume
2012-03-26,3702.0,3702.0,3702.0,3702.0,133.0
2012-03-27,3740.0,3740.0,3607.0,3740.0,39.0
2012-03-30,3740.0,3740.0,3700.0,3740.0,550.0
2012-04-02,3630.0,3631.0,3630.0,3630.0,245.0
2012-04-03,3630.0,3630.0,3630.0,3630.0,2000.0
2012-04-04,3630.0,3630.0,3630.0,3630.0,5.0
2012-04-05,3602.0,3605.0,3602.0,3602.0,14.0
2012-04-06,3600.0,3600.0,3600.0,3600.0,51.0
2012-04-09,3550.0,3595.0,3550.0,3550.0,593.0
2012-04-13,3400.0,3463.0,3400.0,3400.0,814.0
2012-04-16,3460.0,3460.0,3460.0,3460.0,83.0
2012-04-18,3460.0,3460.0,3460.0,3460.0,1200.0
2012-04-19,3253.0,3253.0,3253.0,3253.0,50.0
2012-04-20,3440.0,3447.0,3420.0,3440.0,15.0
2012-04-23,3260.0,3260.0,3260.0,3260.0,1.0
2012-04-24,3440.0,3440.0,3440.0,3440.0,1.0
2012-04-26,3240.0,3240.0,3240.0,3240.0,10.0
2012-04-27,3300.0,3300.0,3240.0,3300.0,594.0
2012-04-30,3200.0,3200.0,3200.0,3200.0,306.0
2012-05-02,3008.0,3036.0,3008.0,3008.0,729.0
2012-05-03,3008.0,3008.0,3008.0,3008.0,211.0
2012-05-04,3188.0,3188.0,3187.0,3188.0,60.0
2012-05-07,3100.0,3100.0,3100.0,3100.0,500.0
2012-05-09,3249.0,3249.0,3249.0,3249.0,40.0
2012-05-10,3055.0,3249.0,3055.0,3055.0,156.0
2012-05-11,3000.0,3000.0,3000.0,3000.0,1490.0
2012-05-14,3000.0,3000.0,3000.0,3000.0,2200.0
2012-05-15,3000.0,3000.0,3000.0,3000.0,396.0
2012-05-16,3000.0,3000.0,3000.0,3000.0,5.0
2012-05-17,2998.0,2998.0,2998.0,2998.0,5.0
2012-05-23,3000.0,3000.0,3000.0,3000.0,1.0
2012-05-24,3050.0,3050.0,3044.0,3050.0,153.0
2012-05-25,3200.0,3200.0,3110.0,3200.0,72.0
2012-05-28,3080.0,3300.0,3080.0,3080.0,130.0
2012-05-29,3260.0,3260.0,3200.0,3260.0,128.0
2012-05-30,3349.0,3349.0,3349.0,3349.0,7.0
2012-06-01,3150.0,3320.0,3100.0,3150.0,4702.0
2012-06-05,3000.0,3000.0,3000.0,3000.0,100.0
2012-06-06,3050.0,3050.0,3050.0,3050.0,4018.0
2012-06-07,3050.0,3050.0,3050.0,3050.0,1600.0
2012-06-08,3050.0,3050.0,3050.0,3050.0,50.0
2012-06-12,3001.0,3001.0,3001.0,3001.0,31.0
2012-06-13,3175.0,3175.0,3175.0,3175.0,10.0
2012-06-14,3050.0,3175.0,3050.0,3050.0,4986.0
2012-06-18,3050.0,3055.0,3050.0,3050.0,492.0
2012-06-19,3168.0,3168.0,3050.0,3168.0,222.0
2012-06-21,3295.0,3295.0,3050.0,3295.0,627.0
2012-06-22,3098.0,3098.0,3098.0,3098.0,15.0
2012-06-28,3165.0,3165.0,3165.0,3165.0,10.0
2012-06-29,3100.0,3160.0,3100.0,3100.0,2657.0
2012-07-02,3022.0,3022.0,3022.0,3022.0,48.0
2012-07-04,3002.0,3002.0,3002.0,3002.0,28.0
2012-07-05,3100.0,3100.0,3098.0,3100.0,12.0
2012-07-06,3096.0,3096.0,2955.0,3096.0,219.0
